# bkwdrd throughput for any bs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run = 1	4.55												
File size [kB] = 4 Run = 2	3.92												
File size [kB] = 4 Run = 3	3.98												
File size [kB] = 4 Run = 4	3.96												
File size [kB] = 4 Run = 5	4.52												
File size [kB] = 8 Run = 1	4.08	8.32											
File size [kB] = 8 Run = 2	3.23	7.65											
File size [kB] = 8 Run = 3	3.43	7.45											
File size [kB] = 8 Run = 4	3.4	8.24											
File size [kB] = 8 Run = 5	3.84	8.3											
File size [kB] = 16 Run = 1	4.09	6.83	15.91										
File size [kB] = 16 Run = 2	2.97	7.29	15.08										
File size [kB] = 16 Run = 3	2.83	6.6	14.45										
File size [kB] = 16 Run = 4	2.97	6.65	15.25										
File size [kB] = 16 Run = 5	3.1	6.57	15.5										
File size [kB] = 32 Run = 1	4.17	6.9	12.58	27.44									
File size [kB] = 32 Run = 2	2.7	5.93	10.84	26.76									
File size [kB] = 32 Run = 3	2.55	5.49	11.53	25.53									
File size [kB] = 32 Run = 4	2.43	5.35	11.85	26.39									
File size [kB] = 32 Run = 5	2.77	5.38	11.44	26.35									
File size [kB] = 64 Run = 1	5.17	9.02	12.45	20.63	38.75								
File size [kB] = 64 Run = 2	2.23	4.5	9.08	18.16	42.87								
File size [kB] = 64 Run = 3	2.21	4.25	8.96	18.26	40.9								
File size [kB] = 64 Run = 4	2.24	4.54	9.13	20.08	39.19								
File size [kB] = 64 Run = 5	2.2	4.48	9.16	18.72	41.31								
File size [kB] = 128 Run = 1	5.13	9.14	14.7	21.43	28.93	60.19							
File size [kB] = 128 Run = 2	1.64	3.42	6.31	13.9	27.0	60.24							
File size [kB] = 128 Run = 3	1.59	3.34	6.8	13.87	28.61	60.35							
File size [kB] = 128 Run = 4	1.71	3.41	7.15	13.52	29.71	58.33							
File size [kB] = 128 Run = 5	1.66	3.36	7.1	13.94	29.06	58.88							
File size [kB] = 256 Run = 1	5.82	11.55	15.2	26.05	33.86	53.67	76.62						
File size [kB] = 256 Run = 2	1.71	3.27	6.65	13.69	27.49	55.41	78.1						
File size [kB] = 256 Run = 3	1.61	3.22	6.27	13.55	26.38	57.31	78.0						
File size [kB] = 256 Run = 4	1.68	3.17	6.67	13.08	27.28	56.55	78.66						
File size [kB] = 256 Run = 5	1.62	3.33	6.65	13.56	28.78	54.97	77.68						
File size [kB] = 512 Run = 1	6.37	12.19	17.5	25.92	34.77	47.8	74.57	93.46					
