# fread throughput for any fs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576
Block size [kB] = 4 Run = 1	4.36	5.22	9.13	9.48	16.17	22.1	34.14	43.16	43.42	38.1	38.9	38.78	39.41						
Block size [kB] = 4 Run = 2	3.84	5.29	10.17	10.2	16.56	17.48	30.19	35.85	37.76	38.98	38.65	38.63	39.05						
Block size [kB] = 4 Run = 3	4.09	4.93	8.8	9.23	16.56	16.57	28.28	36.06	37.56	38.08	38.62	38.7	38.81						
Block size [kB] = 4 Run = 4	3.43	4.82	10.4	9.21	16.62	17.45	29.92	35.87	37.8	37.83	38.45	38.31	38.97						
Block size [kB] = 4 Run = 5	4.08	5.5	9.83	10.64	16.22	17.67	30.35	36.07	37.14	38.19	38.61	39.26	39.21						
Block size [kB] = 8 Run = 1		8.62	10.71	8.63	16.27	23.76	34.67	42.79	43.56	38.5	38.98	38.73	39.48						
Block size [kB] = 8 Run = 2		7.92	12.07	10.91	15.92	17.19	30.1	36.57	37.78	38.47	38.87	39.12	39.28						
Block size [kB] = 8 Run = 3		8.14	9.63	8.82	15.94	17.5	28.25	37.08	36.92	38.53	38.88	39.02	38.89						
Block size [kB] = 8 Run = 4		7.53	9.88	9.58	16.63	17.31	28.81	35.72	37.99	38.31	38.56	39.15	39.33						
Block size [kB] = 8 Run = 5		7.84	11.04	9.97	16.16	17.34	28.54	36.48	38.05	38.59	39.43	39.16	39.37						
Block size [kB] = 16 Run = 1			13.64	18.34	15.91	25.19	38.49	53.77	44.03	41.39	39.63	38.71	39.4						
Block size [kB] = 16 Run = 2			14.33	17.08	16.45	24.68	31.86	40.79	41.28	39.99	39.66	39.46	39.38						
Block size [kB] = 16 Run = 3			13.55	16.73	16.6	25.28	31.16	41.05	38.88	40.14	39.05	39.79	38.92						
Block size [kB] = 16 Run = 4			14.78	18.34	16.7	25.65	31.25	40.36	40.55	39.32	39.31	39.46	39.47						
Block size [kB] = 16 Run = 5			16.75	20.32	17.84	26.92	30.94	41.71	40.25	39.07	38.76	38.29	39.68						
Block size [kB] = 32 Run = 1				24.04	30.57	24.93	42.57	48.28	46.11	39.49	39.56	39.34	39.3						
Block size [kB] = 32 Run = 2				24.78	33.14	25.83	41.43	44.24	41.8	40.13	40.06	39.38	39.35						
Block size [kB] = 32 Run = 3				25.16	29.54	25.74	41.25	43.91	41.26	40.51	39.94	39.49	39.31						
Block size [kB] = 32 Run = 4				23.89	32.72	26.37	41.23	42.41	40.21	40.43	39.35	39.94	39.43						
Block size [kB] = 32 Run = 5				29.48	30.53	26.29	42.98	43.17	41.58	40.0	40.07	39.41	39.41						
Block size [kB] = 64 Run = 1					43.76	46.89	50.33	52.87	43.31	41.4	39.84	39.75	39.77	39.62	39.57	39.4	39.38	39.35	39.4
Block size [kB] = 64 Run = 2					43.68	48.64	50.91	54.5	44.65	41.26	40.05	39.59	39.6	39.81	39.13	39.37	39.59	39.34	39.58
Block size [kB] = 64 Run = 3					38.42	49.08	48.4	52.66	42.81	41.23	39.84	39.6	39.82	39.41	39.34	39.6	39.55	39.28	39.37
Block size [kB] = 64 Run = 4					39.79	47.22	49.3	49.99	42.8	40.94	39.44	40.03	39.73	39.6	39.43	39.42	39.62	39.32	39.34
Block size [kB] = 64 Run = 5					43.79	48.45	51.82	55.48	42.23	41.04	40.37	39.86	39.5	39.47	39.37	39.5	39.47	39.5	39.37
Block size [kB] = 128 Run = 1						58.93	75.37	57.03	46.37	40.58	39.8	40.12	39.36	39.76	39.56	39.81	39.74	39.73	39.76
