# frewrite throughput for any bs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run = 1	15.94												
File size [kB] = 4 Run = 2	12.44												
File size [kB] = 4 Run = 3	19.72												
File size [kB] = 4 Run = 4	10.52												
File size [kB] = 4 Run = 5	18.52												
File size [kB] = 8 Run = 1	39.49	27.7											
File size [kB] = 8 Run = 2	27.13	26.03											
File size [kB] = 8 Run = 3	38.11	23.82											
File size [kB] = 8 Run = 4	31.15	25.11											
File size [kB] = 8 Run = 5	33.38	24.04											
File size [kB] = 16 Run = 1	19.38	56.02	46.78										
File size [kB] = 16 Run = 2	20.42	57.65	52.77										
File size [kB] = 16 Run = 3	19.85	48.55	46.22										
File size [kB] = 16 Run = 4	22.19	76.58	44.38										
File size [kB] = 16 Run = 5	15.5	68.28	69.44										
File size [kB] = 32 Run = 1	19.59	46.37	103.47	90.34									
File size [kB] = 32 Run = 2	30.1	46.11	81.17	92.19									
File size [kB] = 32 Run = 3	22.51	35.59	97.9	92.19									
File size [kB] = 32 Run = 4	23.84	37.47	99.16	96.75									
File size [kB] = 32 Run = 5	32.48	34.84	136.42	107.36									
File size [kB] = 64 Run = 1	35.57	60.85	87.42	176.08	190.68								
File size [kB] = 64 Run = 2	39.81	64.63	74.06	196.54	151.02								
File size [kB] = 64 Run = 3	36.04	53.2	110.25	185.94	160.25								
File size [kB] = 64 Run = 4	35.55	53.37	90.18	258.32	189.44								
File size [kB] = 64 Run = 5	27.83	42.6	70.47	219.22	171.25								
File size [kB] = 128 Run = 1	40.21	45.01	96.31	156.47	343.39	288.58							
File size [kB] = 128 Run = 2	34.92	81.76	73.09	136.75	506.16	286.06							
File size [kB] = 128 Run = 3	34.67	65.27	103.64	170.73	409.66	296.91							
File size [kB] = 128 Run = 4	33.91	65.92	104.07	147.9	335.91	314.74							
File size [kB] = 128 Run = 5	38.65	65.65	78.52	160.24	299.11	277.87							
File size [kB] = 256 Run = 1	46.08	74.76	111.16	131.44	217.42	551.94	381.05						
File size [kB] = 256 Run = 2	45.13	66.93	83.31	110.08	236.55	641.01	407.88						
File size [kB] = 256 Run = 3	43.94	66.63	72.7	131.37	258.79	708.11	410.59						
File size [kB] = 256 Run = 4	46.7	78.79	78.44	141.0	296.56	532.05	425.94						
File size [kB] = 256 Run = 5	48.06	58.08	132.75	161.08	301.94	647.75	442.47						
