# frewrite throughput for any fs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576
Block size [kB] = 4 Run = 1	15.94	39.49	19.38	19.59	35.57	40.21	46.08	47.61	50.64	50.63	47.54	39.16	38.01						
Block size [kB] = 4 Run = 2	12.44	27.13	20.42	30.1	39.81	34.92	45.13	43.78	47.29	35.01	46.57	35.6	38.2						
Block size [kB] = 4 Run = 3	19.72	38.11	19.85	22.51	36.04	34.67	43.94	44.16	43.23	51.57	46.92	39.03	38.22						
Block size [kB] = 4 Run = 4	10.52	31.15	22.19	23.84	35.55	33.91	46.7	46.83	37.63	46.99	46.84	40.18	38.36						
Block size [kB] = 4 Run = 5	18.52	33.38	15.5	32.48	27.83	38.65	48.06	44.4	48.52	50.98	45.59	39.06	38.2						
Block size [kB] = 8 Run = 1		27.7	56.02	46.37	60.85	45.01	74.76	85.63	85.66	69.78	46.98	39.24	38.21						
Block size [kB] = 8 Run = 2		26.03	57.65	46.11	64.63	81.76	66.93	73.6	80.51	66.27	47.15	39.22	38.34						
Block size [kB] = 8 Run = 3		23.82	48.55	35.59	53.2	65.27	66.63	78.36	79.4	66.22	48.23	39.14	38.16						
Block size [kB] = 8 Run = 4		25.11	76.58	37.47	53.37	65.92	78.79	73.67	78.35	67.17	47.84	42.16	38.11						
Block size [kB] = 8 Run = 5		24.04	68.28	34.84	42.6	65.65	58.08	85.69	81.04	64.16	48.49	40.58	38.23						
Block size [kB] = 16 Run = 1			46.78	103.47	87.42	96.31	111.16	109.19	131.74	68.51	49.03	41.32	38.93						
Block size [kB] = 16 Run = 2			52.77	81.17	74.06	73.09	83.31	105.62	95.59	73.65	47.87	40.08	38.76						
Block size [kB] = 16 Run = 3			46.22	97.9	110.25	103.64	72.7	103.69	137.4	71.48	47.59	39.35	38.23						
Block size [kB] = 16 Run = 4			44.38	99.16	90.18	104.07	78.44	86.51	121.52	66.58	48.85	42.04	38.24						
Block size [kB] = 16 Run = 5			69.44	136.42	70.47	78.52	132.75	133.51	92.18	66.6	48.96	39.48	38.49						
Block size [kB] = 32 Run = 1				90.34	176.08	156.47	131.44	146.84	154.42	69.99	47.41	39.48	38.88						
Block size [kB] = 32 Run = 2				92.19	196.54	136.75	110.08	127.03	155.55	64.48	47.68	39.61	38.73						
Block size [kB] = 32 Run = 3				92.19	185.94	170.73	131.37	200.65	148.37	72.36	48.78	39.36	38.47						
Block size [kB] = 32 Run = 4				96.75	258.32	147.9	141.0	109.24	160.43	71.58	47.52	39.44	38.47						
Block size [kB] = 32 Run = 5				107.36	219.22	160.24	161.08	159.43	177.75	70.26	49.16	39.29	38.99						
Block size [kB] = 64 Run = 1					190.68	343.39	217.42	197.94	205.84	70.34	48.35	39.98	39.04	37.88	37.56	37.44	37.31	27.58	37.03
Block size [kB] = 64 Run = 2					151.02	506.16	236.55	226.65	222.37	72.02	46.35	40.2	38.69	38.08	37.55	37.41	37.32	37.29	34.75
Block size [kB] = 64 Run = 3					160.25	409.66	258.79	212.03	223.66	76.21	49.39	40.43	38.8	37.82	37.55	37.47	37.31	37.29	37.27
Block size [kB] = 64 Run = 4					189.44	335.91	296.56	185.67	212.63	70.32	48.42	39.81	38.7	37.87	37.53	37.39	37.33	37.29	37.03
Block size [kB] = 64 Run = 5					171.25	299.11	301.94	214.88	219.11	71.44	48.81	40.05	39.08	37.89	37.61	37.43	37.33	37.29	31.03
Block size [kB] = 128 Run = 1						288.58	551.94	435.92	336.49	81.61	51.6	43.02	39.15	38.43	37.58	37.41	37.33	36.83	37.27
Block size [kB] = 128 Run = 2						286.06	641.01	429.94	371.05	82.09	51.64	40.17	39.13	38.0	37.63	37.44	37.34	37.31	37.28
Block size [kB] = 128 Run = 3						296.91	708.11	418.11	382.38	83.25	50.79	40.42	38.76	37.97	37.6	37.43	37.34	37.3	37.28
Block size [kB] = 128 Run = 4						314.74	532.05	463.79	368.48	85.69	51.79	41.17	38.64	37.92	37.6	37.43	36.32	37.3	37.27
Block size [kB] = 128 Run = 5						277.87	647.75	630.57	355.12	83.42	50.7	40.88	38.94	37.79	37.61	37.45	37.33	37.3	37.27
Block size [kB] = 256 Run = 1							381.05	745.04	477.34	97.1	50.69	44.18	39.36	38.2	37.81	37.43	36.35	37.31	37.28
Block size [kB] = 256 Run = 2							407.88	757.69	508.91	94.84	48.29	41.1	39.69	38.45	37.68	34.86	37.35	36.83	36.3
Block size [kB] = 256 Run = 3							410.59	912.68	488.06	92.28	53.23	41.54	38.97	38.33	37.67	37.49	37.37	37.34	37.28
Block size [kB] = 256 Run = 4							425.94	963.41	492.13	91.51	53.54	42.88	39.21	38.28	37.67	37.5	37.36	36.29	37.03
Block size [kB] = 256 Run = 5							442.47	793.53	545.86	95.23	54.28	41.34	39.23	38.29	37.64	35.49	37.36	37.3	28.77
Block size [kB] = 512 Run = 1								529.08	809.74	134.25	55.29	45.6	40.0	38.55	37.81	37.53	37.39	36.86	37.29
Block size [kB] = 512 Run = 2								546.45	823.74	143.85	52.42	42.57	40.78	38.34	37.8	37.6	37.4	37.32	37.28
Block size [kB] = 512 Run = 3								443.67	872.58	133.31	57.16	43.42	39.96	38.38	37.8	37.57	37.38	37.32	37.28
Block size [kB] = 512 Run = 4								497.92	797.58	143.25	59.34	45.45	40.67	38.4	34.67	37.57	37.41	37.33	37.28
Block size [kB] = 512 Run = 5								482.68	956.12	120.52	58.59	42.93	39.62	38.55	37.92	37.55	36.38	37.33	37.16
Block size [kB] = 1024 Run = 1									457.9	790.79	65.27	49.63	41.58	38.96	38.13	37.67	37.46	37.36	37.3
Block size [kB] = 1024 Run = 2									508.66	892.04	67.0	46.12	41.08	38.95	38.1	37.7	37.47	37.38	31.84
Block size [kB] = 1024 Run = 3									522.21	793.64	73.91	47.59	41.08	39.28	38.09	37.67	37.5	37.36	37.04
Block size [kB] = 1024 Run = 4									525.15	867.33	70.34	49.4	40.96	39.39	38.1	37.74	37.47	37.35	37.3
Block size [kB] = 1024 Run = 5									491.38	860.56	71.6	45.54	41.17	39.03	38.12	37.71	37.47	37.36	37.3
Block size [kB] = 2048 Run = 1										69.19	130.87	58.38	45.41	40.33	38.77	37.97	37.61	37.45	37.33
Block size [kB] = 2048 Run = 2										71.0	137.73	54.04	45.2	40.25	38.74	37.96	37.62	37.45	37.09
Block size [kB] = 2048 Run = 3										71.08	123.93	55.71	45.54	40.22	38.72	37.98	37.61	37.43	37.34
Block size [kB] = 2048 Run = 4										70.79	133.07	58.44	43.93	40.32	38.73	37.98	37.64	37.43	37.34
Block size [kB] = 2048 Run = 5										72.78	139.35	55.16	44.16	40.68	38.82	37.97	37.61	37.43	37.08
Block size [kB] = 4096 Run = 1											43.54	97.08	53.33	43.48	40.13	38.56	37.92	37.57	37.14
Block size [kB] = 4096 Run = 2											44.27	83.17	54.04	43.21	39.99	38.58	37.9	37.59	37.41
Block size [kB] = 4096 Run = 3											46.7	92.02	53.99	43.22	40.03	38.58	37.93	37.59	37.42
Block size [kB] = 4096 Run = 4											43.86	95.55	51.8	43.16	40.0	38.62	37.9	37.58	37.41
Block size [kB] = 4096 Run = 5											46.58	84.64	53.12	43.25	40.12	38.6	37.91	37.57	37.42
Block size [kB] = 8192 Run = 1												42.4	80.39	50.3	42.86	39.96	38.51	37.87	37.56
Block size [kB] = 8192 Run = 2												39.94	84.0	50.28	42.86	39.87	38.52	37.35	37.56
Block size [kB] = 8192 Run = 3												39.69	81.81	50.37	38.35	38.71	37.02	29.82	37.32
Block size [kB] = 8192 Run = 4												41.5	79.47	50.68	42.84	39.87	38.52	37.86	37.28
Block size [kB] = 8192 Run = 5												40.14	81.14	50.76	42.79	40.04	38.56	37.87	37.03
Block size [kB] = 16384 Run = 1													39.24	75.92	49.97	42.68	39.79	38.48	37.86
Block size [kB] = 16384 Run = 2													39.35	75.87	49.99	42.71	39.78	37.98	37.59
Block size [kB] = 16384 Run = 3													38.6	75.83	49.97	42.66	39.78	37.9	37.62
