# iread throughput for any bs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run = 1	7.03												
File size [kB] = 4 Run = 2	6.35												
File size [kB] = 4 Run = 3	6.72												
File size [kB] = 4 Run = 4	6.69												
File size [kB] = 4 Run = 5	6.26												
File size [kB] = 8 Run = 1	14.6	12.17											
File size [kB] = 8 Run = 2	12.96	13.68											
File size [kB] = 8 Run = 3	4.13	13.15											
File size [kB] = 8 Run = 4	13.31	12.42											
File size [kB] = 8 Run = 5	13.68	13.13											
File size [kB] = 16 Run = 1	29.31	8.64	26.62										
File size [kB] = 16 Run = 2	25.86	31.62	26.84										
File size [kB] = 16 Run = 3	25.16	24.23	26.26										
File size [kB] = 16 Run = 4	25.32	25.7	27.65										
File size [kB] = 16 Run = 5	26.88	8.26	31.69										
File size [kB] = 32 Run = 1	13.39	12.37	58.62	51.57									
File size [kB] = 32 Run = 2	15.29	15.29	52.98	46.56									
File size [kB] = 32 Run = 3	14.31	14.78	51.73	53.96									
File size [kB] = 32 Run = 4	12.5	15.36	54.08	52.35									
File size [kB] = 32 Run = 5	14.54	14.66	55.03	55.22									
File size [kB] = 64 Run = 1	25.94	25.79	24.73	106.66	103.99								
File size [kB] = 64 Run = 2	27.08	15.29	25.59	103.99	109.46								
File size [kB] = 64 Run = 3	24.61	25.39	25.21	102.29	103.66								
File size [kB] = 64 Run = 4	15.16	25.76	26.75	108.33	103.34								
File size [kB] = 64 Run = 5	25.81	25.62	26.67	101.77	108.33								
File size [kB] = 128 Run = 1	34.78	33.1	43.39	43.42	208.31	215.15							
File size [kB] = 128 Run = 2	24.44	23.36	41.04	44.74	221.61	196.23							
File size [kB] = 128 Run = 3	22.25	23.36	42.81	43.49	210.83	202.29							
File size [kB] = 128 Run = 4	24.49	24.29	41.57	42.78	216.67	201.66							
File size [kB] = 128 Run = 5	23.97	24.15	45.55	43.78	221.99	232.73							
File size [kB] = 256 Run = 1	42.79	46.01	58.26	61.62	90.91	219.28	409.15						
File size [kB] = 256 Run = 2	39.24	39.3	40.34	59.49	82.15	212.06	420.13						
File size [kB] = 256 Run = 3	37.38	38.81	41.66	61.1	79.41	218.92	387.1						
File size [kB] = 256 Run = 4	38.92	38.11	41.83	59.71	81.49	220.81	457.73						
File size [kB] = 256 Run = 5	39.9	37.99	42.6	62.14	84.86	217.42	385.82						
File size [kB] = 512 Run = 1	51.87	53.65	68.77	59.99	69.23	76.8	121.09	720.47					
File size [kB] = 512 Run = 2	43.4	42.15	48.01	51.74	69.01	130.24	113.51	834.92					
File size [kB] = 512 Run = 3	40.67	41.48	50.17	51.34	65.62	75.78	122.73	720.47					
File size [kB] = 512 Run = 4	41.68	38.98	48.66	51.83	65.25	77.35	119.18	669.42					
File size [kB] = 512 Run = 5	41.88	43.5	46.12	52.58	67.86	79.5	159.64	793.83					
