# iread throughput for any fs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576
Block size [kB] = 4 Run = 1	7.03	14.6	29.31	13.39	25.94	34.78	42.79	51.87	47.82	39.45	39.56	39.44	39.09						
Block size [kB] = 4 Run = 2	6.35	12.96	25.86	15.29	27.08	24.44	39.24	43.4	41.09	39.81	39.71	38.85	39.45						
Block size [kB] = 4 Run = 3	6.72	4.13	25.16	14.31	24.61	22.25	37.38	40.67	40.07	39.77	39.36	38.49	39.45						
Block size [kB] = 4 Run = 4	6.69	13.31	25.32	12.5	15.16	24.49	38.92	41.68	36.73	39.74	39.42	38.02	39.0						
Block size [kB] = 4 Run = 5	6.26	13.68	26.88	14.54	25.81	23.97	39.9	41.88	40.87	40.37	39.46	39.47	39.57						
Block size [kB] = 8 Run = 1		12.17	8.64	12.37	25.79	33.1	46.01	53.65	47.01	39.9	39.87	39.13	39.6						
Block size [kB] = 8 Run = 2		13.68	31.62	15.29	15.29	23.36	39.3	42.15	40.74	40.3	39.63	39.58	39.5						
Block size [kB] = 8 Run = 3		13.15	24.23	14.78	25.39	23.36	38.81	41.48	40.56	39.73	39.58	39.11	39.09						
Block size [kB] = 8 Run = 4		12.42	25.7	15.36	25.76	24.29	38.11	38.98	41.04	39.22	39.34	39.17	39.16						
Block size [kB] = 8 Run = 5		13.13	8.26	14.66	25.62	24.15	37.99	43.5	40.52	40.1	38.74	39.16	39.5						
Block size [kB] = 16 Run = 1			26.62	58.62	24.73	43.39	58.26	68.77	48.67	43.96	40.36	40.15	39.54						
Block size [kB] = 16 Run = 2			26.84	52.98	25.59	41.04	40.34	48.01	44.8	41.42	40.3	39.86	39.77						
Block size [kB] = 16 Run = 3			26.26	51.73	25.21	42.81	41.66	50.17	42.6	41.89	40.28	39.26	39.37						
Block size [kB] = 16 Run = 4			27.65	54.08	26.75	41.57	41.83	48.66	43.03	40.58	40.11	39.53	39.77						
Block size [kB] = 16 Run = 5			31.69	55.03	26.67	45.55	42.6	46.12	43.87	40.7	39.93	39.9	39.8						
Block size [kB] = 32 Run = 1				51.57	106.66	43.42	61.62	59.99	50.36	40.93	40.42	39.39	39.78						
Block size [kB] = 32 Run = 2				46.56	103.99	44.74	59.49	51.74	44.84	41.23	40.75	40.2	39.77						
Block size [kB] = 32 Run = 3				53.96	102.29	43.49	61.1	51.34	44.63	42.2	40.65	39.73	39.49						
Block size [kB] = 32 Run = 4				52.35	108.33	42.78	59.71	51.83	44.58	41.7	40.41	39.97	38.96						
Block size [kB] = 32 Run = 5				55.22	101.77	43.78	62.14	52.58	41.1	41.72	40.67	40.12	39.61						
Block size [kB] = 64 Run = 1					103.99	208.31	90.91	69.23	48.04	43.45	41.02	39.75	39.97	39.66	39.27	39.54	39.44	39.3	39.51
Block size [kB] = 64 Run = 2					109.46	221.61	82.15	69.01	47.62	43.25	41.32	39.63	39.91	39.65	39.5	39.54	39.51	39.37	39.55
Block size [kB] = 64 Run = 3					103.66	210.83	79.41	65.62	47.04	43.16	41.05	40.03	39.95	39.62	39.62	39.34	39.63	39.36	39.39
Block size [kB] = 64 Run = 4					103.34	216.67	81.49	65.25	47.61	43.54	40.35	40.22	39.6	39.71	39.26	39.39	39.45	39.62	39.4
Block size [kB] = 64 Run = 5					108.33	221.99	84.86	67.86	46.6	43.29	41.1	40.35	39.96	39.71	39.63	39.58	39.58	39.51	39.3
Block size [kB] = 128 Run = 1						215.15	219.28	76.8	51.68	42.61	41.88	40.1	39.96	39.73	39.67	39.84	39.79	39.79	39.79
Block size [kB] = 128 Run = 2						196.23	212.06	130.24	52.36	42.82	41.2	40.43	39.91	39.62	39.68	39.42	39.55	39.42	39.42
Block size [kB] = 128 Run = 3						202.29	218.92	75.78	53.06	42.54	40.68	40.12	39.85	39.57	39.66	39.69	39.44	39.6	39.29
Block size [kB] = 128 Run = 4						201.66	220.81	77.35	51.87	42.93	40.81	39.77	39.84	40.4	39.68	39.67	39.63	39.64	39.46
Block size [kB] = 128 Run = 5						232.73	217.42	79.5	52.42	42.53	41.16	40.36	39.88	39.64	39.47	39.67	39.7	39.5	39.52
Block size [kB] = 256 Run = 1							409.15	121.09	61.62	46.94	42.9	40.64	40.42	40.13	39.76	39.67	39.68	39.49	39.45
Block size [kB] = 256 Run = 2							420.13	113.51	55.59	46.68	43.5	41.03	40.24	40.03	39.74	39.52	39.5	39.45	39.71
Block size [kB] = 256 Run = 3							387.1	122.73	55.5	45.9	42.52	40.59	40.11	40.11	39.83	39.44	39.54	39.46	39.7
Block size [kB] = 256 Run = 4							457.73	119.18	59.46	46.94	42.17	40.96	40.17	39.73	39.56	39.71	39.72	39.39	39.7
Block size [kB] = 256 Run = 5							385.82	159.64	56.43	49.43	43.49	40.75	40.3	39.99	39.8	39.73	39.66	39.71	39.46
Block size [kB] = 512 Run = 1								720.47	115.42	63.86	53.66	49.74	47.87	47.28	46.72	46.66	46.56	46.5	46.3
Block size [kB] = 512 Run = 2								834.92	115.82	64.13	54.05	49.57	47.92	47.02	46.79	46.54	46.41	46.49	46.33
Block size [kB] = 512 Run = 3								720.47	115.41	63.89	53.49	50.14	48.22	47.16	46.65	46.46	46.52	46.38	46.47
Block size [kB] = 512 Run = 4								669.42	115.1	63.67	53.76	49.75	47.88	47.07	46.8	46.65	46.53	46.38	46.35
Block size [kB] = 512 Run = 5								793.83	119.95	63.88	54.03	49.67	48.09	47.2	46.79	46.62	46.54	46.49	46.47
Block size [kB] = 1024 Run = 1									1219.34	122.05	84.51	74.12	69.48	67.45	66.54	66.06	65.85	65.67	65.65
Block size [kB] = 1024 Run = 2									1137.65	121.04	85.05	73.72	69.36	67.31	66.48	65.8	65.81	65.69	65.45
Block size [kB] = 1024 Run = 3									1213.7	120.96	84.82	73.89	69.16	67.39	66.48	66.0	65.75	65.65	65.61
Block size [kB] = 1024 Run = 4									1223.97	120.49	84.86	73.4	69.46	67.26	66.48	66.01	65.64	65.66	65.63
Block size [kB] = 1024 Run = 5									1114.67	121.14	84.98	74.0	69.47	67.44	66.49	66.07	65.75	65.68	65.61
Block size [kB] = 2048 Run = 1										1949.57	155.93	107.92	93.64	87.85	85.09	83.77	83.2	82.89	82.71
Block size [kB] = 2048 Run = 2										2005.98	156.13	107.84	93.5	87.75	85.05	83.86	83.17	82.78	82.66
Block size [kB] = 2048 Run = 3										1943.69	156.44	107.98	93.6	87.61	84.99	83.78	83.18	82.88	82.67
Block size [kB] = 2048 Run = 4										1840.09	155.26	107.95	93.42	87.57	85.05	83.88	83.11	82.88	82.68
Block size [kB] = 2048 Run = 5										1816.58	156.04	107.97	93.63	87.78	85.12	83.82	83.13	82.88	82.68
Block size [kB] = 4096 Run = 1											2628.09	182.89	125.12	107.94	101.03	97.99	96.52	95.81	95.38
Block size [kB] = 4096 Run = 2											2514.27	182.39	124.88	107.94	101.1	97.98	96.49	95.69	95.43
Block size [kB] = 4096 Run = 3											2560.7	182.52	124.9	107.92	101.04	97.9	96.42	95.75	95.36
Block size [kB] = 4096 Run = 4											2526.76	181.97	124.91	107.86	100.94	97.96	96.49	95.69	95.41
Block size [kB] = 4096 Run = 5											2446.44	182.37	124.85	107.95	101.12	97.99	96.49	95.74	95.3
Block size [kB] = 8192 Run = 1												2662.25	198.45	135.38	116.79	109.32	105.91	104.33	103.49
Block size [kB] = 8192 Run = 2												2637.55	197.94	135.28	116.78	109.31	105.93	104.32	103.54
Block size [kB] = 8192 Run = 3												2569.09	200.48	135.2	116.79	109.24	105.95	104.28	103.54
Block size [kB] = 8192 Run = 4												2486.84	197.55	135.25	116.81	109.27	105.91	104.33	103.51
Block size [kB] = 8192 Run = 5												2555.79	197.72	135.39	116.78	109.32	105.95	104.29	103.5
Block size [kB] = 16384 Run = 1													2686.85	207.69	141.28	121.84	113.97	110.38	108.72
Block size [kB] = 16384 Run = 2													2587.7	207.28	141.26	121.79	113.93	110.37	108.72
Block size [kB] = 16384 Run = 3													2563.77	207.34	141.22	121.74	113.93	110.42	108.72
