# iwrite throughput for any bs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run = 1	10.53												
File size [kB] = 4 Run = 2	10.42												
File size [kB] = 4 Run = 3	10.3												
File size [kB] = 4 Run = 4	9.41												
File size [kB] = 4 Run = 5	10.7												
File size [kB] = 8 Run = 1	11.76	25.04											
File size [kB] = 8 Run = 2	15.03	23.46											
File size [kB] = 8 Run = 3	13.47	20.99											
File size [kB] = 8 Run = 4	11.15	22.92											
File size [kB] = 8 Run = 5	10.67	23.24											
File size [kB] = 16 Run = 1	13.33	23.15	44.41										
File size [kB] = 16 Run = 2	18.15	27.9	51.21										
File size [kB] = 16 Run = 3	13.57	21.58	45.14										
File size [kB] = 16 Run = 4	13.61	22.16	45.55										
File size [kB] = 16 Run = 5	13.91	22.54	61.03										
File size [kB] = 32 Run = 1	19.48	31.85	47.49	89.54									
File size [kB] = 32 Run = 2	21.87	27.29	50.49	90.84									
File size [kB] = 32 Run = 3	17.14	27.27	46.03	85.62									
File size [kB] = 32 Run = 4	16.84	28.74	46.65	83.07									
File size [kB] = 32 Run = 5	16.09	30.43	54.64	88.99									
File size [kB] = 64 Run = 1	26.79	32.0	58.46	92.31	158.22								
File size [kB] = 64 Run = 2	31.58	36.55	58.69	91.38	155.5								
File size [kB] = 64 Run = 3	27.51	37.45	52.26	93.56	167.52								
File size [kB] = 64 Run = 4	34.86	39.14	66.98	93.56	181.19								
File size [kB] = 64 Run = 5	26.27	35.81	61.52	86.58	157.75								
File size [kB] = 128 Run = 1	37.3	67.13	76.31	97.44	165.35	290.01							
File size [kB] = 128 Run = 2	34.75	50.96	94.27	102.04	166.87	310.82							
File size [kB] = 128 Run = 3	35.52	55.38	81.69	124.75	163.64	284.2							
File size [kB] = 128 Run = 4	36.76	56.72	76.04	115.11	200.97	286.06							
File size [kB] = 128 Run = 5	41.89	65.89	84.91	117.48	194.7	326.29							
File size [kB] = 256 Run = 1	44.6	74.12	113.69	119.79	177.55	339.7	441.73						
File size [kB] = 256 Run = 2	42.37	66.95	69.46	123.87	178.43	291.04	378.16						
File size [kB] = 256 Run = 3	43.77	52.08	90.48	108.61	187.55	291.45	363.36						
File size [kB] = 256 Run = 4	45.02	68.48	91.37	152.06	177.94	296.56	465.45						
File size [kB] = 256 Run = 5	43.96	65.65	111.12	156.84	216.08	350.6	417.29						
File size [kB] = 512 Run = 1	44.83	76.99	112.92	103.58	203.93	334.0	401.92	405.81					
File size [kB] = 512 Run = 2	46.33	79.18	82.4	121.74	196.16	370.93	398.71	431.09					
File size [kB] = 512 Run = 3	44.48	69.86	106.34	126.84	198.5	422.32	359.67	451.21					
File size [kB] = 512 Run = 4	46.19	77.34	83.36	103.28	185.31	353.84	433.58	418.44					
File size [kB] = 512 Run = 5	47.53	78.82	115.69	142.13	192.46	316.66	384.04	465.95					
File size [kB] = 1024 Run = 1	48.27	83.28	128.0	155.62	210.57	271.08	370.79	392.0	477.07				
File size [kB] = 1024 Run = 2	47.73	81.67	124.78	170.27	186.85	298.23	419.1	463.83	425.18				
File size [kB] = 1024 Run = 3	48.0	81.51	129.41	168.89	200.8	312.59	373.13	423.33	433.62				
File size [kB] = 1024 Run = 4	43.91	64.49	121.81	161.0	242.13	302.47	354.1	441.89	484.01				
File size [kB] = 1024 Run = 5	36.56	82.45	121.7	176.43	217.87	302.01	357.55	369.42	422.86				
