# iwrite throughput for any fs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576
Block size [kB] = 4 Run = 1	10.53	11.76	13.33	19.48	26.79	37.3	44.6	44.83	48.27	48.78	43.9	38.72	39.25						
Block size [kB] = 4 Run = 2	10.42	15.03	18.15	21.87	31.58	34.75	42.37	46.33	47.73	48.58	45.34	40.18	38.2						
Block size [kB] = 4 Run = 3	10.3	13.47	13.57	17.14	27.51	35.52	43.77	44.48	48.0	49.36	47.09	39.43	38.18						
Block size [kB] = 4 Run = 4	9.41	11.15	13.61	16.84	34.86	36.76	45.02	46.19	43.91	48.72	46.96	39.67	38.5						
Block size [kB] = 4 Run = 5	10.7	10.67	13.91	16.09	26.27	41.89	43.96	47.53	36.56	49.37	47.17	40.3	38.31						
Block size [kB] = 8 Run = 1		25.04	23.15	31.85	32.0	67.13	74.12	76.99	83.28	68.2	46.8	39.4	38.41						
Block size [kB] = 8 Run = 2		23.46	27.9	27.29	36.55	50.96	66.95	79.18	81.67	61.24	46.96	40.18	38.04						
Block size [kB] = 8 Run = 3		20.99	21.58	27.27	37.45	55.38	52.08	69.86	81.51	62.82	47.44	39.88	38.42						
Block size [kB] = 8 Run = 4		22.92	22.16	28.74	39.14	56.72	68.48	77.34	64.49	67.41	48.0	40.56	38.37						
Block size [kB] = 8 Run = 5		23.24	22.54	30.43	35.81	65.89	65.65	78.82	82.45	60.57	48.33	38.82	38.37						
Block size [kB] = 16 Run = 1			44.41	47.49	58.46	76.31	113.69	112.92	128.0	68.73	47.89	39.5	38.38						
Block size [kB] = 16 Run = 2			51.21	50.49	58.69	94.27	69.46	82.4	124.78	73.45	48.76	39.38	38.28						
Block size [kB] = 16 Run = 3			45.14	46.03	52.26	81.69	90.48	106.34	129.41	63.99	49.01	39.33	38.22						
Block size [kB] = 16 Run = 4			45.55	46.65	66.98	76.04	91.37	83.36	121.81	73.39	48.66	42.39	38.25						
Block size [kB] = 16 Run = 5			61.03	54.64	61.52	84.91	111.12	115.69	121.7	70.98	48.4	39.57	38.26						
Block size [kB] = 32 Run = 1				89.54	92.31	97.44	119.79	103.58	155.62	69.23	48.77	41.03	38.83						
Block size [kB] = 32 Run = 2				90.84	91.38	102.04	123.87	121.74	170.27	66.5	47.44	40.66	38.81						
Block size [kB] = 32 Run = 3				85.62	93.56	124.75	108.61	126.84	168.89	72.18	46.19	39.57	38.46						
Block size [kB] = 32 Run = 4				83.07	93.56	115.11	152.06	103.28	161.0	71.52	47.74	42.35	38.26						
Block size [kB] = 32 Run = 5				88.99	86.58	117.48	156.84	142.13	176.43	66.29	47.45	39.34	38.56						
Block size [kB] = 64 Run = 1					158.22	165.35	177.55	203.93	210.57	63.4	48.36	39.74	38.98	37.73	37.49	37.39	37.33	37.29	37.26
Block size [kB] = 64 Run = 2					155.5	166.87	178.43	196.16	186.85	65.01	46.76	39.16	38.43	37.71	37.49	37.37	37.32	37.29	37.27
