# randwr throughput for any bs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run = 1	13.19												
File size [kB] = 4 Run = 2	14.8												
File size [kB] = 4 Run = 3	12.77												
File size [kB] = 4 Run = 4	13.38												
File size [kB] = 4 Run = 5	11.16												
File size [kB] = 8 Run = 1	13.97	27.99											
File size [kB] = 8 Run = 2	15.69	22.65											
File size [kB] = 8 Run = 3	11.64	21.17											
File size [kB] = 8 Run = 4	11.27	26.58											
File size [kB] = 8 Run = 5	11.78	21.88											
File size [kB] = 16 Run = 1	15.33	28.31	44.77										
File size [kB] = 16 Run = 2	15.75	31.45	45.27										
File size [kB] = 16 Run = 3	14.91	24.64	44.77										
File size [kB] = 16 Run = 4	12.1	32.02	79.65										
File size [kB] = 16 Run = 5	14.92	26.26	60.58										
File size [kB] = 32 Run = 1	14.92	25.43	65.38	143.43									
File size [kB] = 32 Run = 2	21.98	29.42	49.76	97.03									
File size [kB] = 32 Run = 3	16.02	30.08	43.9	87.04									
File size [kB] = 32 Run = 4	18.58	37.79	64.54	142.81									
File size [kB] = 32 Run = 5	19.85	26.53	44.71	87.04									
File size [kB] = 64 Run = 1	15.68	28.91	61.04	103.83	200.45								
File size [kB] = 64 Run = 2	15.18	31.89	73.45	88.54	197.72								
File size [kB] = 64 Run = 3	15.92	37.83	60.27	112.42	223.14								
File size [kB] = 64 Run = 4	18.2	39.96	69.06	111.42	200.29								
File size [kB] = 64 Run = 5	15.23	32.55	56.93	106.27	202.3								
File size [kB] = 128 Run = 1	16.63	32.88	80.75	116.62	189.42	425.28							
File size [kB] = 128 Run = 2	15.42	31.6	72.29	98.89	179.87	309.35							
File size [kB] = 128 Run = 3	16.03	34.88	86.32	130.2	234.08	424.94							
File size [kB] = 128 Run = 4	17.33	37.42	81.01	113.22	204.9	377.78							
File size [kB] = 128 Run = 5	16.85	36.05	83.1	154.12	180.12	400.89							
File size [kB] = 256 Run = 1	17.02	28.42	74.49	150.06	247.26	377.62	518.63						
File size [kB] = 256 Run = 2	16.71	37.21	63.5	110.13	197.18	348.15	446.43						
File size [kB] = 256 Run = 3	16.88	36.05	62.61	133.41	190.28	332.48	425.76						
File size [kB] = 256 Run = 4	16.84	38.4	74.18	140.92	216.66	396.92	466.28						
File size [kB] = 256 Run = 5	17.81	37.75	65.57	142.78	222.45	350.6	437.12						
File size [kB] = 512 Run = 1	19.05	38.83	67.64	124.62	209.2	336.25	437.47	544.74					
File size [kB] = 512 Run = 2	13.06	36.87	51.04	106.45	225.02	371.98	439.03	496.04					
