# recrewr throughput for any fs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576
Block size [kB] = 4 Run = 1	13.33	13.27	13.8	24.19	35.84	42.03	46.12	46.13	38.8	11.47	7.34	6.14	5.96						
Block size [kB] = 4 Run = 2	11.94	14.52	19.63	24.88	32.74	39.39	37.44	41.79	37.24	9.97	6.56	5.91	5.71						
Block size [kB] = 4 Run = 3	10.28	12.58	14.84	24.78	34.46	39.43	44.79	46.28	41.3	10.53	6.95	5.71	5.58						
Block size [kB] = 4 Run = 4	13.11	12.89	15.5	23.87	36.4	44.44	45.5	45.31	43.69	10.56	7.08	6.07	5.65						
Block size [kB] = 4 Run = 5	12.13	12.56	17.64	17.78	32.72	41.89	43.13	46.97	41.2	10.6	7.09	6.33	5.99						
Block size [kB] = 8 Run = 1		23.89	26.76	34.46	43.43	53.97	94.09	84.18	91.89	19.92	13.28	11.29	10.55						
Block size [kB] = 8 Run = 2		24.64	31.0	40.42	60.52	62.47	79.84	83.31	84.59	19.1	12.24	10.56	10.41						
Block size [kB] = 8 Run = 3		21.46	26.04	29.4	52.88	80.7	69.46	88.42	91.9	19.17	12.94	10.72	9.49						
Block size [kB] = 8 Run = 4		27.4	34.66	28.61	44.87	69.67	82.29	89.3	88.67	19.1	13.02	10.91	10.85						
Block size [kB] = 8 Run = 5		26.58	27.08	31.99	39.89	74.37	77.95	86.51	92.33	19.58	13.13	11.72	10.79						
Block size [kB] = 16 Run = 1			44.26	71.67	58.19	100.4	138.12	163.56	147.43	32.15	21.65	18.56	17.07						
Block size [kB] = 16 Run = 2			62.25	63.66	89.29	110.52	147.4	136.65	108.19	29.9	19.5	17.51	15.83						
Block size [kB] = 16 Run = 3			52.1	53.42	72.66	104.86	107.35	145.22	159.82	29.9	19.83	17.67	16.24						
Block size [kB] = 16 Run = 4			62.01	71.36	80.74	87.17	113.58	110.3	169.29	30.93	20.92	17.08	16.18						
Block size [kB] = 16 Run = 5			80.53	60.91	59.02	107.66	138.96	137.66	134.97	31.92	21.85	18.84	16.9						
Block size [kB] = 32 Run = 1				100.45	97.49	113.41	150.17	257.07	155.47	44.46	29.22	25.03	23.75						
Block size [kB] = 32 Run = 2				102.82	111.23	141.1	159.43	196.94	196.78	43.15	28.02	24.09	23.64						
Block size [kB] = 32 Run = 3				103.47	137.12	160.44	132.62	283.9	301.49	42.63	29.52	24.19	23.1						
Block size [kB] = 32 Run = 4				132.42	142.72	145.2	198.11	140.84	296.74	43.02	28.73	24.4	22.86						
Block size [kB] = 32 Run = 5				91.67	109.46	117.27	150.51	206.6	314.96	44.85	29.26	25.5	23.98						
Block size [kB] = 64 Run = 1					259.34	232.42	243.41	293.6	311.92	56.06	36.92	30.82	29.51	28.55	28.33	27.67	28.11	27.81	27.65
Block size [kB] = 64 Run = 2					201.52	244.1	222.59	223.13	288.93	56.2	36.69	31.28	28.59	27.96	27.64	27.12	27.7	27.43	27.61
