# rewrite throughput for any bs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run = 1	10.5												
File size [kB] = 4 Run = 2	13.38												
File size [kB] = 4 Run = 3	15.74												
File size [kB] = 4 Run = 4	11.06												
File size [kB] = 4 Run = 5	10.97												
File size [kB] = 8 Run = 1	15.88	27.02											
File size [kB] = 8 Run = 2	16.45	24.47											
File size [kB] = 8 Run = 3	13.26	21.57											
File size [kB] = 8 Run = 4	17.84	23.05											
File size [kB] = 8 Run = 5	17.21	23.24											
File size [kB] = 16 Run = 1	18.87	26.66	41.25										
File size [kB] = 16 Run = 2	19.41	35.68	43.18										
File size [kB] = 16 Run = 3	14.09	22.28	41.12										
File size [kB] = 16 Run = 4	18.25	31.75	44.5										
File size [kB] = 16 Run = 5	14.41	29.54	78.6										
File size [kB] = 32 Run = 1	15.8	30.94	44.65	112.82									
File size [kB] = 32 Run = 2	24.0	41.23	55.22	78.12									
File size [kB] = 32 Run = 3	18.36	35.55	64.96	82.44									
File size [kB] = 32 Run = 4	24.34	43.77	62.51	78.35									
File size [kB] = 32 Run = 5	29.04	35.44	48.82	83.55									
File size [kB] = 64 Run = 1	30.15	33.37	71.18	130.5	188.75								
File size [kB] = 64 Run = 2	33.48	47.02	70.53	131.81	294.94								
File size [kB] = 64 Run = 3	29.26	48.3	67.41	137.69	183.86								
File size [kB] = 64 Run = 4	28.21	45.16	57.6	92.87	156.62								
File size [kB] = 64 Run = 5	37.74	32.0	53.6	108.29	181.69								
File size [kB] = 128 Run = 1	41.27	63.29	64.17	140.79	201.9	289.37							
File size [kB] = 128 Run = 2	29.18	59.41	87.84	109.07	195.94	348.18							
File size [kB] = 128 Run = 3	42.78	66.7	82.45	129.27	186.53	280.25							
File size [kB] = 128 Run = 4	41.99	64.47	101.63	108.98	189.97	283.43							
File size [kB] = 128 Run = 5	39.67	57.36	114.15	82.45	200.05	311.0							
File size [kB] = 256 Run = 1	47.75	73.55	98.43	122.67	232.77	301.94	374.92						
File size [kB] = 256 Run = 2	47.41	82.75	80.39	109.74	199.51	335.56	383.98						
File size [kB] = 256 Run = 3	47.21	74.58	89.31	109.07	187.86	297.23	408.51						
File size [kB] = 256 Run = 4	43.42	72.09	94.66	132.7	240.62	355.11	380.5						
File size [kB] = 256 Run = 5	47.82	65.65	116.6	120.65	222.21	374.25	415.14						
File size [kB] = 512 Run = 1	48.53	78.11	115.64	126.52	213.13	334.91	407.54	465.95					
File size [kB] = 512 Run = 2	44.88	81.57	90.71	132.67	180.7	333.37	418.02	473.1					
File size [kB] = 512 Run = 3	47.72	80.09	111.88	163.18	194.11	323.2	488.3	438.94					
File size [kB] = 512 Run = 4	45.91	80.19	135.35	168.91	189.17	373.44	411.14	394.96					
File size [kB] = 512 Run = 5	47.81	82.33	116.99	120.66	202.51	393.4	400.31	444.8					
File size [kB] = 1024 Run = 1	48.26	75.74	119.83	167.28	189.79	322.37	364.95	417.56	469.28				
File size [kB] = 1024 Run = 2	45.63	81.6	99.61	189.14	216.04	337.36	349.65	417.52	507.37				
File size [kB] = 1024 Run = 3	47.58	76.37	134.42	156.08	217.58	326.16	366.96	408.33	443.66				
File size [kB] = 1024 Run = 4	45.56	63.27	123.15	157.75	220.07	312.5	352.35	392.77	418.23				
File size [kB] = 1024 Run = 5	36.98	83.82	96.24	184.77	209.12	322.07	372.3	420.53	508.41				
File size [kB] = 2048 Run = 1	50.6	69.53	65.58	69.51	63.87	68.25	73.24	68.08	71.9	72.06			
File size [kB] = 2048 Run = 2	46.75	58.17	75.18	64.02	62.73	71.27	73.48	72.12	72.59	71.16			
File size [kB] = 2048 Run = 3	50.1	67.65	72.67	71.16	65.53	72.17	66.83	73.02	70.9	71.25			
File size [kB] = 2048 Run = 4	49.82	68.44	72.71	72.25	67.65	69.4	71.29	70.94	70.7	70.95			
File size [kB] = 2048 Run = 5	36.76	63.86	70.1	72.16	65.63	68.21	77.65	73.78	74.55	74.44			
File size [kB] = 4096 Run = 1	43.62	47.75	46.54	47.73	47.63	47.29	46.93	49.59	45.39	43.56	44.97		
File size [kB] = 4096 Run = 2	45.87	47.17	48.57	47.95	47.45	47.38	47.58	45.06	44.04	44.81	45.37		
File size [kB] = 4096 Run = 3	46.64	47.91	47.69	47.96	48.01	49.33	47.71	48.54	47.68	45.11	47.24		
File size [kB] = 4096 Run = 4	47.09	47.5	48.68	48.7	48.16	48.83	48.4	49.48	49.42	44.78	45.36		
File size [kB] = 4096 Run = 5	36.5	48.25	48.84	48.92	47.84	48.62	49.4	49.06	47.71	49.11	49.67		
File size [kB] = 8192 Run = 1	38.85	39.2	39.28	41.08	39.83	40.18	42.1	42.6	41.65	42.23	42.23	42.47	
File size [kB] = 8192 Run = 2	40.49	38.81	40.24	40.5	39.2	39.55	39.95	39.97	39.6	39.85	39.83	39.47	
File size [kB] = 8192 Run = 3	35.12	39.2	39.49	39.64	39.65	39.95	40.5	39.6	40.51	39.5	40.73	39.5	
File size [kB] = 8192 Run = 4	40.04	40.4	42.19	42.34	40.13	39.65	39.6	42.27	42.11	41.88	42.22	41.64	
