# striderd throughput for any bs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run = 1	5.17												
File size [kB] = 4 Run = 2	4.2												
File size [kB] = 4 Run = 3	4.04												
File size [kB] = 4 Run = 4	4.2												
File size [kB] = 4 Run = 5	4.47												
File size [kB] = 8 Run = 1	4.98	8.6											
File size [kB] = 8 Run = 2	6.01	8.03											
File size [kB] = 8 Run = 3	5.03	7.82											
File size [kB] = 8 Run = 4	5.05	8.25											
File size [kB] = 8 Run = 5	3.52	7.6											
File size [kB] = 16 Run = 1	8.78	7.58	14.26										
File size [kB] = 16 Run = 2	10.65	11.83	16.14										
File size [kB] = 16 Run = 3	9.08	10.45	15.32										
File size [kB] = 16 Run = 4	9.5	10.17	15.74										
File size [kB] = 16 Run = 5	10.21	9.91	16.53										
File size [kB] = 32 Run = 1	17.0	16.74	18.92	26.66									
File size [kB] = 32 Run = 2	19.74	20.76	16.66	25.45									
File size [kB] = 32 Run = 3	17.24	17.32	17.52	26.26									
File size [kB] = 32 Run = 4	17.34	18.85	17.74	23.88									
File size [kB] = 32 Run = 5	17.96	17.72	17.78	26.11									
File size [kB] = 64 Run = 1	30.91	30.31	29.06	19.28	40.79								
File size [kB] = 64 Run = 2	30.97	31.81	34.04	28.18	43.74								
File size [kB] = 64 Run = 3	29.99	29.98	30.16	13.48	40.9								
File size [kB] = 64 Run = 4	30.43	31.2	32.89	13.7	40.59								
File size [kB] = 64 Run = 5	29.92	31.44	31.08	29.6	44.11								
File size [kB] = 128 Run = 1	14.66	49.08	49.64	46.28	49.86	58.71							
File size [kB] = 128 Run = 2	10.33	48.04	47.71	45.89	48.24	59.13							
File size [kB] = 128 Run = 3	9.73	47.64	47.26	47.2	46.82	59.35							
File size [kB] = 128 Run = 4	9.94	50.49	46.7	48.17	46.82	61.57							
File size [kB] = 128 Run = 5	10.47	51.32	50.61	48.73	52.81	58.36							
File size [kB] = 256 Run = 1	19.49	28.12	94.95	53.54	99.72	75.35	76.17						
File size [kB] = 256 Run = 2	9.56	14.05	97.58	98.24	94.66	75.43	78.05						
File size [kB] = 256 Run = 3	9.13	14.19	93.11	95.42	95.96	75.49	77.23						
File size [kB] = 256 Run = 4	9.09	14.43	99.09	99.36	98.08	76.43	77.59						
File size [kB] = 256 Run = 5	9.13	13.7	98.23	102.84	96.86	75.32	76.95						
File size [kB] = 512 Run = 1	20.27	26.62	42.36	182.62	176.81	89.73	89.86	91.42					
File size [kB] = 512 Run = 2	8.75	12.83	23.26	185.26	186.85	89.6	89.76	91.96					
File size [kB] = 512 Run = 3	8.41	12.87	24.32	203.41	184.58	91.91	91.26	94.55					
File size [kB] = 512 Run = 4	8.5	12.63	24.2	182.47	180.64	92.68	89.93	92.94					
File size [kB] = 512 Run = 5	8.84	12.42	24.19	181.42	178.64	94.95	88.09	94.54					
File size [kB] = 1024 Run = 1	18.25	21.89	41.72	52.9	370.92	177.02	113.17	99.81	102.06				
File size [kB] = 1024 Run = 2	8.98	9.02	22.39	40.11	363.21	179.6	111.57	99.57	100.72				
File size [kB] = 1024 Run = 3	8.54	8.89	21.01	39.97	336.82	182.12	112.14	100.28	101.38				
File size [kB] = 1024 Run = 4	8.63	8.9	21.29	39.35	348.8	177.75	113.56	99.38	99.92				
File size [kB] = 1024 Run = 5	8.69	9.0	21.84	37.22	341.31	182.35	114.22	97.58	100.25				
File size [kB] = 2048 Run = 1	15.27	18.5	45.12	56.75	73.28	345.72	218.49	146.95	112.12	105.52			
File size [kB] = 2048 Run = 2	8.97	7.12	19.96	33.25	60.54	346.44	222.07	147.61	112.18	105.97			
File size [kB] = 2048 Run = 3	8.54	7.03	20.0	33.19	59.32	348.44	219.59	147.39	111.61	105.77			
File size [kB] = 2048 Run = 4	8.47	7.06	19.25	34.7	58.64	342.34	217.89	146.8	111.73	105.57			
File size [kB] = 2048 Run = 5	8.57	7.15	19.94	33.05	59.07	346.38	222.1	147.58	111.26	105.11			
File size [kB] = 4096 Run = 1	6.0	6.76	20.05	31.67	48.25	68.74	429.37	287.07	218.67	147.96	108.54		
File size [kB] = 4096 Run = 2	7.82	6.75	19.94	31.93	49.17	70.48	423.82	288.31	218.61	147.71	108.59		
File size [kB] = 4096 Run = 3	8.04	6.73	19.67	30.81	49.46	68.66	420.43	286.02	218.08	147.27	108.35		
File size [kB] = 4096 Run = 4	7.84	6.69	19.62	31.18	48.71	68.64	422.17	287.96	217.84	148.06	108.18		
File size [kB] = 4096 Run = 5	7.97	6.81	19.66	32.06	49.86	70.77	425.48	287.69	219.22	146.99	108.45		
File size [kB] = 8192 Run = 1	7.2	6.25	19.33	31.27	45.1	62.76	69.75	546.71	418.65	285.7	175.46	110.34	
File size [kB] = 8192 Run = 2	7.55	6.24	19.5	30.49	45.15	61.7	71.63	587.29	423.53	287.64	174.86	110.15	
File size [kB] = 8192 Run = 3	7.41	6.2	19.23	31.43	45.07	59.73	71.5	546.11	421.43	286.04	174.92	110.17	
File size [kB] = 8192 Run = 4	7.64	6.16	19.13	30.43	45.66	59.74	69.35	551.34	418.3	286.23	175.42	109.79	
File size [kB] = 8192 Run = 5	7.61	6.24	19.78	31.61	45.75	61.79	70.33	545.11	422.25	287.6	175.11	110.18	
File size [kB] = 16384 Run = 1	7.38	5.44	18.77	29.58	44.0	55.74	77.8	53.92	781.97	548.17	338.92	192.07	110.79
File size [kB] = 16384 Run = 2	7.02	5.39	18.13	29.6	44.8	56.76	77.54	53.9	772.27	544.33	339.76	190.2	110.78
File size [kB] = 16384 Run = 3	7.34	5.38	18.26	30.13	44.33	56.2	77.54	53.8	779.99	546.73	338.29	192.3	110.83
File size [kB] = 16384 Run = 4	7.22	5.38	18.17	30.56	41.9	54.7	78.78	53.74	778.7	544.42	337.82	191.46	110.95
File size [kB] = 16384 Run = 5	7.46	5.38	18.74	30.6	44.08	55.19	78.66	53.76	779.46	543.29	331.83	192.06	110.51
File size [kB] = 32768 Run = 1					42.99	52.54	78.7	53.98	74.28	993.01	638.22	364.31	203.05
File size [kB] = 32768 Run = 2					41.97	52.9	77.78	53.63	73.22	994.46	638.44	362.11	202.89
File size [kB] = 32768 Run = 3					42.22	53.5	78.01	53.9	74.17	992.96	636.82	363.88	202.17
File size [kB] = 32768 Run = 4					42.83	53.3	76.64	53.91	73.64	989.33	635.07	364.9	202.83
File size [kB] = 32768 Run = 5					43.38	55.42	77.48	54.0	73.81	989.21	636.13	363.16	202.51
File size [kB] = 65536 Run = 1					40.93	55.68	78.38	53.17	72.52	91.46	1138.56	651.45	381.57
File size [kB] = 65536 Run = 2					40.59	52.81	78.35	53.42	72.71	91.12	1136.77	663.71	381.05
File size [kB] = 65536 Run = 3					40.96	52.99	78.49	53.11	72.34	91.06	1134.09	660.01	381.33
File size [kB] = 65536 Run = 4					41.96	49.88	76.63	53.46	72.63	90.94	1135.58	664.49	381.48
File size [kB] = 65536 Run = 5					40.77	53.67	78.44	53.36	72.57	91.37	1131.64	658.3	380.9
File size [kB] = 131072 Run = 1					40.79	51.96	77.48	53.06	71.77	89.23	103.26	1122.91	689.97
File size [kB] = 131072 Run = 2					40.16	49.5	77.36	52.76	71.32	89.08	103.37	1201.38	684.13
File size [kB] = 131072 Run = 3					39.99	51.12	76.93	52.95	71.52	89.24	103.33	1117.22	682.33
File size [kB] = 131072 Run = 4					40.43	50.5	77.11	52.93	71.61	89.27	103.31	1109.63	681.22
File size [kB] = 131072 Run = 5					40.64	52.19	78.31	53.07	71.76	89.16	103.3	1110.89	669.55
File size [kB] = 262144 Run = 1					39.61	49.81	78.35	52.95	71.33	82.97	100.53	110.61	1145.78
File size [kB] = 262144 Run = 2					39.17	51.92	77.25	52.66	71.26	88.03	100.58	110.57	1133.28
File size [kB] = 262144 Run = 3					40.7	49.55	77.03	52.89	71.01	87.97	100.54	110.61	1137.57
File size [kB] = 262144 Run = 4					40.0	49.84	78.16	52.95	71.12	87.87	100.42	110.49	1127.2
File size [kB] = 262144 Run = 5					40.45	51.73	78.05	52.93	71.06	87.87	100.57	110.58	1120.2
File size [kB] = 524288 Run = 1					39.56	51.51	76.97	52.91	70.95	87.43	99.13	107.41	114.59
File size [kB] = 524288 Run = 2					39.81	52.09	76.64	52.93	71.05	87.27	98.96	107.43	114.6
File size [kB] = 524288 Run = 3					39.6	49.17	76.96	52.65	70.8	87.32	99.09	107.39	114.6
