# striderd throughput for any fs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576
Block size [kB] = 4 Run = 1	5.17	4.98	8.78	17.0	30.91	14.66	19.49	20.27	18.25	15.27	6.0	7.2	7.38						
Block size [kB] = 4 Run = 2	4.2	6.01	10.65	19.74	30.97	10.33	9.56	8.75	8.98	8.97	7.82	7.55	7.02						
Block size [kB] = 4 Run = 3	4.04	5.03	9.08	17.24	29.99	9.73	9.13	8.41	8.54	8.54	8.04	7.41	7.34						
Block size [kB] = 4 Run = 4	4.2	5.05	9.5	17.34	30.43	9.94	9.09	8.5	8.63	8.47	7.84	7.64	7.22						
Block size [kB] = 4 Run = 5	4.47	3.52	10.21	17.96	29.92	10.47	9.13	8.84	8.69	8.57	7.97	7.61	7.46						
Block size [kB] = 8 Run = 1		8.6	7.58	16.74	30.31	49.08	28.12	26.62	21.89	18.5	6.76	6.25	5.44						
Block size [kB] = 8 Run = 2		8.03	11.83	20.76	31.81	48.04	14.05	12.83	9.02	7.12	6.75	6.24	5.39						
Block size [kB] = 8 Run = 3		7.82	10.45	17.32	29.98	47.64	14.19	12.87	8.89	7.03	6.73	6.2	5.38						
Block size [kB] = 8 Run = 4		8.25	10.17	18.85	31.2	50.49	14.43	12.63	8.9	7.06	6.69	6.16	5.38						
Block size [kB] = 8 Run = 5		7.6	9.91	17.72	31.44	51.32	13.7	12.42	9.0	7.15	6.81	6.24	5.38						
Block size [kB] = 16 Run = 1			14.26	18.92	29.06	49.64	94.95	42.36	41.72	45.12	20.05	19.33	18.77						
Block size [kB] = 16 Run = 2			16.14	16.66	34.04	47.71	97.58	23.26	22.39	19.96	19.94	19.5	18.13						
Block size [kB] = 16 Run = 3			15.32	17.52	30.16	47.26	93.11	24.32	21.01	20.0	19.67	19.23	18.26						
Block size [kB] = 16 Run = 4			15.74	17.74	32.89	46.7	99.09	24.2	21.29	19.25	19.62	19.13	18.17						
Block size [kB] = 16 Run = 5			16.53	17.78	31.08	50.61	98.23	24.19	21.84	19.94	19.66	19.78	18.74						
