# iozone measured throughput[MB/s] for any FS and any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Operation	iwrite	rewrite	iread	reread	randrd	randwr	bkwdrd	recrewr	striderd	fwrite	frewrite	fread	freread
File size [kB] = 4 Block size [kB] = 4 Run = 1	10.53	10.5	7.03	3906.25	974.91	13.19	4.55	13.33	5.17	13.15	15.94	4.36	1279.43
File size [kB] = 4 Block size [kB] = 4 Run = 2	10.42	13.38	6.35	3906.25	974.91	14.8	3.92	11.94	4.2	19.42	12.44	3.84	974.91
File size [kB] = 4 Block size [kB] = 4 Run = 3	10.3	15.74	6.72	3906.25	974.91	12.77	3.98	10.28	4.04	19.14	19.72	4.09	1279.43
File size [kB] = 4 Block size [kB] = 4 Run = 4	9.41	11.06	6.69	3906.25	974.91	13.38	3.96	13.11	4.2	11.8	10.52	3.43	974.91
File size [kB] = 4 Block size [kB] = 4 Run = 5	10.7	10.97	6.26	3409.29	974.91	11.16	4.52	12.13	4.47	11.91	18.52	4.08	1279.43
File size [kB] = 8 Block size [kB] = 4 Run = 1	11.76	15.88	14.6	6818.58	1574.95	13.97	4.08	13.27	4.98	22.25	39.49	5.22	1949.81
File size [kB] = 8 Block size [kB] = 4 Run = 2	15.03	16.45	12.96	7812.5	1574.95	15.69	3.23	14.52	6.01	28.3	27.13	5.29	2558.86
File size [kB] = 8 Block size [kB] = 4 Run = 3	13.47	13.26	4.13	3721.23	1502.73	11.64	3.43	12.58	5.03	23.46	38.11	4.93	1949.81
File size [kB] = 8 Block size [kB] = 4 Run = 4	11.15	17.84	13.31	3721.23	1949.81	11.27	3.4	12.89	5.05	26.39	31.15	4.82	1949.81
File size [kB] = 8 Block size [kB] = 4 Run = 5	10.67	17.21	13.68	3721.23	1574.95	11.78	3.84	12.56	3.52	27.22	33.38	5.5	1574.95
File size [kB] = 8 Block size [kB] = 8 Run = 1	25.04	27.02	12.17	7812.5	1949.81	27.99	8.32	23.89	8.6	23.26	27.7	8.62	1949.81
File size [kB] = 8 Block size [kB] = 8 Run = 2	23.46	24.47	13.68	7812.5	1949.81	22.65	7.65	24.64	8.03	27.52	26.03	7.92	1949.81
File size [kB] = 8 Block size [kB] = 8 Run = 3	20.99	21.57	13.15	6818.58	1949.81	21.17	7.45	21.46	7.82	23.18	23.82	8.14	1949.81
File size [kB] = 8 Block size [kB] = 8 Run = 4	22.92	23.05	12.42	6818.58	1949.81	26.58	8.24	27.4	8.25	26.75	25.11	7.53	1949.81
File size [kB] = 8 Block size [kB] = 8 Run = 5	23.24	23.24	13.13	7812.5	1949.81	21.88	8.3	26.58	7.6	24.57	24.04	7.84	1949.81
File size [kB] = 16 Block size [kB] = 4 Run = 1	13.33	18.87	29.31	3899.63	2539.59	15.33	4.09	13.8	8.78	19.66	19.38	9.13	2198.77
File size [kB] = 16 Block size [kB] = 4 Run = 2	18.15	19.41	25.86	3899.63	2641.97	15.75	2.97	19.63	10.65	23.93	20.42	10.17	2198.77
File size [kB] = 16 Block size [kB] = 4 Run = 3	13.57	14.09	25.16	3899.63	2275.11	14.91	2.83	14.84	9.08	17.42	19.85	8.8	2275.11
File size [kB] = 16 Block size [kB] = 4 Run = 4	13.61	18.25	25.32	3899.63	2275.11	12.1	2.97	15.5	9.5	17.98	22.19	10.4	2198.77
File size [kB] = 16 Block size [kB] = 4 Run = 5	13.91	14.41	26.88	3899.63	2198.77	14.92	3.1	17.64	10.21	17.81	15.5	9.83	2275.11
File size [kB] = 16 Block size [kB] = 8 Run = 1	23.15	26.66	8.64	5117.72	2641.97	28.31	6.83	26.76	7.58	49.77	56.02	10.71	2539.59
File size [kB] = 16 Block size [kB] = 8 Run = 2	27.9	35.68	31.62	5551.22	3149.91	31.45	7.29	31.0	11.83	70.71	57.65	12.07	3005.45
File size [kB] = 16 Block size [kB] = 8 Run = 3	21.58	22.28	24.23	5551.22	2641.97	24.64	6.6	26.04	10.45	49.13	48.55	9.63	2641.97
File size [kB] = 16 Block size [kB] = 8 Run = 4	22.16	31.75	25.7	3899.63	3005.45	32.02	6.65	34.66	10.17	75.17	76.58	9.88	2641.97
File size [kB] = 16 Block size [kB] = 8 Run = 5	22.54	29.54	8.26	5117.72	2641.97	26.26	6.57	27.08	9.91	60.3	68.28	11.04	3149.91
File size [kB] = 16 Block size [kB] = 16 Run = 1	44.41	41.25	26.62	3899.63	2641.97	44.77	15.91	44.26	14.26	44.02	46.78	13.64	3149.91
File size [kB] = 16 Block size [kB] = 16 Run = 2	51.21	43.18	26.84	3899.63	3149.91	45.27	15.08	62.25	16.14	51.77	52.77	14.33	2641.97
File size [kB] = 16 Block size [kB] = 16 Run = 3	45.14	41.12	26.26	3899.63	2641.97	44.77	14.45	52.1	15.32	44.02	46.22	13.55	3149.91
File size [kB] = 16 Block size [kB] = 16 Run = 4	45.55	44.5	27.65	7442.46	3149.91	79.65	15.25	62.01	15.74	64.01	44.38	14.78	2641.97
File size [kB] = 16 Block size [kB] = 16 Run = 5	61.03	78.6	31.69	5117.72	3149.91	60.58	15.5	80.53	16.53	82.25	69.44	16.75	3149.91
File size [kB] = 32 Block size [kB] = 4 Run = 1	19.48	15.8	13.39	3466.99	2861.48	14.92	4.17	24.19	17.0	24.61	19.59	9.48	2861.48
File size [kB] = 32 Block size [kB] = 4 Run = 2	21.87	24.0	15.29	3877.22	2861.48	21.98	2.7	24.88	19.74	27.25	30.1	10.2	2579.87
File size [kB] = 32 Block size [kB] = 4 Run = 3	17.14	18.36	14.31	3466.99	2800.34	16.02	2.55	24.78	17.24	20.56	22.51	9.23	2861.48
File size [kB] = 32 Block size [kB] = 4 Run = 4	16.84	24.34	12.5	3995.4	2861.48	18.58	2.43	23.87	17.34	15.77	23.84	9.21	3135.27
File size [kB] = 32 Block size [kB] = 4 Run = 5	16.09	29.04	14.54	3877.22	3135.27	19.85	2.77	17.78	17.96	25.43	32.48	10.64	3062.02
File size [kB] = 32 Block size [kB] = 8 Run = 1	31.85	30.94	12.37	4397.55	3135.27	25.43	6.9	34.46	16.74	36.89	46.37	8.63	3135.27
File size [kB] = 32 Block size [kB] = 8 Run = 2	27.29	41.23	15.29	4397.55	3466.99	29.42	5.93	40.42	20.76	48.84	46.11	10.91	3466.99
File size [kB] = 32 Block size [kB] = 8 Run = 3	27.27	35.55	14.78	4397.55	2861.48	30.08	5.49	29.4	17.32	32.66	35.59	8.82	3135.27
File size [kB] = 32 Block size [kB] = 8 Run = 4	28.74	43.77	15.36	4397.55	3135.27	37.79	5.35	28.61	18.85	46.22	37.47	9.58	3135.27
File size [kB] = 32 Block size [kB] = 8 Run = 5	30.43	35.44	14.66	4397.55	3062.02	26.53	5.38	31.99	17.72	35.08	34.84	9.97	2228.9
File size [kB] = 32 Block size [kB] = 16 Run = 1	47.49	44.65	58.62	4397.55	3135.27	65.38	12.58	71.67	18.92	114.49	103.47	18.34	3135.27
File size [kB] = 32 Block size [kB] = 16 Run = 2	50.49	55.22	52.98	4550.21	3877.22	49.76	10.84	63.66	16.66	110.81	81.17	17.08	3135.27
File size [kB] = 32 Block size [kB] = 16 Run = 3	46.03	64.96	51.73	4397.55	1300.24	43.9	11.53	53.42	17.52	99.16	97.9	16.73	3466.99
File size [kB] = 32 Block size [kB] = 16 Run = 4	46.65	62.51	54.08	4397.55	3466.99	64.54	11.85	71.36	17.74	135.15	99.16	18.34	3466.99
File size [kB] = 32 Block size [kB] = 16 Run = 5	54.64	48.82	55.03	4550.21	3466.99	44.71	11.44	60.91	17.78	152.44	136.42	20.32	3062.02
File size [kB] = 32 Block size [kB] = 32 Run = 1	89.54	112.82	51.57	3466.99	3466.99	143.43	27.44	100.45	26.66	106.23	90.34	24.04	3135.27
File size [kB] = 32 Block size [kB] = 32 Run = 2	90.84	78.12	46.56	1492.75	3466.99	97.03	26.76	102.82	25.45	116.12	92.19	24.78	3466.99
File size [kB] = 32 Block size [kB] = 32 Run = 3	85.62	82.44	53.96	3466.99	3466.99	87.04	25.53	103.47	26.26	102.1	92.19	25.16	3466.99
File size [kB] = 32 Block size [kB] = 32 Run = 4	83.07	78.35	52.35	3466.99	3877.22	142.81	26.39	132.42	23.88	136.56	96.75	23.89	3561.19
File size [kB] = 32 Block size [kB] = 32 Run = 5	88.99	83.55	55.22	3466.99	3466.99	87.04	26.35	91.67	26.11	105.21	107.36	29.48	3135.27
File size [kB] = 64 Block size [kB] = 4 Run = 1	26.79	30.15	25.94	3923.98	3284.78	15.68	5.17	35.84	30.91	33.59	35.57	16.17	2985.5
File size [kB] = 64 Block size [kB] = 4 Run = 2	31.58	33.48	27.08	3923.98	3284.78	15.18	2.23	32.74	30.97	28.98	39.81	16.56	2501.24
