# iozone measured throughput[MB/s] for any FS and any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Operation	iwrite	rewrite	iread	reread	randrd	randwr	bkwdrd	recrewr	striderd	fwrite	frewrite	fread	freread
File size [kB] = 4 Block size [kB] = 4 Run = 1	130.23	350.04	2098.98	3906.25	1279.43	549.69	357.68	549.69	549.69	391.91	350.04	433.37	1279.43
File size [kB] = 4 Block size [kB] = 4 Run = 2	126.22	322.48	1860.61	3906.25	2098.98	660.49	391.91	499.42	484.65	391.91	328.96	433.37	1279.43
File size [kB] = 4 Block size [kB] = 4 Run = 3	130.23	322.48	3906.25	3906.25	1860.61	568.78	382.75	568.78	484.65	391.91	322.48	169.25	1279.43
File size [kB] = 4 Block size [kB] = 4 Run = 4	125.25	328.96	1860.61	3906.25	1860.61	660.49	382.75	568.78	484.65	433.37	357.68	391.91	1279.43
File size [kB] = 4 Block size [kB] = 4 Run = 5	126.22	328.96	2098.98	3409.29	1279.43	549.69	391.91	568.78	484.65	391.91	350.04	382.75	974.91
File size [kB] = 8 Block size [kB] = 4 Run = 1	190.73	462.79	2558.86	6818.58	4197.96	783.82	597.89	783.82	866.75	866.75	597.89	866.75	1574.95
File size [kB] = 8 Block size [kB] = 4 Run = 2	195.27	432.26	3721.23	3721.23	4197.96	783.82	644.97	783.82	866.75	783.82	657.92	969.3	1949.81
File size [kB] = 8 Block size [kB] = 4 Run = 3	237.78	462.79	4197.96	4197.96	2558.86	866.75	657.92	765.5	866.75	866.75	597.89	866.75	1949.81
File size [kB] = 8 Block size [kB] = 4 Run = 4	236.07	456.34	3721.23	4197.96	2558.86	866.75	597.89	969.3	969.3	866.75	597.89	866.75	1949.81
File size [kB] = 8 Block size [kB] = 4 Run = 5	237.78	462.79	3721.23	3721.23	2558.86	783.82	597.89	783.82	866.75	783.82	657.92	998.85	1574.95
File size [kB] = 8 Block size [kB] = 8 Run = 1	301.16	597.89	7812.5	6818.58	3721.23	1137.55	715.37	969.3	866.75	866.75	557.22	998.85	1949.81
File size [kB] = 8 Block size [kB] = 8 Run = 2	229.46	557.22	7812.5	7812.5	2558.86	998.85	657.92	866.75	998.85	866.75	597.89	998.85	1949.81
File size [kB] = 8 Block size [kB] = 8 Run = 3	312.65	557.22	6818.58	6818.58	3721.23	1137.55	715.37	1137.55	969.3	866.75	557.22	1137.55	1949.81
File size [kB] = 8 Block size [kB] = 8 Run = 4	312.65	609.01	4197.96	7812.5	3721.23	1099.39	657.92	969.3	866.75	866.75	557.22	998.85	1949.81
File size [kB] = 8 Block size [kB] = 8 Run = 5	301.16	597.89	6818.58	6818.58	2558.86	1137.55	644.97	866.75	890.3	765.5	557.22	969.3	1949.81
File size [kB] = 16 Block size [kB] = 4 Run = 1	306.52	602.32	3899.63	3899.63	3149.91	980.99	1043.47	1114.45	1567.63	925.58	684.05	1430.74	2275.11
File size [kB] = 16 Block size [kB] = 4 Run = 2	306.52	625.31	3899.63	3899.63	1043.47	966.53	1043.47	1114.45	1567.63	925.58	676.98	1567.63	2275.11
File size [kB] = 16 Block size [kB] = 4 Run = 3	300.89	596.84	3899.63	4146.35	3149.91	1043.47	1043.47	1114.45	1430.74	925.58	676.98	1400.17	2539.59
File size [kB] = 16 Block size [kB] = 4 Run = 4	306.52	602.32	4146.35	3899.63	3149.91	980.99	1043.47	1027.12	1567.63	876.08	489.78	1430.74	2539.59
File size [kB] = 16 Block size [kB] = 4 Run = 5	306.52	596.84	3149.91	3899.63	3149.91	1043.47	1043.47	1114.45	1430.74	925.58	676.98	1531.01	2539.59
File size [kB] = 16 Block size [kB] = 8 Run = 1	318.44	782.0	5117.72	5117.72	3899.63	1400.17	1114.45	1430.74	1531.01	1567.63	1114.45	1733.5	3005.45
File size [kB] = 16 Block size [kB] = 8 Run = 2	283.94	772.78	5117.72	5117.72	3149.91	1315.83	1114.45	1289.93	1567.63	1400.17	1114.45	1567.63	2539.59
