# fread throughput for any fs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576
Block size [kB] = 4 Run = 1	5.42	5.6	11.81	9.98	16.49	21.61	33.22	42.64	41.62	38.21	38.61	39.14	39.1						
Block size [kB] = 4 Run = 2	3.78	4.78	10.5	9.13	16.55	17.96	29.71	37.82	36.92	38.2	38.95	38.89	38.94						
Block size [kB] = 4 Run = 3	3.72	4.64	10.41	9.21	15.85	16.71	29.62	36.52	37.26	38.34	38.97	39.12	39.32						
Block size [kB] = 4 Run = 4	3.94	4.79	9.79	9.59	16.17	16.32	29.16	35.04	37.11	38.07	38.33	38.65	38.53						
Block size [kB] = 4 Run = 5	3.83	5.4	10.98	10.3	15.73	17.91	30.7	36.85	38.07	38.85	38.74	38.87	39.18						
Block size [kB] = 8 Run = 1		8.89	10.61	10.88	16.07	22.02	34.41	42.83	42.53	38.42	38.71	39.27	39.3						
Block size [kB] = 8 Run = 2		8.28	9.36	9.58	16.17	17.16	27.95	35.09	37.85	38.32	38.89	39.07	39.3						
Block size [kB] = 8 Run = 3		9.6	9.63	9.28	15.73	17.9	30.31	36.31	37.76	38.2	38.76	38.97	39.32						
Block size [kB] = 8 Run = 4		7.83	10.64	9.16	16.53	16.96	29.45	36.18	38.3	38.68	38.13	38.5	39.14						
Block size [kB] = 8 Run = 5		8.82	10.09	10.64	15.85	17.44	30.55	36.0	38.25	37.08	39.27	39.36	39.36						
Block size [kB] = 16 Run = 1			15.93	18.3	16.25	25.42	39.66	52.83	43.71	42.34	39.82	39.21	39.1						
Block size [kB] = 16 Run = 2			14.82	18.01	16.09	26.66	31.25	40.94	40.03	40.09	39.04	38.97	39.75						
Block size [kB] = 16 Run = 3			15.29	17.45	16.06	24.14	32.15	40.85	41.06	39.08	39.53	38.85	39.56						
Block size [kB] = 16 Run = 4			16.11	18.38	16.38	25.02	32.8	41.24	40.42	39.41	39.06	39.54	38.92						
Block size [kB] = 16 Run = 5			15.2	19.59	17.08	26.67	30.55	40.74	40.21	38.91	39.34	39.69	39.46						
Block size [kB] = 32 Run = 1				24.7	32.72	25.08	40.39	49.32	44.95	38.85	40.17	39.27	39.59						
Block size [kB] = 32 Run = 2				26.67	29.83	24.91	40.54	43.53	40.29	40.19	39.3	39.41	39.68						
Block size [kB] = 32 Run = 3				24.51	31.74	25.09	41.06	42.83	42.43	40.02	39.39	39.21	39.46						
Block size [kB] = 32 Run = 4				24.88	32.74	24.71	40.79	45.14	40.6	39.78	38.77	39.59	38.99						
