# fwrite throughput for any fs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576
Block size [kB] = 4 Run = 1	19.84	32.97	23.78	25.64	39.63	31.98	45.21	47.37	49.04	49.48	44.79	39.05	38.79						
Block size [kB] = 4 Run = 2	18.77	26.05	28.06	22.71	35.43	42.34	40.37	41.83	43.74	46.56	34.9	40.95	38.29						
Block size [kB] = 4 Run = 3	10.73	30.18	20.46	21.66	29.92	39.26	44.73	45.96	46.29	35.8	46.64	40.67	38.5						
Block size [kB] = 4 Run = 4	22.21	36.17	21.67	17.92	26.3	38.58	45.54	46.17	47.6	48.6	47.36	40.39	38.17						
Block size [kB] = 4 Run = 5	13.51	28.2	24.45	26.78	24.06	29.4	44.54	45.95	46.69	35.86	46.81	36.1	34.07						
Block size [kB] = 8 Run = 1		38.11	73.73	33.71	53.64	56.98	75.85	77.71	84.9	68.95	48.03	40.97	39.27						
Block size [kB] = 8 Run = 2		24.71	43.64	38.29	48.07	42.42	61.82	70.16	51.74	67.0	48.3	41.08	38.41						
Block size [kB] = 8 Run = 3		32.04	45.3	33.5	47.92	70.03	75.69	71.57	58.03	63.92	48.28	39.35	38.51						
Block size [kB] = 8 Run = 4		24.03	60.8	31.31	53.46	54.04	61.04	82.26	83.96	64.79	47.42	39.17	38.62						
Block size [kB] = 8 Run = 5		28.52	84.37	35.11	64.91	37.04	70.16	79.79	78.92	68.9	47.21	39.18	38.18						
Block size [kB] = 16 Run = 1			42.45	103.14	87.42	94.49	96.56	136.61	124.84	70.79	47.5	40.66	38.79						
Block size [kB] = 16 Run = 2			86.82	97.39	95.57	93.08	105.04	112.99	77.44	65.75	47.28	40.63	38.7						
Block size [kB] = 16 Run = 3			51.73	99.24	77.54	98.57	85.85	118.26	109.01	65.89	46.82	41.91	38.58						
Block size [kB] = 16 Run = 4			72.35	84.9	92.73	61.91	85.09	140.33	87.86	73.53	47.75	39.77	38.52						
Block size [kB] = 16 Run = 5			71.02	161.06	97.64	80.9	96.16	123.36	85.11	71.11	48.68	39.45	38.28						
Block size [kB] = 32 Run = 1				99.46	262.72	120.89	159.22	148.99	179.66	73.05	49.06	40.06	38.95						
Block size [kB] = 32 Run = 2				92.71	226.41	174.08	122.97	141.4	173.67	68.85	47.48	40.71	38.46						
Block size [kB] = 32 Run = 3				119.72	193.49	172.42	169.62	136.35	155.23	71.12	48.88	39.3	38.48						
Block size [kB] = 32 Run = 4				102.5	325.32	118.92	170.53	150.15	152.3	69.64	48.66	39.35	38.85						
Block size [kB] = 32 Run = 5				169.82	261.41	180.61	107.63	195.32	164.55	67.55	47.8	39.45	38.26						
Block size [kB] = 64 Run = 1					214.03	314.74	286.04	204.82	235.68	77.59	50.6	42.62	38.83	37.86	37.59	37.43	37.33	36.79	37.02
Block size [kB] = 64 Run = 2					231.41	383.31	304.48	314.66	233.04	79.47	49.57	40.29	38.79	38.37	37.56	37.53	37.31	37.32	37.27
Block size [kB] = 64 Run = 3					242.32	336.99	303.78	222.61	206.94	72.3	50.3	40.37	38.48	37.79	37.56	37.45	37.36	36.77	36.79
Block size [kB] = 64 Run = 4					230.6	358.17	294.48	250.38	229.2	74.57	49.41	39.79	38.93	37.97	37.57	37.41	37.32	37.29	37.27
Block size [kB] = 64 Run = 5					234.1	516.64	246.56	225.43	210.7	71.59	50.24	39.92	38.5	37.84	37.56	37.4	37.33	37.28	37.27
Block size [kB] = 128 Run = 1						319.73	698.21	550.17	319.08	85.07	51.95	40.2	39.04	37.95	37.6	37.43	37.38	37.31	37.28
Block size [kB] = 128 Run = 2						361.38	704.31	508.18	461.28	80.87	51.08	40.68	39.59	37.97	37.6	37.44	37.36	37.29	37.27
Block size [kB] = 128 Run = 3						335.91	662.9	507.69	414.26	80.29	50.29	40.86	38.66	37.89	37.67	37.43	37.4	37.3	37.29
