# iread throughput for any bs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run = 1	6.24												
File size [kB] = 4 Run = 2	6.48												
File size [kB] = 4 Run = 3	6.35												
File size [kB] = 4 Run = 4	6.02												
File size [kB] = 4 Run = 5	6.31												
File size [kB] = 8 Run = 1	13.22	11.0											
File size [kB] = 8 Run = 2	13.33	13.3											
File size [kB] = 8 Run = 3	14.39	13.93											
File size [kB] = 8 Run = 4	14.54	13.02											
File size [kB] = 8 Run = 5	4.58	13.65											
File size [kB] = 16 Run = 1	33.04	27.65	29.71										
File size [kB] = 16 Run = 2	28.04	26.84	25.53										
File size [kB] = 16 Run = 3	25.73	26.84	25.61										
File size [kB] = 16 Run = 4	26.71	25.36	27.22										
File size [kB] = 16 Run = 5	28.1	7.74	27.37										
File size [kB] = 32 Run = 1	15.71	14.96	55.52	61.51									
File size [kB] = 32 Run = 2	14.55	14.84	14.67	49.94									
File size [kB] = 32 Run = 3	15.09	14.51	48.0	51.04									
File size [kB] = 32 Run = 4	15.39	13.89	50.32	49.13									
File size [kB] = 32 Run = 5	14.83	15.45	17.48	54.92									
File size [kB] = 64 Run = 1	26.58	25.67	25.51	101.46	110.06								
File size [kB] = 64 Run = 2	25.08	25.0	25.72	105.54	95.57								
File size [kB] = 64 Run = 3	25.23	24.71	24.74	24.44	96.74								
File size [kB] = 64 Run = 4	23.99	26.19	23.12	123.78	97.21								
File size [kB] = 64 Run = 5	25.59	26.58	26.82	90.84	94.85								
File size [kB] = 128 Run = 1	35.0	33.77	44.5	39.91	223.98	199.97							
File size [kB] = 128 Run = 2	24.2	22.8	39.51	43.87	241.29	214.8							
File size [kB] = 128 Run = 3	23.35	22.67	41.32	42.43	187.13	211.51							
File size [kB] = 128 Run = 4	21.18	22.52	23.75	41.32	219.66	197.49							
File size [kB] = 128 Run = 5	24.49	24.01	43.63	43.48	225.23	197.78							
File size [kB] = 256 Run = 1	45.2	44.64	57.92	62.01	84.29	213.13	388.82						
File size [kB] = 256 Run = 2	37.83	37.88	40.9	61.51	81.22	221.84	353.55						
File size [kB] = 256 Run = 3	27.67	38.6	42.29	60.56	87.81	224.83	429.6						
File size [kB] = 256 Run = 4	36.48	36.6	42.39	60.78	84.71	360.24	443.41						
File size [kB] = 256 Run = 5	39.35	38.51	40.73	62.53	85.53	218.92	389.4						
File size [kB] = 512 Run = 1	52.43	53.09	66.3	60.78	68.17	76.65	121.3	688.76					
File size [kB] = 512 Run = 2	42.64	38.66	47.92	52.99	68.07	77.86	120.8	798.67					
File size [kB] = 512 Run = 3	40.71	41.96	47.76	52.02	68.05	77.2	120.45	723.45					
File size [kB] = 512 Run = 4	41.09	41.92	48.23	50.58	65.57	76.83	193.27	697.47					
File size [kB] = 512 Run = 5	42.78	41.06	50.35	52.5	71.17	77.2	121.8	836.25					
File size [kB] = 1024 Run = 1	46.42	46.46	49.67	48.39	47.92	51.76	55.88	113.94	1141.68				
File size [kB] = 1024 Run = 2	40.31	40.35	43.16	43.86	47.02	52.33	56.05	114.76	1242.09				
File size [kB] = 1024 Run = 3	40.22	37.26	43.73	45.92	47.34	52.65	55.57	115.26	1177.58				
File size [kB] = 1024 Run = 4	40.05	36.94	44.11	44.52	46.83	55.42	63.31	114.3	1229.71				
File size [kB] = 1024 Run = 5	41.03	41.5	42.54	45.69	46.86	52.91	55.48	115.11	1253.23				
File size [kB] = 2048 Run = 1	39.52	39.55	43.84	40.91	42.28	42.56	46.34	63.4	121.26	1773.19			
File size [kB] = 2048 Run = 2	39.56	39.59	41.47	41.68	42.72	43.34	45.7	63.84	120.96	1890.26			
File size [kB] = 2048 Run = 3	37.92	39.66	40.8	42.13	42.79	42.65	48.6	63.62	120.38	1980.4			
File size [kB] = 2048 Run = 4	39.47	39.07	40.64	41.54	42.61	42.53	45.35	63.38	120.57	1908.32			
File size [kB] = 2048 Run = 5	40.1	39.31	40.91	41.96	43.14	43.14	47.12	62.25	121.04	1906.59			
File size [kB] = 4096 Run = 1	39.13	39.73	40.52	40.67	40.47	40.92	41.78	54.59	84.38	155.54	2475.32		
File size [kB] = 4096 Run = 2	39.64	39.99	39.84	40.09	40.79	41.09	42.98	53.37	84.59	156.12	2564.22		
File size [kB] = 4096 Run = 3	39.68	39.79	40.27	39.86	39.63	41.06	42.06	53.34	85.14	156.27	2487.43		
File size [kB] = 4096 Run = 4	39.03	39.67	40.27	38.69	39.26	40.33	42.2	53.68	84.52	156.0	2501.52		
File size [kB] = 4096 Run = 5	39.54	39.45	40.65	41.14	41.03	40.57	43.31	53.9	84.87	155.78	2493.71		
File size [kB] = 8192 Run = 1	39.53	39.5	39.59	39.79	40.33	39.45	41.02	49.74	73.9	107.66	182.29	2526.73	
File size [kB] = 8192 Run = 2	39.2	39.18	39.47	40.07	39.7	40.49	41.13	50.01	73.65	108.02	182.06	2562.42	
File size [kB] = 8192 Run = 3	39.08	39.5	39.53	39.73	39.84	39.76	40.64	49.75	73.72	107.64	182.32	2502.23	
File size [kB] = 8192 Run = 4	39.22	39.09	38.68	39.09	39.64	39.96	40.27	49.69	73.93	107.71	181.78	2518.95	
File size [kB] = 8192 Run = 5	39.23	39.24	39.87	39.9	40.08	39.96	40.87	50.25	73.22	107.7	181.81	2521.22	
File size [kB] = 16384 Run = 1	39.58	39.63	39.06	39.6	39.66	39.96	40.35	47.76	69.22	93.47	124.91	198.25	2623.82
File size [kB] = 16384 Run = 2	39.23	39.56	39.69	39.81	39.34	40.26	40.28	47.98	69.48	93.42	125.03	198.2	2653.91
File size [kB] = 16384 Run = 3	39.45	39.59	39.75	39.17	39.79	40.18	39.73	48.1	69.44	93.67	124.76	197.8	2571.44
File size [kB] = 16384 Run = 4	38.95	39.01	38.98	39.29	39.49	39.7	40.19	47.89	69.47	93.25	124.97	192.28	2497.28
File size [kB] = 16384 Run = 5	39.25	39.56	39.23	39.69	39.77	40.2	40.21	47.87	69.31	93.6	124.82	197.76	2505.86
File size [kB] = 32768 Run = 1					39.49	39.81	39.68	47.22	67.47	87.73	107.94	135.33	207.52
File size [kB] = 32768 Run = 2					39.69	39.45	39.63	47.14	67.4	87.78	107.81	135.26	207.44
File size [kB] = 32768 Run = 3					39.4	40.01	39.81	46.87	67.4	87.7	107.99	135.32	207.3
File size [kB] = 32768 Run = 4					39.3	39.64	39.39	46.99	66.26	56.04	107.92	135.28	207.32
File size [kB] = 32768 Run = 5					39.77	39.75	39.76	47.1	67.48	87.55	107.94	135.32	207.04
File size [kB] = 65536 Run = 1					39.73	39.75	39.92	46.8	66.51	85.12	101.11	116.7	141.29
File size [kB] = 65536 Run = 2					39.52	39.36	39.89	46.64	66.41	84.96	101.05	116.78	142.33
File size [kB] = 65536 Run = 3					39.31	39.69	39.94	46.83	66.5	84.96	100.86	116.79	141.26
File size [kB] = 65536 Run = 4					39.22	39.29	39.75	46.81	46.16	85.06	101.04	116.71	141.26
File size [kB] = 65536 Run = 5					39.5	39.62	39.71	46.79	66.51	85.09	101.07	116.82	141.22
File size [kB] = 131072 Run = 1					39.33	39.42	39.82	46.52	66.03	83.84	98.01	109.32	121.8
File size [kB] = 131072 Run = 2					39.29	39.39	39.5	46.46	66.04	83.71	97.82	109.24	121.81
File size [kB] = 131072 Run = 3					39.44	39.27	39.73	46.5	66.04	83.87	97.97	109.26	121.75
File size [kB] = 131072 Run = 4					39.17	39.4	39.42	46.09	65.86	83.81	97.97	92.47	118.95
File size [kB] = 131072 Run = 5					39.59	39.75	39.82	46.61	66.01	83.83	98.0	109.31	121.82
File size [kB] = 262144 Run = 1					39.3	39.71	39.71	46.38	65.65	82.98	96.51	105.86	113.94
File size [kB] = 262144 Run = 2					39.62	39.47	39.34	46.55	65.58	83.17	96.46	105.91	113.9
File size [kB] = 262144 Run = 3					39.64	39.46	39.94	46.41	65.71	83.19	96.45	105.86	113.97
File size [kB] = 262144 Run = 4					39.36	39.43	39.43	46.44	65.56	83.16	96.53	105.86	113.96
File size [kB] = 262144 Run = 5					39.61	39.68	39.56	46.39	65.74	83.07	96.42	105.92	113.95
