# striderd throughput for any fs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576
Block size [kB] = 4 Run = 1	4.06	5.54	11.09	18.15	30.61	18.03	18.87	19.55	18.08	14.83	6.01	7.61	7.48						
Block size [kB] = 4 Run = 2	5.02	5.18	9.58	18.28	33.16	10.53	8.96	8.51	8.59	8.09	7.59	7.2	7.12						
Block size [kB] = 4 Run = 3	4.25	4.95	9.64	17.23	30.22	6.48	9.08	8.49	8.67	8.81	7.68	7.19	7.43						
Block size [kB] = 4 Run = 4	4.84	5.44	8.92	15.7	29.82	9.8	9.11	8.56	8.57	8.51	7.81	7.41	7.01						
Block size [kB] = 4 Run = 5	4.05	4.88	10.21	17.67	28.18	10.04	9.42	8.63	8.65	8.98	7.81	7.04	7.43						
Block size [kB] = 8 Run = 1		8.61	5.83	18.9	29.38	50.3	27.79	25.47	21.54	18.84	6.69	6.17	5.38						
Block size [kB] = 8 Run = 2		8.99	9.46	17.52	29.11	51.42	14.61	12.52	8.79	7.02	6.74	6.19	5.41						
Block size [kB] = 8 Run = 3		7.61	9.36	17.3	30.53	53.7	14.3	12.5	8.99	7.0	6.73	6.14	5.38						
Block size [kB] = 8 Run = 4		7.87	9.98	16.32	31.42	48.41	13.89	12.63	8.87	7.05	6.67	6.14	5.39						
Block size [kB] = 8 Run = 5		8.17	9.48	17.46	32.12	48.07	14.35	12.71	9.05	7.05	6.72	6.18	5.41						
Block size [kB] = 16 Run = 1			17.11	17.97	30.63	50.83	96.82	42.96	44.25	44.78	19.4	19.27	17.91						
Block size [kB] = 16 Run = 2			16.28	8.74	29.65	45.97	98.7	23.81	21.97	19.43	19.6	18.8	18.66						
Block size [kB] = 16 Run = 3			14.38	17.36	30.77	48.62	94.7	23.45	21.67	19.22	20.29	19.1	18.54						
Block size [kB] = 16 Run = 4			15.41	8.76	30.51	47.65	99.96	24.33	21.96	19.1	19.12	18.94	18.3						
Block size [kB] = 16 Run = 5			17.29	18.91	31.14	51.25	96.3	24.38	21.53	19.34	20.44	19.2	18.54						
Block size [kB] = 32 Run = 1				27.36	28.82	45.45	97.77	185.05	50.42	57.93	31.12	30.79	29.9						
Block size [kB] = 32 Run = 2				27.1	29.6	48.19	97.54	177.82	39.44	33.1	30.55	30.83	30.18						
Block size [kB] = 32 Run = 3				29.04	29.9	46.66	98.5	191.21	40.8	33.93	31.1	30.64	30.74						
Block size [kB] = 32 Run = 4				25.06	33.28	47.46	98.04	176.43	39.36	33.36	29.84	30.73	29.66						
Block size [kB] = 32 Run = 5				31.41	29.86	48.32	100.36	204.17	40.78	33.89	31.75	31.51	30.7						
Block size [kB] = 64 Run = 1					41.97	52.06	92.97	182.62	350.99	71.79	48.07	45.83	43.16	42.94	40.08	39.85	40.39	39.67	40.2
Block size [kB] = 64 Run = 2					41.03	48.19	89.83	178.26	363.24	58.75	48.35	45.95	42.86	43.15	41.22	40.02	40.77	39.15	40.21
Block size [kB] = 64 Run = 3					40.48	46.66	95.63	183.42	364.82	59.36	48.57	44.96	44.32	42.51	40.98	40.46	41.01	40.28	39.3
Block size [kB] = 64 Run = 4					42.46	47.12	93.46	190.05	366.42	59.38	47.88	45.34	43.53	42.42	40.66	39.7	39.9	39.84	39.87
Block size [kB] = 64 Run = 5					42.89	47.91	99.36	198.43	369.84	60.31	48.52	45.74	44.0	42.27	40.85	40.0	40.58	38.83	39.86
Block size [kB] = 128 Run = 1						59.93	76.17	92.13	174.98	337.1	68.95	61.06	57.15	53.24	51.35	49.26	52.15	50.47	52.75
Block size [kB] = 128 Run = 2						59.1	76.06	92.97	183.12	359.5	70.14	57.98	56.04	51.29	50.05	50.02	49.2	51.14	51.32
Block size [kB] = 128 Run = 3						60.79	79.62	90.42	183.35	343.87	67.88	59.88	55.76	53.62	51.54	50.2	50.17	52.63	51.41
Block size [kB] = 128 Run = 4						58.11	74.82	90.2	177.72	339.62	68.37	59.17	55.71	53.05	51.8	51.42	51.45	49.62	49.88
Block size [kB] = 128 Run = 5						60.39	78.54	91.13	182.82	348.86	68.11	58.56	55.42	51.97	50.0	52.46	51.04	49.38	51.33
Block size [kB] = 256 Run = 1							78.94	92.47	112.51	220.55	423.1	71.45	77.54	77.05	78.34	78.13	78.41	76.64	78.54
Block size [kB] = 256 Run = 2							77.86	91.78	111.91	219.3	425.16	71.85	77.07	76.69	78.35	77.14	76.57	76.76	76.43
Block size [kB] = 256 Run = 3							74.65	91.01	112.84	221.04	422.7	71.09	77.81	76.69	78.32	78.17	77.52	78.15	76.46
Block size [kB] = 256 Run = 4							83.22	91.21	111.99	219.1	425.36	70.5	78.66	76.84	77.46	77.13	77.44	78.18	77.46
Block size [kB] = 256 Run = 5							78.42	90.3	113.65	222.15	578.03	71.73	79.04	76.84	77.53	78.23	77.08	77.73	76.67
Block size [kB] = 512 Run = 1								91.44	98.21	147.87	287.46	542.41	53.86	53.93	53.32	52.76	52.58	52.85	52.46
Block size [kB] = 512 Run = 2								92.39	98.67	147.83	287.03	551.77	53.78	53.83	53.28	52.84	52.92	52.9	52.53
Block size [kB] = 512 Run = 3								90.81	98.71	147.55	289.06	545.81	53.74	53.71	53.38	52.85	52.66	52.55	52.59
Block size [kB] = 512 Run = 4								91.59	99.91	147.21	285.65	526.56	53.41	53.72	53.17	52.52	52.73	52.74	52.43
Block size [kB] = 512 Run = 5								93.85	99.75	147.91	286.63	550.36	53.83	53.68	53.2	53.09	52.65	52.9	52.74
Block size [kB] = 1024 Run = 1									99.91	111.61	218.23	418.54	779.12	74.25	72.61	71.72	71.05	70.77	70.51
Block size [kB] = 1024 Run = 2									100.86	111.28	217.64	420.19	781.21	74.18	72.54	71.74	70.92	70.7	70.6
Block size [kB] = 1024 Run = 3									101.28	111.21	218.84	419.27	778.1	74.13	72.82	71.58	71.23	70.81	70.9
Block size [kB] = 1024 Run = 4									99.59	111.37	217.53	420.59	779.66	73.06	71.77	71.3	71.16	71.04	70.88
Block size [kB] = 1024 Run = 5									101.12	110.8	218.93	419.07	776.05	73.78	72.87	71.71	71.26	70.97	70.96
Block size [kB] = 2048 Run = 1										105.85	146.84	285.88	542.44	989.18	91.48	89.06	87.97	87.17	86.84
Block size [kB] = 2048 Run = 2										105.82	147.28	286.77	544.81	964.46	91.33	89.06	87.77	87.28	87.12
Block size [kB] = 2048 Run = 3										106.57	146.47	286.95	543.15	992.07	91.26	89.11	88.03	87.41	87.09
Block size [kB] = 2048 Run = 4										105.83	145.47	286.99	541.93	985.04	91.43	89.0	87.86	87.13	87.06
Block size [kB] = 2048 Run = 5										105.06	147.2	285.71	544.59	987.26	91.39	89.17	87.78	87.38	87.0
Block size [kB] = 4096 Run = 1											108.46	174.95	338.52	636.03	1136.06	103.32	100.57	99.1	98.23
Block size [kB] = 4096 Run = 2											108.56	174.39	337.74	635.7	1132.0	103.33	100.45	99.11	98.37
Block size [kB] = 4096 Run = 3											108.57	174.91	337.46	634.88	1131.94	103.4	100.49	98.91	98.25
Block size [kB] = 4096 Run = 4											108.69	174.64	338.23	635.59	1126.5	103.28	100.55	99.09	98.37
Block size [kB] = 4096 Run = 5											109.18	175.21	337.82	634.18	1132.18	103.35	100.47	99.07	98.32
Block size [kB] = 8192 Run = 1												109.99	192.2	362.1	660.28	1119.8	110.54	107.42	105.8
Block size [kB] = 8192 Run = 2												109.99	192.52	363.8	662.73	1113.1	110.54	107.36	105.74
Block size [kB] = 8192 Run = 3												110.08	191.7	364.98	662.73	1110.99	110.53	107.36	105.79
Block size [kB] = 8192 Run = 4												110.29	189.73	365.05	658.59	1101.4	110.58	107.4	105.74
Block size [kB] = 8192 Run = 5												110.16	192.24	359.85	661.79	1118.72	110.54	107.38	105.82
Block size [kB] = 16384 Run = 1													110.79	202.25	383.17	680.59	1142.39	114.62	111.14
Block size [kB] = 16384 Run = 2													110.83	202.62	381.29	686.04	1123.98	114.59	111.18
Block size [kB] = 16384 Run = 3													110.78	202.81	381.59	679.26	1138.61	114.62	111.16
Block size [kB] = 16384 Run = 4													108.58	202.4	381.11	678.16	1129.65	114.56	111.2
Block size [kB] = 16384 Run = 5													110.78	202.45	382.71	683.91	1121.47	114.59	111.16
# Statistics (excluding 0 values)
#mean val.	4.44	6.72	11.6	19.31	32.7	44.25	67.67	87.74	105.12	107.49	127.03	147.83	173.45	276.03	284.65	253.3	191.41	77.74	77.1
#standard dev.	0.46	1.66	3.53	5.94	4.79	15.85	35.52	66.69	106.82	103.21	137.81	171.23	232.05	315.71	363.31	363.42	336.77	25.33	24.36
#ci. min. 90%	4.01	5.76	10.0	17.01	31.06	39.33	57.52	69.97	78.36	83.02	95.93	110.89	125.41	196.96	193.65	162.27	107.06	71.39	71.0
#ci. max 90%	4.88	7.69	13.2	21.61	34.34	49.17	77.83	105.51	131.87	131.97	158.13	184.77	221.49	355.11	375.65	344.32	275.77	84.08	83.21
#geom. mean	4.43	6.54	11.11	18.4	32.4	38.92	51.35	56.6	58.66	59.68	61.18	65.65	68.09	146.71	136.4	117.16	95.48	73.39	73.03
#median	4.25	6.58	9.98	17.82	30.61	48.19	78.94	91.07	98.71	88.43	68.37	65.78	55.76	76.84	78.32	78.13	77.44	77.73	76.67
#first quartile	4.06	5.25	9.47	17.28	29.82	46.66	23.33	23.72	21.67	19.37	20.36	27.8	29.9	53.71	53.2	52.76	52.65	52.74	52.53
#third quartile	4.84	8.1	14.89	20.44	33.16	51.38	96.56	114.49	112.84	147.76	217.59	202.84	192.24	364.98	382.71	103.35	100.55	99.1	98.37
#minimum	4.05	4.88	5.83	8.74	28.18	6.48	8.96	8.49	8.57	7.0	6.01	6.14	5.38	42.27	40.08	39.7	39.9	38.83	39.3
#maximum	5.02	8.99	17.29	31.41	42.89	60.79	100.36	204.17	369.84	359.5	578.03	551.77	781.21	992.07	1136.06	1119.8	1142.39	114.62	111.2
#OOCALC formulas
#mean val.	=AVERAGE(B5:B69)
#standard dev.	=STDEV(B5:B69)
#ci. min. 90%	=AVERAGE(B5:B69)-TINV(1/10;COUNT(B5:B69)-1)*STDEV(B5:B69)/SQRT(COUNT(B5:B69))
#ci. max 90%	=AVERAGE(B5:B69)+TINV(1/10;COUNT(B5:B69)-1)*STDEV(B5:B69)/SQRT(COUNT(B5:B69))
#geom. mean	=GEOMEAN(B5:B69)
#median	=MEDIAN(B5:B69)
#first quatile	=QUARTILE(B5:B69;1)
#third quartile	=QUARTILE(B5:B69;3)
