# iozone measured throughput[MB/s] for any FS and any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Operation	iwrite	rewrite	iread	reread	randrd	randwr	bkwdrd	recrewr	striderd	fwrite	frewrite	fread	freread
File size [kB] = 4 Block size [kB] = 4 Run = 1	10.73	10.58	6.24	3906.25	974.91	17.91	4.31	16.76	4.06	19.84	21.12	5.42	1279.43
File size [kB] = 4 Block size [kB] = 4 Run = 2	10.73	10.97	6.48	3409.29	974.91	10.88	4.29	10.62	5.02	18.77	12.57	3.78	1387.8
File size [kB] = 4 Block size [kB] = 4 Run = 3	10.5	11.36	6.35	3409.29	974.91	10.95	4.08	10.73	4.25	10.73	10.53	3.72	1279.43
File size [kB] = 4 Block size [kB] = 4 Run = 4	11.99	15.14	6.02	3409.29	974.91	15.27	4.43	18.86	4.84	22.21	12.13	3.94	1279.43
File size [kB] = 4 Block size [kB] = 4 Run = 5	13.71	10.79	6.31	3906.25	974.91	10.79	4.1	11.03	4.05	13.51	13.42	3.83	974.91
File size [kB] = 8 Block size [kB] = 4 Run = 1	11.55	19.72	13.22	3721.23	1949.81	17.75	3.59	17.75	5.54	32.97	34.87	5.6	1949.81
File size [kB] = 8 Block size [kB] = 4 Run = 2	12.98	16.52	13.33	4197.96	1949.81	11.72	3.64	12.42	5.18	26.05	40.07	4.78	1574.95
File size [kB] = 8 Block size [kB] = 4 Run = 3	15.38	12.83	14.39	6818.58	1949.81	15.62	3.22	17.88	4.95	30.18	23.39	4.64	1574.95
File size [kB] = 8 Block size [kB] = 4 Run = 4	11.78	14.57	14.54	7812.5	1949.81	14.58	3.4	22.65	5.44	36.17	21.28	4.79	1949.81
File size [kB] = 8 Block size [kB] = 4 Run = 5	14.36	13.06	4.58	3721.23	1502.73	18.01	3.13	11.83	4.88	28.2	29.82	5.4	1949.81
File size [kB] = 8 Block size [kB] = 8 Run = 1	21.76	22.45	11.0	6818.58	1949.81	36.5	9.41	57.51	8.61	38.11	38.29	8.89	2558.86
File size [kB] = 8 Block size [kB] = 8 Run = 2	21.06	25.37	13.3	7812.5	1949.81	25.37	7.68	25.21	8.99	24.71	28.3	8.28	1949.81
File size [kB] = 8 Block size [kB] = 8 Run = 3	22.77	20.83	13.93	7812.5	2558.86	32.84	7.75	36.17	7.61	32.04	34.25	9.6	1574.95
File size [kB] = 8 Block size [kB] = 8 Run = 4	21.52	27.82	13.02	7812.5	1949.81	32.29	7.51	36.7	7.87	24.03	21.76	7.83	1574.95
File size [kB] = 8 Block size [kB] = 8 Run = 5	20.89	25.87	13.65	6818.58	1949.81	36.5	8.09	44.9	8.17	28.52	29.58	8.82	2558.86
File size [kB] = 16 Block size [kB] = 4 Run = 1	14.67	20.11	33.04	3899.63	2539.59	18.99	4.17	20.47	11.09	23.78	24.0	11.81	2539.59
File size [kB] = 16 Block size [kB] = 4 Run = 2	14.09	21.23	28.04	5117.72	2539.59	18.08	3.03	17.34	9.58	28.06	29.66	10.5	2198.77
File size [kB] = 16 Block size [kB] = 4 Run = 3	16.08	12.7	25.73	3899.63	2198.77	16.64	3.11	17.83	9.64	20.46	20.17	10.41	2641.97
File size [kB] = 16 Block size [kB] = 4 Run = 4	13.55	17.02	26.71	3899.63	1938.61	14.18	2.92	15.38	8.92	21.67	21.79	9.79	2539.59
File size [kB] = 16 Block size [kB] = 4 Run = 5	16.67	18.17	28.1	5117.72	2198.77	21.06	3.05	21.09	10.21	24.45	23.63	10.98	3149.91
File size [kB] = 16 Block size [kB] = 8 Run = 1	23.32	30.29	27.65	5117.72	3005.45	38.02	6.27	31.06	5.83	73.73	76.22	10.61	3149.91
File size [kB] = 16 Block size [kB] = 8 Run = 2	26.52	30.0	26.84	5117.72	3149.91	31.88	6.14	26.75	9.46	43.64	41.33	9.36	2641.97
File size [kB] = 16 Block size [kB] = 8 Run = 3	24.3	25.78	26.84	5117.72	2641.97	22.25	6.23	27.41	9.36	45.3	63.76	9.63	2198.77
File size [kB] = 16 Block size [kB] = 8 Run = 4	22.41	26.49	25.36	3899.63	2539.59	36.09	5.03	32.82	9.98	60.8	51.05	10.64	2275.11
File size [kB] = 16 Block size [kB] = 8 Run = 5	25.32	23.32	7.74	5117.72	2641.97	31.63	6.22	33.3	9.48	84.37	57.65	10.09	3149.91
File size [kB] = 16 Block size [kB] = 16 Run = 1	41.77	55.03	29.71	5117.72	2641.97	81.84	15.9	80.93	17.11	42.45	42.23	15.93	2539.59
File size [kB] = 16 Block size [kB] = 16 Run = 2	44.62	50.73	25.53	8395.92	3149.91	61.78	15.64	62.25	16.28	86.82	41.91	14.82	2641.97
File size [kB] = 16 Block size [kB] = 16 Run = 3	42.12	51.25	25.61	5551.22	3149.91	62.25	14.01	55.03	14.38	51.73	51.77	15.29	2539.59
File size [kB] = 16 Block size [kB] = 16 Run = 4	42.23	42.12	27.22	5117.72	3149.91	63.52	16.78	74.74	15.41	72.35	69.44	16.11	2641.97
File size [kB] = 16 Block size [kB] = 16 Run = 5	41.88	68.21	27.37	5117.72	2641.97	69.44	14.94	81.84	17.29	71.02	51.05	15.2	2641.97
File size [kB] = 32 Block size [kB] = 4 Run = 1	18.87	23.25	15.71	3466.99	2800.34	16.01	4.75	29.23	18.15	25.64	24.88	9.98	2800.34
File size [kB] = 32 Block size [kB] = 4 Run = 2	21.42	28.21	14.55	3877.22	2861.48	18.58	2.56	20.08	18.28	22.71	18.28	9.13	2631.67
File size [kB] = 32 Block size [kB] = 4 Run = 3	14.21	18.19	15.09	3877.22	3135.27	14.47	2.59	17.25	17.23	21.66	26.35	9.21	2579.87
File size [kB] = 32 Block size [kB] = 4 Run = 4	15.41	24.67	15.39	3877.22	2800.34	17.83	2.7	28.83	15.7	17.92	18.7	9.59	2861.48
File size [kB] = 32 Block size [kB] = 4 Run = 5	16.91	17.71	14.83	3995.4	2631.67	17.39	2.67	25.16	17.67	26.78	23.87	10.3	2861.48
