# iozone measured throughput[MB/s] for any FS and any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Operation	iwrite	rewrite	iread	reread	randrd	randwr	bkwdrd	recrewr	striderd	fwrite	frewrite	fread	freread
File size [kB] = 4 Block size [kB] = 4 Run = 1	126.22	328.96	1860.61	3906.25	1279.43	549.69	357.68	568.78	484.65	433.37	322.48	391.91	1279.43
File size [kB] = 4 Block size [kB] = 4 Run = 2	126.22	328.96	1860.61	3906.25	1279.43	634.9	382.75	549.69	499.42	433.37	328.96	391.91	974.91
File size [kB] = 4 Block size [kB] = 4 Run = 3	126.22	322.48	3409.29	3906.25	1860.61	634.9	391.91	787.48	484.65	391.91	328.96	382.75	974.91
File size [kB] = 4 Block size [kB] = 4 Run = 4	126.22	298.95	3409.29	3906.25	1279.43	660.49	391.91	660.49	484.65	391.91	357.68	391.91	1279.43
File size [kB] = 4 Block size [kB] = 4 Run = 5	126.22	350.04	1860.61	3906.25	1860.61	568.78	382.75	549.69	484.65	391.91	328.96	382.75	1279.43
File size [kB] = 8 Block size [kB] = 4 Run = 1	244.89	456.34	4197.96	3721.23	2558.86	783.82	597.89	783.82	866.75	783.82	657.92	998.85	1574.95
File size [kB] = 8 Block size [kB] = 4 Run = 2	244.89	462.79	4197.96	3721.23	2558.86	866.75	597.89	783.82	998.85	890.3	657.92	969.3	1949.81
File size [kB] = 8 Block size [kB] = 4 Run = 3	237.78	456.34	4197.96	7812.5	2558.86	765.5	597.89	783.82	866.75	765.5	597.89	866.75	1949.81
File size [kB] = 8 Block size [kB] = 4 Run = 4	237.78	462.79	4197.96	3721.23	2775.61	866.75	597.89	783.82	866.75	890.3	657.92	969.3	1502.73
File size [kB] = 8 Block size [kB] = 4 Run = 5	236.07	462.79	3721.23	3721.23	2558.86	783.82	597.89	783.82	866.75	866.75	644.97	998.85	2073.18
File size [kB] = 8 Block size [kB] = 8 Run = 1	301.16	597.89	4197.96	6818.58	3721.23	969.3	597.89	998.85	866.75	866.75	597.89	969.3	1949.81
File size [kB] = 8 Block size [kB] = 8 Run = 2	312.65	597.89	7812.5	7812.5	4197.96	969.3	715.37	998.85	969.3	866.75	566.86	1099.39	2558.86
File size [kB] = 8 Block size [kB] = 8 Run = 3	301.16	597.89	4197.96	3721.23	4197.96	969.3	657.92	1137.55	969.3	715.37	557.22	998.85	1949.81
File size [kB] = 8 Block size [kB] = 8 Run = 4	301.16	597.89	4197.96	7812.5	3721.23	969.3	657.92	1099.39	866.75	866.75	557.22	969.3	1949.81
File size [kB] = 8 Block size [kB] = 8 Run = 5	312.65	597.89	7812.5	6818.58	2775.61	1099.39	715.37	969.3	998.85	866.75	557.22	969.3	1949.81
File size [kB] = 16 Block size [kB] = 4 Run = 1	283.94	602.32	3005.45	3899.63	2539.59	1043.47	966.53	1114.45	1733.5	912.68	782.0	1430.74	2641.97
File size [kB] = 16 Block size [kB] = 4 Run = 2	299.52	625.31	3899.63	5117.72	3149.91	1027.12	1043.47	1114.45	1733.5	864.53	746.38	1567.63	2198.77
File size [kB] = 16 Block size [kB] = 4 Run = 3	306.52	625.31	3149.91	3899.63	3149.91	980.99	1043.47	1043.47	1430.74	912.68	713.86	1430.74	2641.97
File size [kB] = 16 Block size [kB] = 4 Run = 4	300.89	602.32	4146.35	3899.63	3149.91	1043.47	1043.47	1114.45	1430.74	1043.47	713.86	1430.74	2641.97
File size [kB] = 16 Block size [kB] = 4 Run = 5	299.52	602.32	3899.63	3899.63	3149.91	1043.47	980.99	1114.45	1531.01	980.99	684.05	1567.63	2539.59
File size [kB] = 16 Block size [kB] = 8 Run = 1	390.55	772.78	5117.72	5117.72	3899.63	1315.83	1133.73	1289.93	1567.63	1400.17	1114.45	1400.17	2641.97
File size [kB] = 16 Block size [kB] = 8 Run = 2	390.55	782.0	5551.22	5117.72	3899.63	1430.74	1114.45	1430.74	1567.63	1733.5	1114.45	1567.63	3149.91
File size [kB] = 16 Block size [kB] = 8 Run = 3	390.55	782.0	5117.72	5551.22	3899.63	1430.74	1043.47	1430.74	1430.74	1567.63	1114.45	1567.63	2539.59
File size [kB] = 16 Block size [kB] = 8 Run = 4	362.47	782.0	5551.22	5117.72	4146.35	1430.74	1114.45	1400.17	1430.74	1567.63	561.07	1567.63	2539.59
File size [kB] = 16 Block size [kB] = 8 Run = 5	390.55	782.0	5117.72	5117.72	3899.63	1400.17	1195.79	1430.74	1733.5	1733.5	1114.45	1567.63	2539.59
File size [kB] = 16 Block size [kB] = 16 Run = 1	458.92	980.99	5117.72	5551.22	3899.63	1567.63	1195.79	1567.63	1733.5	1315.83	980.99	1567.63	3149.91
File size [kB] = 16 Block size [kB] = 16 Run = 2	475.57	980.99	5551.22	7442.46	5117.72	1531.01	1114.45	1567.63	1567.63	1430.74	966.53	1733.5	2539.59
File size [kB] = 16 Block size [kB] = 16 Run = 3	412.68	912.68	5117.72	5117.72	3899.63	1733.5	1114.45	1733.5	1567.63	1430.74	912.68	1567.63	2539.59
File size [kB] = 16 Block size [kB] = 16 Run = 4	458.92	912.68	5117.72	7442.46	3899.63	1567.63	1195.79	1567.63	1531.01	1430.74	966.53	1733.5	3149.91
File size [kB] = 16 Block size [kB] = 16 Run = 5	446.41	980.99	5117.72	5117.72	3899.63	1733.5	1315.83	1567.63	1531.01	1430.74	925.58	1733.5	2641.97
