# bkwdrd throughput for any fs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576
Block size [kB] = 4 Run = 1	4.31	3.59	4.17	4.75	4.74	5.19	4.83	6.27	5.65	5.75	5.64	1.65	1.63						
Block size [kB] = 4 Run = 2	4.29	3.64	3.03	2.56	2.22	1.67	1.62	1.64	1.61	1.58	1.62	1.59	1.55						
Block size [kB] = 4 Run = 3	4.08	3.22	3.11	2.59	2.16	1.68	1.66	1.54	1.62	1.55	1.62	1.65	1.62						
Block size [kB] = 4 Run = 4	4.43	3.4	2.92	2.7	2.12	1.56	1.57	1.57	1.63	1.59	1.6	1.6	1.59						
Block size [kB] = 4 Run = 5	4.1	3.13	3.05	2.67	2.12	1.65	1.71	1.69	1.57	1.66	1.63	1.58	1.65						
Block size [kB] = 8 Run = 1		9.41	6.27	7.67	8.5	8.54	8.8	11.27	9.72	11.85	3.25	3.24	3.32						
Block size [kB] = 8 Run = 2		7.68	6.14	5.29	4.43	3.38	3.22	3.13	3.12	3.38	3.07	3.2	3.25						
Block size [kB] = 8 Run = 3		7.75	6.23	5.35	4.56	3.37	3.38	3.23	3.34	3.34	3.29	3.16	3.29						
Block size [kB] = 8 Run = 4		7.51	5.03	5.16	4.52	3.12	3.3	3.2	3.19	3.22	3.13	3.19	3.28						
Block size [kB] = 8 Run = 5		8.09	6.22	5.71	4.41	3.27	3.36	3.27	3.35	3.06	3.45	3.24	3.25						
Block size [kB] = 16 Run = 1			15.9	12.97	13.82	14.97	15.25	17.24	17.29	18.07	6.64	6.53	6.57						
Block size [kB] = 16 Run = 2			15.64	8.72	8.93	6.82	6.32	6.28	6.62	6.55	6.38	6.37	6.55						
Block size [kB] = 16 Run = 3			14.01	11.94	8.9	6.54	6.56	6.49	6.75	6.3	6.42	6.71	6.6						
Block size [kB] = 16 Run = 4			16.78	11.33	8.96	6.87	6.79	6.04	6.56	6.19	6.56	6.45	6.38						
Block size [kB] = 16 Run = 5			14.94	9.43	9.35	7.0	6.51	6.62	6.68	6.08	6.9	6.64	6.78						
Block size [kB] = 32 Run = 1				28.62	18.15	20.27	24.45	27.17	25.8	29.42	13.11	12.85	13.25						
Block size [kB] = 32 Run = 2				25.68	19.26	13.68	13.56	12.8	12.57	12.55	12.46	12.62	13.88						
Block size [kB] = 32 Run = 3				27.63	18.58	13.82	13.14	13.17	13.83	13.13	12.32	12.9	13.35						
Block size [kB] = 32 Run = 4				24.21	20.37	13.42	13.26	13.62	13.34	12.07	12.16	12.87	12.86						
Block size [kB] = 32 Run = 5				28.67	19.11	14.26	13.86	12.99	13.67	12.86	13.55	12.97	13.25						
Block size [kB] = 64 Run = 1					41.98	28.72	33.72	34.1	40.54	37.27	24.17	26.0	24.17	25.72	25.14	24.93	25.65	25.65	26.27
Block size [kB] = 64 Run = 2					39.24	28.93	25.33	24.67	26.94	25.3	24.88	24.68	24.51	25.78	24.72	25.78	26.39	25.59	26.56
Block size [kB] = 64 Run = 3					40.71	27.68	26.44	26.11	25.71	25.98	25.42	23.99	25.58	25.51	25.53	24.47	26.26	26.24	25.32
Block size [kB] = 64 Run = 4					39.99	29.68	26.46	24.92	25.21	24.97	24.36	25.73	25.74	27.58	25.01	25.35	24.89	27.33	26.18
Block size [kB] = 64 Run = 5					39.68	28.04	27.98	27.77	25.3	26.62	24.92	26.43	27.47	26.64	24.36	25.92	26.01	24.67	26.04
Block size [kB] = 128 Run = 1						58.19	55.64	52.88	48.12	51.7	49.83	48.95	53.68	49.47	51.54	50.61	52.59	50.11	51.49
Block size [kB] = 128 Run = 2						59.16	55.26	54.81	51.38	53.43	52.36	48.91	51.8	48.81	48.3	50.67	50.03	51.5	51.44
Block size [kB] = 128 Run = 3						57.74	56.05	52.41	52.98	50.1	48.24	48.77	52.09	51.93	51.12	49.72	52.27	51.61	51.27
Block size [kB] = 128 Run = 4						59.38	54.67	50.77	51.56	47.42	49.85	50.18	52.32	50.76	48.71	48.99	50.24	51.65	49.62
Block size [kB] = 128 Run = 5						58.85	54.43	50.7	52.97	50.71	47.33	50.04	50.21	50.81	49.17	51.62	50.4	50.35	51.7
Block size [kB] = 256 Run = 1							77.74	71.48	73.26	70.96	67.47	72.09	72.74	69.68	70.65	71.56	71.87	70.39	70.98
Block size [kB] = 256 Run = 2							76.29	74.24	72.34	70.27	70.9	70.97	69.44	69.25	71.09	69.79	71.31	70.2	70.11
Block size [kB] = 256 Run = 3							78.39	72.92	71.51	69.11	69.96	70.16	67.51	70.0	71.17	71.04	71.17	71.72	70.39
Block size [kB] = 256 Run = 4							77.25	72.93	70.97	67.8	69.62	69.92	71.58	70.39	69.93	69.46	71.39	71.4	70.6
Block size [kB] = 256 Run = 5							75.98	71.31	68.98	74.03	69.38	70.35	71.51	70.1	70.63	73.15	69.32	71.26	70.82
Block size [kB] = 512 Run = 1								90.98	86.87	64.83	57.33	54.36	52.44	52.39	51.85	51.48	51.5	51.75	51.43
Block size [kB] = 512 Run = 2								92.1	78.98	65.48	57.63	54.5	52.98	52.24	51.74	51.61	51.75	51.75	51.28
Block size [kB] = 512 Run = 3								90.71	79.09	64.57	57.55	54.54	52.81	51.95	52.03	51.62	51.24	51.28	51.45
Block size [kB] = 512 Run = 4								90.61	87.45	64.27	57.08	52.48	52.74	51.86	51.86	51.5	51.46	51.52	51.04
Block size [kB] = 512 Run = 5								92.23	88.27	65.19	57.37	54.47	52.9	52.1	51.97	51.84	51.44	51.75	51.64
Block size [kB] = 1024 Run = 1									100.9	98.96	82.04	75.91	73.06	71.89	71.43	70.81	70.93	70.56	70.5
Block size [kB] = 1024 Run = 2									99.93	97.7	81.73	75.9	72.88	71.99	71.37	71.01	70.67	70.65	70.52
Block size [kB] = 1024 Run = 3									100.12	97.93	81.96	75.63	73.21	71.85	71.35	71.03	70.59	70.8	70.75
Block size [kB] = 1024 Run = 4									100.75	97.87	71.85	75.84	73.14	70.75	70.54	71.1	70.8	70.89	70.79
Block size [kB] = 1024 Run = 5									100.36	98.13	82.09	75.99	72.9	71.89	71.43	71.07	70.92	70.84	70.58
Block size [kB] = 2048 Run = 1										105.33	104.01	94.45	90.24	88.48	87.55	86.91	86.84	86.79	86.66
Block size [kB] = 2048 Run = 2										105.6	104.74	94.82	90.39	88.57	87.65	86.9	86.78	86.88	86.81
Block size [kB] = 2048 Run = 3										106.12	102.07	94.64	90.49	88.54	87.35	87.1	86.78	86.86	86.6
Block size [kB] = 2048 Run = 4										106.17	103.07	94.66	90.13	87.42	87.61	86.96	86.61	86.56	86.81
Block size [kB] = 2048 Run = 5										105.82	104.4	94.77	90.46	88.25	87.62	87.09	86.81	86.88	86.76
Block size [kB] = 4096 Run = 1											108.33	107.93	102.32	99.98	98.8	97.91	97.96	97.78	97.51
Block size [kB] = 4096 Run = 2											108.4	106.51	102.39	99.76	98.72	98.11	97.85	97.79	97.62
Block size [kB] = 4096 Run = 3											108.54	107.67	102.32	99.96	98.77	98.19	97.87	97.71	97.52
Block size [kB] = 4096 Run = 4											108.61	107.9	102.5	99.98	98.6	98.19	97.93	97.79	97.71
Block size [kB] = 4096 Run = 5											108.47	106.79	102.27	99.46	98.84	98.19	97.77	97.74	97.59
Block size [kB] = 8192 Run = 1												110.01	109.77	106.96	105.56	104.88	104.56	104.4	104.29
Block size [kB] = 8192 Run = 2												109.91	109.68	106.81	105.54	104.77	104.52	104.4	104.23
Block size [kB] = 8192 Run = 3												108.51	109.68	106.93	105.53	104.83	104.41	104.21	104.27
Block size [kB] = 8192 Run = 4												109.93	108.99	106.76	105.31	78.2	104.5	104.39	104.24
Block size [kB] = 8192 Run = 5												109.98	109.73	106.92	105.53	104.85	104.57	104.39	104.31
Block size [kB] = 16384 Run = 1													110.77	110.66	109.28	108.56	108.22	108.06	107.9
Block size [kB] = 16384 Run = 2													110.8	110.66	109.21	108.54	108.2	108.06	107.98
Block size [kB] = 16384 Run = 3													110.84	110.68	109.15	108.48	108.23	108.06	107.95
Block size [kB] = 16384 Run = 4													110.12	110.66	109.25	107.29	108.21	108.02	107.97
Block size [kB] = 16384 Run = 5													110.76	110.73	109.29	108.54	108.12	108.03	107.91
# Statistics (excluding 0 values)
#mean val.	4.24	5.74	8.23	11.68	15.47	19.58	27.28	34.45	40.85	45.0	47.11	50.94	54.74	75.1	74.4	73.57	74.17	74.14	74.03
#standard dev.	0.15	2.53	5.45	9.59	13.97	19.95	27.0	32.12	35.63	37.21	38.4	39.44	40.15	27.45	27.24	26.42	26.55	26.48	26.42
#ci. min. 90%	4.1	4.28	5.75	7.97	10.69	13.39	19.56	25.89	31.93	36.17	38.44	42.43	46.43	68.23	67.57	66.95	67.52	67.51	67.41
#ci. max 90%	4.39	7.21	10.71	15.39	20.25	25.77	35.0	43.0	49.78	53.82	55.77	59.45	63.05	81.98	81.22	80.19	80.82	80.77	80.65
#geom. mean	4.24	5.23	6.67	8.39	9.94	10.85	14.16	17.72	21.28	24.13	25.08	27.36	30.36	69.1	68.29	67.79	68.4	68.4	68.34
#median	4.29	5.57	6.22	8.2	8.96	13.55	13.86	24.79	25.8	42.34	49.83	51.33	52.9	71.89	71.37	71.1	71.31	71.26	70.79
#first quartile	4.1	3.45	3.64	5.06	4.52	3.83	5.57	6.28	6.68	7.87	6.77	11.14	13.25	51.95	51.85	51.61	51.5	51.65	51.45
#third quartile	4.31	7.73	14.47	15.78	19.26	28.55	54.55	58.94	72.34	69.98	76.79	80.6	90.46	99.98	98.8	98.19	97.93	97.79	97.62
#minimum	4.08	3.13	2.92	2.56	2.12	1.56	1.57	1.54	1.57	1.55	1.6	1.58	1.55	25.51	24.36	24.47	24.89	24.67	25.32
#maximum	4.43	9.41	16.78	28.67	41.98	59.38	78.39	92.23	100.9	106.17	108.61	110.01	110.84	110.73	109.29	108.56	108.23	108.06	107.98
#OOCALC formulas
#mean val.	=AVERAGE(B5:B69)
#standard dev.	=STDEV(B5:B69)
#ci. min. 90%	=AVERAGE(B5:B69)-TINV(1/10;COUNT(B5:B69)-1)*STDEV(B5:B69)/SQRT(COUNT(B5:B69))
#ci. max 90%	=AVERAGE(B5:B69)+TINV(1/10;COUNT(B5:B69)-1)*STDEV(B5:B69)/SQRT(COUNT(B5:B69))
#geom. mean	=GEOMEAN(B5:B69)
#median	=MEDIAN(B5:B69)
#first quatile	=QUARTILE(B5:B69;1)
#third quartile	=QUARTILE(B5:B69;3)
#minimum	=QUARTILE(B5:B69;0)
#maximum	=QUARTILE(B5:B69;4)
