# fread throughput for any bs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run = 1	5.42												
File size [kB] = 4 Run = 2	3.78												
File size [kB] = 4 Run = 3	3.72												
File size [kB] = 4 Run = 4	3.94												
File size [kB] = 4 Run = 5	3.83												
File size [kB] = 8 Run = 1	5.6	8.89											
File size [kB] = 8 Run = 2	4.78	8.28											
File size [kB] = 8 Run = 3	4.64	9.6											
File size [kB] = 8 Run = 4	4.79	7.83											
File size [kB] = 8 Run = 5	5.4	8.82											
File size [kB] = 16 Run = 1	11.81	10.61	15.93										
File size [kB] = 16 Run = 2	10.5	9.36	14.82										
File size [kB] = 16 Run = 3	10.41	9.63	15.29										
File size [kB] = 16 Run = 4	9.79	10.64	16.11										
File size [kB] = 16 Run = 5	10.98	10.09	15.2										
File size [kB] = 32 Run = 1	9.98	10.88	18.3	24.7									
File size [kB] = 32 Run = 2	9.13	9.58	18.01	26.67									
File size [kB] = 32 Run = 3	9.21	9.28	17.45	24.51									
File size [kB] = 32 Run = 4	9.59	9.16	18.38	24.88									
File size [kB] = 32 Run = 5	10.3	10.64	19.59	23.95									
File size [kB] = 64 Run = 1	16.49	16.07	16.25	32.72	42.43								
File size [kB] = 64 Run = 2	16.55	16.17	16.09	29.83	40.93								
File size [kB] = 64 Run = 3	15.85	15.73	16.06	31.74	39.63								
File size [kB] = 64 Run = 4	16.17	16.53	16.38	32.74	42.83								
File size [kB] = 64 Run = 5	15.73	15.85	17.08	31.79	43.44								
File size [kB] = 128 Run = 1	21.61	22.02	25.42	25.08	46.7	58.74							
File size [kB] = 128 Run = 2	17.96	17.16	26.66	24.91	51.07	61.52							
File size [kB] = 128 Run = 3	16.71	17.9	24.14	25.09	46.31	58.74							
File size [kB] = 128 Run = 4	16.32	16.96	25.02	24.71	47.55	56.77							
File size [kB] = 128 Run = 5	17.91	17.44	26.67	26.1	46.78	58.04							
File size [kB] = 256 Run = 1	33.22	34.41	39.66	40.39	49.39	78.81	78.05						
File size [kB] = 256 Run = 2	29.71	27.95	31.25	40.54	45.45	77.28	75.87						
File size [kB] = 256 Run = 3	29.62	30.31	32.15	41.06	50.48	63.92	76.41						
