# fwrite throughput for any bs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run = 1	19.84												
File size [kB] = 4 Run = 2	18.77												
File size [kB] = 4 Run = 3	10.73												
File size [kB] = 4 Run = 4	22.21												
File size [kB] = 4 Run = 5	13.51												
File size [kB] = 8 Run = 1	32.97	38.11											
File size [kB] = 8 Run = 2	26.05	24.71											
File size [kB] = 8 Run = 3	30.18	32.04											
File size [kB] = 8 Run = 4	36.17	24.03											
File size [kB] = 8 Run = 5	28.2	28.52											
File size [kB] = 16 Run = 1	23.78	73.73	42.45										
File size [kB] = 16 Run = 2	28.06	43.64	86.82										
File size [kB] = 16 Run = 3	20.46	45.3	51.73										
File size [kB] = 16 Run = 4	21.67	60.8	72.35										
File size [kB] = 16 Run = 5	24.45	84.37	71.02										
File size [kB] = 32 Run = 1	25.64	33.71	103.14	99.46									
File size [kB] = 32 Run = 2	22.71	38.29	97.39	92.71									
File size [kB] = 32 Run = 3	21.66	33.5	99.24	119.72									
File size [kB] = 32 Run = 4	17.92	31.31	84.9	102.5									
File size [kB] = 32 Run = 5	26.78	35.11	161.06	169.82									
File size [kB] = 64 Run = 1	39.63	53.64	87.42	262.72	214.03								
File size [kB] = 64 Run = 2	35.43	48.07	95.57	226.41	231.41								
File size [kB] = 64 Run = 3	29.92	47.92	77.54	193.49	242.32								
File size [kB] = 64 Run = 4	26.3	53.46	92.73	325.32	230.6								
File size [kB] = 64 Run = 5	24.06	64.91	97.64	261.41	234.1								
File size [kB] = 128 Run = 1	31.98	56.98	94.49	120.89	314.74	319.73							
File size [kB] = 128 Run = 2	42.34	42.42	93.08	174.08	383.31	361.38							
File size [kB] = 128 Run = 3	39.26	70.03	98.57	172.42	336.99	335.91							
File size [kB] = 128 Run = 4	38.58	54.04	61.91	118.92	358.17	307.72							
File size [kB] = 128 Run = 5	29.4	37.04	80.9	180.61	516.64	339.83							
File size [kB] = 256 Run = 1	45.21	75.85	96.56	159.22	286.04	698.21	485.5						
File size [kB] = 256 Run = 2	40.37	61.82	105.04	122.97	304.48	704.31	528.57						
File size [kB] = 256 Run = 3	44.73	75.69	85.85	169.62	303.78	662.9	388.82						
File size [kB] = 256 Run = 4	45.54	61.04	85.09	170.53	294.48	500.8	490.26						
File size [kB] = 256 Run = 5	44.54	70.16	96.16	107.63	246.56	700.54	450.46						
File size [kB] = 512 Run = 1	47.37	77.71	136.61	148.99	204.82	550.17	994.0	559.27					
File size [kB] = 512 Run = 2	41.83	70.16	112.99	141.4	314.66	508.18	868.1	540.53					
File size [kB] = 512 Run = 3	45.96	71.57	118.26	136.35	222.61	507.69	853.26	519.76					
File size [kB] = 512 Run = 4	46.17	82.26	140.33	150.15	250.38	401.92	689.67	462.97					
File size [kB] = 512 Run = 5	45.95	79.79	123.36	195.32	225.43	440.97	842.97	539.42					
File size [kB] = 1024 Run = 1	49.04	84.9	124.84	179.66	235.68	319.08	514.15	870.4	496.55				
File size [kB] = 1024 Run = 2	43.74	51.74	77.44	173.67	233.04	461.28	576.08	802.46	501.24				
File size [kB] = 1024 Run = 3	46.29	58.03	109.01	155.23	206.94	414.26	523.84	924.3	635.33				
File size [kB] = 1024 Run = 4	47.6	83.96	87.86	152.3	229.2	349.04	522.73	894.34	473.25				
File size [kB] = 1024 Run = 5	46.69	78.92	85.11	164.55	210.7	396.86	516.49	938.99	506.57				
File size [kB] = 2048 Run = 1	49.48	68.95	70.79	73.05	77.59	85.07	96.59	132.6	789.01	73.28			
File size [kB] = 2048 Run = 2	46.56	67.0	65.75	68.85	79.47	80.87	92.46	139.15	831.97	73.12			
File size [kB] = 2048 Run = 3	35.8	63.92	65.89	71.12	72.3	80.29	95.13	142.06	936.77	69.51			
File size [kB] = 2048 Run = 4	48.6	64.79	73.53	69.64	74.57	85.88	93.7	139.13	915.71	74.71			
File size [kB] = 2048 Run = 5	35.86	68.9	71.11	67.55	71.59	78.54	91.09	129.31	720.25	72.19			
File size [kB] = 4096 Run = 1	44.79	48.03	47.5	49.06	50.6	51.95	53.48	55.22	71.48	123.4	45.22		
File size [kB] = 4096 Run = 2	34.9	48.3	47.28	47.48	49.57	51.08	53.0	59.02	72.79	143.28	47.53		
File size [kB] = 4096 Run = 3	46.64	48.28	46.82	48.88	50.3	50.29	54.79	60.15	68.06	137.6	46.65		
File size [kB] = 4096 Run = 4	47.36	47.42	47.75	48.66	49.41	50.86	52.98	58.41	72.77	143.12	47.81		
File size [kB] = 4096 Run = 5	46.81	47.21	48.68	47.8	50.24	51.04	53.48	57.0	70.2	138.32	45.8		
File size [kB] = 8192 Run = 1	39.05	40.97	40.66	40.06	42.62	40.2	41.1	42.37	45.76	54.13	82.33	39.69	
File size [kB] = 8192 Run = 2	40.95	41.08	40.63	40.71	40.29	40.68	41.16	42.51	46.31	54.41	82.26	40.19	
File size [kB] = 8192 Run = 3	40.67	39.35	41.91	39.3	40.37	40.86	42.0	43.95	46.1	54.1	83.03	39.48	
