# iread throughput for any fs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576
Block size [kB] = 4 Run = 1	6.24	13.22	33.04	15.71	26.58	35.0	45.2	52.43	46.42	39.52	39.13	39.53	39.58						
Block size [kB] = 4 Run = 2	6.48	13.33	28.04	14.55	25.08	24.2	37.83	42.64	40.31	39.56	39.64	39.2	39.23						
Block size [kB] = 4 Run = 3	6.35	14.39	25.73	15.09	25.23	23.35	27.67	40.71	40.22	37.92	39.68	39.08	39.45						
Block size [kB] = 4 Run = 4	6.02	14.54	26.71	15.39	23.99	21.18	36.48	41.09	40.05	39.47	39.03	39.22	38.95						
Block size [kB] = 4 Run = 5	6.31	4.58	28.1	14.83	25.59	24.49	39.35	42.78	41.03	40.1	39.54	39.23	39.25						
Block size [kB] = 8 Run = 1		11.0	27.65	14.96	25.67	33.77	44.64	53.09	46.46	39.55	39.73	39.5	39.63						
Block size [kB] = 8 Run = 2		13.3	26.84	14.84	25.0	22.8	37.88	38.66	40.35	39.59	39.99	39.18	39.56						
Block size [kB] = 8 Run = 3		13.93	26.84	14.51	24.71	22.67	38.6	41.96	37.26	39.66	39.79	39.5	39.59						
Block size [kB] = 8 Run = 4		13.02	25.36	13.89	26.19	22.52	36.6	41.92	36.94	39.07	39.67	39.09	39.01						
Block size [kB] = 8 Run = 5		13.65	7.74	15.45	26.58	24.01	38.51	41.06	41.5	39.31	39.45	39.24	39.56						
Block size [kB] = 16 Run = 1			29.71	55.52	25.51	44.5	57.92	66.3	49.67	43.84	40.52	39.59	39.06						
Block size [kB] = 16 Run = 2			25.53	14.67	25.72	39.51	40.9	47.92	43.16	41.47	39.84	39.47	39.69						
Block size [kB] = 16 Run = 3			25.61	48.0	24.74	41.32	42.29	47.76	43.73	40.8	40.27	39.53	39.75						
Block size [kB] = 16 Run = 4			27.22	50.32	23.12	23.75	42.39	48.23	44.11	40.64	40.27	38.68	38.98						
Block size [kB] = 16 Run = 5			27.37	17.48	26.82	43.63	40.73	50.35	42.54	40.91	40.65	39.87	39.23						
Block size [kB] = 32 Run = 1				61.51	101.46	39.91	62.01	60.78	48.39	40.91	40.67	39.79	39.6						
Block size [kB] = 32 Run = 2				49.94	105.54	43.87	61.51	52.99	43.86	41.68	40.09	40.07	39.81						
Block size [kB] = 32 Run = 3				51.04	24.44	42.43	60.56	52.02	45.92	42.13	39.86	39.73	39.17						
Block size [kB] = 32 Run = 4				49.13	123.78	41.32	60.78	50.58	44.52	41.54	38.69	39.09	39.29						
Block size [kB] = 32 Run = 5				54.92	90.84	43.48	62.53	52.5	45.69	41.96	41.14	39.9	39.69						
Block size [kB] = 64 Run = 1					110.06	223.98	84.29	68.17	47.92	42.28	40.47	40.33	39.66	39.49	39.73	39.33	39.3	39.43	39.49
