# randwr throughput for any bs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run = 1	17.91												
File size [kB] = 4 Run = 2	10.88												
File size [kB] = 4 Run = 3	10.95												
File size [kB] = 4 Run = 4	15.27												
File size [kB] = 4 Run = 5	10.79												
File size [kB] = 8 Run = 1	17.75	36.5											
File size [kB] = 8 Run = 2	11.72	25.37											
File size [kB] = 8 Run = 3	15.62	32.84											
File size [kB] = 8 Run = 4	14.58	32.29											
File size [kB] = 8 Run = 5	18.01	36.5											
File size [kB] = 16 Run = 1	18.99	38.02	81.84										
File size [kB] = 16 Run = 2	18.08	31.88	61.78										
File size [kB] = 16 Run = 3	16.64	22.25	62.25										
File size [kB] = 16 Run = 4	14.18	36.09	63.52										
File size [kB] = 16 Run = 5	21.06	31.63	69.44										
File size [kB] = 32 Run = 1	16.01	35.24	50.73	101.78									
File size [kB] = 32 Run = 2	18.58	31.13	57.12	87.28									
File size [kB] = 32 Run = 3	14.47	31.06	50.49	86.58									
File size [kB] = 32 Run = 4	17.83	28.88	48.67	91.16									
File size [kB] = 32 Run = 5	17.39	36.55	71.87	118.42									
File size [kB] = 64 Run = 1	15.57	39.66	70.23	114.08	318.99								
File size [kB] = 64 Run = 2	15.59	26.94	60.85	108.92	223.9								
File size [kB] = 64 Run = 3	16.85	30.53	67.43	127.02	203.56								
File size [kB] = 64 Run = 4	16.16	41.92	77.17	110.43	200.91								
File size [kB] = 64 Run = 5	15.42	44.11	92.05	124.78	194.06								
File size [kB] = 128 Run = 1	17.81	38.49	71.23	112.61	193.48	323.87							
File size [kB] = 128 Run = 2	16.53	37.14	66.81	127.94	191.15	351.21							
File size [kB] = 128 Run = 3	16.31	38.73	72.68	119.62	238.55	373.21							
File size [kB] = 128 Run = 4	15.84	30.05	73.27	112.42	193.55	301.87							
File size [kB] = 128 Run = 5	16.34	31.51	62.66	141.25	200.66	408.7							
File size [kB] = 256 Run = 1	17.48	34.54	65.51	125.75	227.66	356.56	460.34						
File size [kB] = 256 Run = 2	17.51	38.69	66.05	106.24	196.41	369.24	435.67						
File size [kB] = 256 Run = 3	17.79	39.37	68.3	114.63	187.96	369.89	416.63						
File size [kB] = 256 Run = 4	15.33	37.72	56.43	128.39	200.65	394.97	476.23						
File size [kB] = 256 Run = 5	16.57	37.49	72.46	130.34	186.98	437.85	532.05						
File size [kB] = 512 Run = 1	17.04	36.31	72.66	128.57	210.1	461.74	369.29	487.84					
File size [kB] = 512 Run = 2	18.23	38.78	68.1	133.51	227.39	324.24	453.65	546.45					
File size [kB] = 512 Run = 3	16.87	38.34	70.61	123.03	214.7	364.42	466.88	505.0					
File size [kB] = 512 Run = 4	16.75	39.74	69.31	100.14	213.39	338.26	541.23	538.86					
File size [kB] = 512 Run = 5	17.27	37.43	70.77	112.03	203.91	306.74	438.57	489.21					
File size [kB] = 1024 Run = 1	17.08	34.44	69.2	135.44	214.68	341.76	433.44	471.28	518.92				
File size [kB] = 1024 Run = 2	16.88	37.99	51.39	131.15	214.5	383.29	434.38	448.65	577.03				
File size [kB] = 1024 Run = 3	17.3	25.25	51.32	138.1	189.75	365.49	392.29	458.7	606.83				
File size [kB] = 1024 Run = 4	18.9	41.14	51.88	116.05	209.08	364.82	430.68	434.02	532.76				
File size [kB] = 1024 Run = 5	18.28	41.0	71.71	102.24	217.35	346.38	467.08	463.16	460.16				
File size [kB] = 2048 Run = 1	17.5	25.27	67.51	63.63	68.87	74.9	72.15	74.62	75.14	74.92			
File size [kB] = 2048 Run = 2	17.65	24.32	68.91	68.05	67.46	72.17	72.33	74.09	74.84	71.57			
File size [kB] = 2048 Run = 3	17.66	24.78	67.89	65.36	66.55	71.87	77.75	71.98	68.63	71.97			
File size [kB] = 2048 Run = 4	18.39	33.67	67.9	67.22	68.06	75.51	74.91	74.9	73.03	75.05			
File size [kB] = 2048 Run = 5	17.74	39.49	67.51	67.05	66.78	69.98	71.58	71.5	71.33	71.53			
File size [kB] = 4096 Run = 1	17.84	40.69	47.44	47.91	47.75	49.9	46.42	47.33	47.17	45.64	44.52		
File size [kB] = 4096 Run = 2	17.51	27.24	43.55	47.82	47.66	49.5	49.83	48.65	46.8	47.6	47.54		
File size [kB] = 4096 Run = 3	17.64	40.43	47.75	48.03	48.3	49.44	48.69	48.92	47.35	48.92	47.84		
File size [kB] = 4096 Run = 4	18.11	25.51	47.22	47.72	47.56	49.04	49.08	48.76	47.86	47.95	46.63		
File size [kB] = 4096 Run = 5	17.02	24.9	48.18	47.91	47.7	49.02	48.96	48.83	47.21	45.64	47.05		
File size [kB] = 8192 Run = 1	17.24	38.39	38.89	38.91	42.2	40.04	39.58	40.09	39.97	40.1	40.18	39.49	
File size [kB] = 8192 Run = 2	16.94	32.9	38.48	40.37	39.57	39.78	39.57	40.0	39.67	40.2	39.68	39.5	
File size [kB] = 8192 Run = 3	16.83	39.31	41.3	39.04	39.75	40.29	40.99	40.04	40.6	40.99	40.09	39.83	
File size [kB] = 8192 Run = 4	17.67	37.02	38.65	39.04	40.53	39.5	40.2	40.99	39.88	40.06	39.51	39.52	
File size [kB] = 8192 Run = 5	17.39	38.01	39.12	38.89	39.34	40.83	40.97	41.07	40.82	40.32	40.41	39.59	
File size [kB] = 16384 Run = 1	17.8	29.85	38.38	38.22	38.22	38.66	38.55	38.63	38.33	38.67	38.46	38.69	38.33
File size [kB] = 16384 Run = 2	16.78	37.0	37.89	38.07	38.4	38.46	38.51	38.99	38.98	39.53	38.79	38.67	39.18
File size [kB] = 16384 Run = 3	16.82	36.99	38.38	38.08	38.13	38.34	38.53	38.54	39.04	38.53	38.47	38.43	38.32
File size [kB] = 16384 Run = 4	16.59	37.46	37.95	38.45	38.44	39.03	38.88	38.34	39.1	39.43	39.16	38.84	39.35
File size [kB] = 16384 Run = 5	17.5	37.24	37.67	38.11	38.14	38.35	38.55	38.35	38.6	38.51	38.56	38.54	38.59
File size [kB] = 32768 Run = 1					30.67	37.8	38.08	37.79	37.79	37.8	37.8	37.77	37.78
File size [kB] = 32768 Run = 2					37.75	37.92	37.79	37.99	37.8	37.8	37.87	37.79	37.82
File size [kB] = 32768 Run = 3					37.84	37.79	37.81	37.83	37.72	37.75	37.75	37.79	37.78
File size [kB] = 32768 Run = 4					37.86	37.81	37.72	37.7	37.81	37.79	37.97	37.7	37.89
File size [kB] = 32768 Run = 5					37.73	37.81	37.96	37.84	37.71	30.69	37.8	37.75	37.82
File size [kB] = 65536 Run = 1					37.43	37.53	37.66	37.48	37.58	37.57	37.74	37.63	37.51
File size [kB] = 65536 Run = 2					37.43	37.51	37.48	37.57	37.52	37.52	37.53	37.47	37.52
File size [kB] = 65536 Run = 3					37.58	37.52	37.52	37.48	37.49	37.5	37.52	37.48	37.53
File size [kB] = 65536 Run = 4					37.44	37.51	37.56	37.57	37.5	37.53	37.67	37.49	37.54
File size [kB] = 65536 Run = 5					37.41	37.48	37.55	37.53	30.82	37.59	37.61	37.48	37.64
File size [kB] = 131072 Run = 1					37.34	37.39	37.42	37.37	37.4	35.32	37.41	37.51	37.46
File size [kB] = 131072 Run = 2					37.3	37.47	37.37	37.39	37.39	35.51	37.37	37.43	37.39
File size [kB] = 131072 Run = 3					37.32	37.37	37.52	37.37	37.39	37.49	37.39	37.39	37.46
File size [kB] = 131072 Run = 4					37.35	37.38	37.37	37.46	37.36	37.39	37.43	37.36	37.38
