# randwr throughput for any fs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576
Block size [kB] = 4 Run = 1	17.91	17.75	18.99	16.01	15.57	17.81	17.48	17.04	17.08	17.5	17.84	17.24	17.8						
Block size [kB] = 4 Run = 2	10.88	11.72	18.08	18.58	15.59	16.53	17.51	18.23	16.88	17.65	17.51	16.94	16.78						
Block size [kB] = 4 Run = 3	10.95	15.62	16.64	14.47	16.85	16.31	17.79	16.87	17.3	17.66	17.64	16.83	16.82						
Block size [kB] = 4 Run = 4	15.27	14.58	14.18	17.83	16.16	15.84	15.33	16.75	18.9	18.39	18.11	17.67	16.59						
Block size [kB] = 4 Run = 5	10.79	18.01	21.06	17.39	15.42	16.34	16.57	17.27	18.28	17.74	17.02	17.39	17.5						
Block size [kB] = 8 Run = 1		36.5	38.02	35.24	39.66	38.49	34.54	36.31	34.44	25.27	40.69	38.39	29.85						
Block size [kB] = 8 Run = 2		25.37	31.88	31.13	26.94	37.14	38.69	38.78	37.99	24.32	27.24	32.9	37.0						
Block size [kB] = 8 Run = 3		32.84	22.25	31.06	30.53	38.73	39.37	38.34	25.25	24.78	40.43	39.31	36.99						
Block size [kB] = 8 Run = 4		32.29	36.09	28.88	41.92	30.05	37.72	39.74	41.14	33.67	25.51	37.02	37.46						
Block size [kB] = 8 Run = 5		36.5	31.63	36.55	44.11	31.51	37.49	37.43	41.0	39.49	24.9	38.01	37.24						
Block size [kB] = 16 Run = 1			81.84	50.73	70.23	71.23	65.51	72.66	69.2	67.51	47.44	38.89	38.38						
Block size [kB] = 16 Run = 2			61.78	57.12	60.85	66.81	66.05	68.1	51.39	68.91	43.55	38.48	37.89						
Block size [kB] = 16 Run = 3			62.25	50.49	67.43	72.68	68.3	70.61	51.32	67.89	47.75	41.3	38.38						
Block size [kB] = 16 Run = 4			63.52	48.67	77.17	73.27	56.43	69.31	51.88	67.9	47.22	38.65	37.95						
Block size [kB] = 16 Run = 5			69.44	71.87	92.05	62.66	72.46	70.77	71.71	67.51	48.18	39.12	37.67						
Block size [kB] = 32 Run = 1				101.78	114.08	112.61	125.75	128.57	135.44	63.63	47.91	38.91	38.22						
Block size [kB] = 32 Run = 2				87.28	108.92	127.94	106.24	133.51	131.15	68.05	47.82	40.37	38.07						
Block size [kB] = 32 Run = 3				86.58	127.02	119.62	114.63	123.03	138.1	65.36	48.03	39.04	38.08						
Block size [kB] = 32 Run = 4				91.16	110.43	112.42	128.39	100.14	116.05	67.22	47.72	39.04	38.45						
Block size [kB] = 32 Run = 5				118.42	124.78	141.25	130.34	112.03	102.24	67.05	47.91	38.89	38.11						
Block size [kB] = 64 Run = 1					318.99	193.48	227.66	210.1	214.68	68.87	47.75	42.2	38.22	30.67	37.43	37.34	37.28	37.22	36.95
Block size [kB] = 64 Run = 2					223.9	191.15	196.41	227.39	214.5	67.46	47.66	39.57	38.4	37.75	37.43	37.3	37.26	36.72	23.21
Block size [kB] = 64 Run = 3					203.56	238.55	187.96	214.7	189.75	66.55	48.3	39.75	38.13	37.84	37.58	37.32	37.31	36.21	36.95
Block size [kB] = 64 Run = 4					200.91	193.55	200.65	213.39	209.08	68.06	47.56	40.53	38.44	37.86	37.44	37.35	26.39	37.23	37.21
Block size [kB] = 64 Run = 5					194.06	200.66	186.98	203.91	217.35	66.78	47.7	39.34	38.14	37.73	37.41	37.36	37.29	37.23	37.21
Block size [kB] = 128 Run = 1						323.87	356.56	461.74	341.76	74.9	49.9	40.04	38.66	37.8	37.53	37.39	37.32	37.3	37.27
Block size [kB] = 128 Run = 2						351.21	369.24	324.24	383.29	72.17	49.5	39.78	38.46	37.92	37.51	37.47	37.33	37.28	37.27
Block size [kB] = 128 Run = 3						373.21	369.89	364.42	365.49	71.87	49.44	40.29	38.34	37.79	37.52	37.37	36.34	37.28	37.27
Block size [kB] = 128 Run = 4						301.87	394.97	338.26	364.82	75.51	49.04	39.5	39.03	37.81	37.51	37.38	37.33	37.29	37.27
Block size [kB] = 128 Run = 5						408.7	437.85	306.74	346.38	69.98	49.02	40.83	38.35	37.81	37.48	37.4	37.31	37.29	37.27
Block size [kB] = 256 Run = 1							460.34	369.29	433.44	72.15	46.42	39.58	38.55	38.08	37.66	37.42	37.36	37.27	37.03
Block size [kB] = 256 Run = 2							435.67	453.65	434.38	72.33	49.83	39.57	38.51	37.79	37.48	37.37	37.31	37.29	37.27
Block size [kB] = 256 Run = 3							416.63	466.88	392.29	77.75	48.69	40.99	38.53	37.81	37.52	37.52	37.33	34.08	37.01
Block size [kB] = 256 Run = 4							476.23	541.23	430.68	74.91	49.08	40.2	38.88	37.72	37.56	37.37	37.33	37.28	37.28
Block size [kB] = 256 Run = 5							532.05	438.57	467.08	71.58	48.96	40.97	38.55	37.96	37.55	37.38	36.79	36.25	37.27
Block size [kB] = 512 Run = 1								487.84	471.28	74.62	47.33	40.09	38.63	37.79	37.48	37.37	37.37	37.29	37.26
Block size [kB] = 512 Run = 2								546.45	448.65	74.09	48.65	40.0	38.99	37.99	37.57	37.39	37.32	37.28	37.28
Block size [kB] = 512 Run = 3								505.0	458.7	71.98	48.92	40.04	38.54	37.83	37.48	37.37	36.29	37.28	37.0
Block size [kB] = 512 Run = 4								538.86	434.02	74.9	48.76	40.99	38.34	37.7	37.57	37.46	37.31	36.78	37.27
Block size [kB] = 512 Run = 5								489.21	463.16	71.5	48.83	41.07	38.35	37.84	37.53	37.37	37.39	36.8	37.27
Block size [kB] = 1024 Run = 1									518.92	75.14	47.17	39.97	38.33	37.79	37.58	37.4	37.32	37.32	37.02
Block size [kB] = 1024 Run = 2									577.03	74.84	46.8	39.67	38.98	37.8	37.52	37.39	36.29	37.29	28.7
Block size [kB] = 1024 Run = 3									606.83	68.63	47.35	40.6	39.04	37.72	37.49	37.39	37.31	37.29	36.74
Block size [kB] = 1024 Run = 4									532.76	73.03	47.86	39.88	39.1	37.81	37.5	37.36	37.32	37.3	37.27
Block size [kB] = 1024 Run = 5									460.16	71.33	47.21	40.82	38.6	37.71	30.82	37.43	37.32	36.27	37.27
Block size [kB] = 2048 Run = 1										74.92	45.64	40.1	38.67	37.8	37.57	35.32	37.31	37.29	37.27
Block size [kB] = 2048 Run = 2										71.57	47.6	40.2	39.53	37.8	37.52	35.51	37.31	34.81	37.27
Block size [kB] = 2048 Run = 3										71.97	48.92	40.99	38.53	37.75	37.5	37.49	28.03	37.29	37.0
Block size [kB] = 2048 Run = 4										75.05	47.95	40.06	39.43	37.79	37.53	37.39	36.3	37.29	36.75
Block size [kB] = 2048 Run = 5										71.53	45.64	40.32	38.51	30.69	37.59	37.44	37.33	37.29	37.0
Block size [kB] = 4096 Run = 1											44.52	40.18	38.46	37.8	37.74	37.41	37.31	37.28	37.01
Block size [kB] = 4096 Run = 2											47.54	39.68	38.79	37.87	37.53	37.37	37.34	37.29	37.26
Block size [kB] = 4096 Run = 3											47.84	40.09	38.47	37.75	37.52	37.39	37.35	37.29	37.02
