# rewrite throughput for any bs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run = 1	10.58												
File size [kB] = 4 Run = 2	10.97												
File size [kB] = 4 Run = 3	11.36												
File size [kB] = 4 Run = 4	15.14												
File size [kB] = 4 Run = 5	10.79												
File size [kB] = 8 Run = 1	19.72	22.45											
File size [kB] = 8 Run = 2	16.52	25.37											
File size [kB] = 8 Run = 3	12.83	20.83											
File size [kB] = 8 Run = 4	14.57	27.82											
File size [kB] = 8 Run = 5	13.06	25.87											
File size [kB] = 16 Run = 1	20.11	30.29	55.03										
File size [kB] = 16 Run = 2	21.23	30.0	50.73										
File size [kB] = 16 Run = 3	12.7	25.78	51.25										
File size [kB] = 16 Run = 4	17.02	26.49	42.12										
File size [kB] = 16 Run = 5	18.17	23.32	68.21										
File size [kB] = 32 Run = 1	23.25	31.76	45.17	103.47									
File size [kB] = 32 Run = 2	28.21	43.33	52.35	76.79									
File size [kB] = 32 Run = 3	18.19	33.67	50.09	81.62									
File size [kB] = 32 Run = 4	24.67	28.06	51.24	80.13									
File size [kB] = 32 Run = 5	17.71	31.82	51.49	84.46									
File size [kB] = 64 Run = 1	26.29	57.92	75.66	122.79	199.68								
File size [kB] = 64 Run = 2	32.12	45.39	71.51	118.84	145.33								
File size [kB] = 64 Run = 3	38.39	49.52	56.77	141.41	186.47								
File size [kB] = 64 Run = 4	27.38	44.45	74.58	116.0	204.35								
File size [kB] = 64 Run = 5	29.85	48.52	69.67	127.58	179.08								
File size [kB] = 128 Run = 1	46.45	69.83	90.52	118.95	194.41	298.43							
File size [kB] = 128 Run = 2	43.87	70.38	57.26	134.4	202.6	286.68							
File size [kB] = 128 Run = 3	40.5	54.77	77.74	114.15	220.86	327.92							
File size [kB] = 128 Run = 4	40.32	63.16	62.22	115.74	205.62	287.31							
File size [kB] = 128 Run = 5	38.62	70.1	103.39	129.4	171.96	279.65							
File size [kB] = 256 Run = 1	46.75	62.72	81.97	104.82	227.07	327.6	411.08						
File size [kB] = 256 Run = 2	45.02	73.23	97.46	132.13	218.74	324.25	480.82						
File size [kB] = 256 Run = 3	45.57	57.14	96.82	121.83	260.98	317.67	409.95						
File size [kB] = 256 Run = 4	44.61	78.12	85.44	161.27	163.92	359.13	414.49						
File size [kB] = 256 Run = 5	40.7	61.53	85.91	129.94	201.93	299.44	367.56						
File size [kB] = 512 Run = 1	47.21	77.11	103.31	132.73	193.72	377.13	394.96	435.92					
File size [kB] = 512 Run = 2	44.56	75.19	101.98	111.48	203.0	317.66	456.62	459.12					
File size [kB] = 512 Run = 3	46.7	79.28	95.84	138.77	176.5	347.68	386.09	496.51					
File size [kB] = 512 Run = 4	43.32	71.08	109.51	123.95	217.3	350.88	384.88	488.75					
File size [kB] = 512 Run = 5	47.81	83.75	118.06	114.73	229.91	306.39	386.37	411.54					
File size [kB] = 1024 Run = 1	47.1	83.81	121.02	174.52	224.22	335.9	362.99	396.07	439.94				
File size [kB] = 1024 Run = 2	45.74	71.46	85.44	158.5	209.64	323.19	357.27	388.19	464.29				
File size [kB] = 1024 Run = 3	48.53	68.39	92.5	193.72	197.66	312.99	350.49	426.08	441.1				
File size [kB] = 1024 Run = 4	44.58	77.22	86.24	157.66	188.75	298.93	394.17	409.33	514.4				
File size [kB] = 1024 Run = 5	44.38	72.76	122.99	128.34	201.94	313.97	369.0	387.29	420.7				
