# iozone measured throughput[MB/s] for any FS and any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Operation	iwrite	rewrite	iread	reread	randrd	randwr	bkwdrd	recrewr	striderd	fwrite	frewrite	fread	freread
File size [kB] = 4 Block size [kB] = 4 Run = 1	130.23	328.96	1860.61	3906.25	1387.8	549.69	382.75	568.78	499.42	391.91	328.96	391.91	1279.43
File size [kB] = 4 Block size [kB] = 4 Run = 2	130.23	322.48	1860.61	3906.25	2098.98	660.49	350.04	549.69	499.42	391.91	357.68	391.91	974.91
File size [kB] = 4 Block size [kB] = 4 Run = 3	126.22	322.48	3409.29	3906.25	1860.61	568.78	433.37	568.78	484.65	391.91	328.96	357.68	1279.43
File size [kB] = 4 Block size [kB] = 4 Run = 4	125.25	322.48	3409.29	3906.25	1279.43	549.69	391.91	634.9	484.65	433.37	322.48	433.37	1279.43
File size [kB] = 4 Block size [kB] = 4 Run = 5	130.23	322.48	2098.98	3409.29	1860.61	568.78	382.75	549.69	499.42	433.37	322.48	391.91	1279.43
File size [kB] = 8 Block size [kB] = 4 Run = 1	163.18	462.79	3721.23	6818.58	2558.86	783.82	597.89	866.75	969.3	969.3	597.89	866.75	1574.95
File size [kB] = 8 Block size [kB] = 4 Run = 2	236.07	432.26	3721.23	3721.23	2558.86	866.75	657.92	783.82	866.75	890.3	597.89	969.3	1502.73
File size [kB] = 8 Block size [kB] = 4 Run = 3	237.78	456.34	3721.23	6818.58	4197.96	715.37	657.92	765.5	866.75	866.75	644.97	998.85	1574.95
File size [kB] = 8 Block size [kB] = 4 Run = 4	236.07	456.34	3721.23	6818.58	2775.61	783.82	644.97	866.75	969.3	373.19	644.97	969.3	1574.95
File size [kB] = 8 Block size [kB] = 4 Run = 5	237.78	462.79	4197.96	3721.23	3721.23	783.82	657.92	998.85	356.93	866.75	597.89	866.75	1574.95
File size [kB] = 8 Block size [kB] = 8 Run = 1	301.16	597.89	6818.58	7812.5	4197.96	866.75	657.92	998.85	969.3	866.75	557.22	1137.55	1949.81
File size [kB] = 8 Block size [kB] = 8 Run = 2	290.48	597.89	6818.58	6818.58	2558.86	1099.39	657.92	969.3	866.75	866.75	521.74	969.3	1949.81
File size [kB] = 8 Block size [kB] = 8 Run = 3	301.16	597.89	6818.58	6818.58	2775.61	969.3	715.37	998.85	969.3	783.82	597.89	998.85	1949.81
File size [kB] = 8 Block size [kB] = 8 Run = 4	301.16	609.01	7812.5	6818.58	2775.61	1137.55	644.97	1099.39	969.3	866.75	557.22	998.85	1574.95
File size [kB] = 8 Block size [kB] = 8 Run = 5	301.16	597.89	6818.58	7812.5	4197.96	1137.55	644.97	998.85	969.3	866.75	597.89	969.3	2073.18
File size [kB] = 16 Block size [kB] = 4 Run = 1	283.94	625.31	3899.63	3899.63	3149.91	1043.47	1043.47	1114.45	1567.63	864.53	706.16	1567.63	2198.77
File size [kB] = 16 Block size [kB] = 4 Run = 2	306.52	596.84	3899.63	5117.72	3149.91	1043.47	1114.45	1043.47	1430.74	912.68	684.05	1567.63	2198.77
File size [kB] = 16 Block size [kB] = 4 Run = 3	306.52	625.31	3899.63	5117.72	3005.45	1043.47	1043.47	1114.45	1567.63	980.99	713.86	1430.74	2198.77
File size [kB] = 16 Block size [kB] = 4 Run = 4	295.46	602.32	3149.91	3899.63	3149.91	1043.47	1114.45	1195.79	1430.74	912.68	706.16	1567.63	2539.59
File size [kB] = 16 Block size [kB] = 4 Run = 5	300.89	619.4	3899.63	3899.63	3005.45	1043.47	1043.47	1114.45	1567.63	912.68	713.86	1567.63	2275.11
File size [kB] = 16 Block size [kB] = 8 Run = 1	390.55	782.0	5117.72	5117.72	3899.63	1315.83	1114.45	1289.93	1567.63	1567.63	1114.45	1567.63	2539.59
