# frewrite throughput for any fs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576
Block size [kB] = 4 Run = 1	21.12	34.87	24.0	24.88	36.79	41.04	45.36	45.53	48.02	49.17	47.44	39.2	38.19						
Block size [kB] = 4 Run = 2	12.57	40.07	29.66	18.28	41.75	39.37	43.15	41.61	45.88	35.3	35.43	40.22	38.22						
Block size [kB] = 4 Run = 3	10.53	23.39	20.17	26.35	35.0	41.33	48.35	43.99	48.47	36.51	47.06	39.54	38.56						
Block size [kB] = 4 Run = 4	12.13	21.28	21.79	18.7	32.07	26.65	40.3	46.85	44.53	50.1	46.67	39.36	36.79						
Block size [kB] = 4 Run = 5	13.42	29.82	23.63	23.87	33.89	29.58	42.37	36.08	45.81	36.74	46.74	36.34	36.56						
Block size [kB] = 8 Run = 1		38.29	76.22	36.38	69.35	59.86	66.67	73.16	85.25	65.52	46.07	41.13	38.54						
Block size [kB] = 8 Run = 2		28.3	41.33	39.66	50.24	48.52	71.55	73.95	50.8	55.7	47.88	40.51	38.35						
Block size [kB] = 8 Run = 3		34.25	63.76	38.25	48.75	87.34	73.05	79.33	62.26	68.14	47.46	39.08	38.64						
Block size [kB] = 8 Run = 4		21.76	51.05	31.79	55.32	59.8	70.82	72.68	82.86	66.93	47.73	42.04	38.79						
Block size [kB] = 8 Run = 5		29.58	57.65	62.48	66.71	68.05	75.19	72.67	73.36	68.47	47.76	40.53	38.2						
Block size [kB] = 16 Run = 1			42.23	119.72	101.46	78.42	82.67	107.83	128.4	71.17	49.51	40.67	38.78						
Block size [kB] = 16 Run = 2			41.91	91.93	93.13	78.57	89.83	114.71	97.5	69.83	48.77	40.95	38.54						
Block size [kB] = 16 Run = 3			51.77	95.55	75.94	77.78	113.53	120.95	91.87	69.07	47.42	39.91	38.36						
Block size [kB] = 16 Run = 4			69.44	140.82	97.68	75.71	81.12	83.96	99.57	71.05	48.61	40.2	38.79						
Block size [kB] = 16 Run = 5			51.05	132.42	100.95	119.73	108.18	110.23	89.51	67.83	49.24	39.36	38.29						
Block size [kB] = 32 Run = 1				99.84	359.2	132.97	128.47	149.2	176.58	70.82	48.31	41.07	39.18						
Block size [kB] = 32 Run = 2				90.28	221.63	153.71	118.47	126.55	190.33	71.88	48.51	41.68	38.46						
Block size [kB] = 32 Run = 3				97.1	445.97	152.46	116.65	154.99	134.88	67.13	48.06	40.18	38.26						
Block size [kB] = 32 Run = 4				85.85	168.93	127.82	129.07	175.86	170.91	69.44	48.46	39.3	39.2						
Block size [kB] = 32 Run = 5				120.16	189.3	139.82	114.95	139.24	158.05	67.33	47.13	39.29	38.46						
Block size [kB] = 64 Run = 1					152.07	757.85	306.71	220.64	248.69	79.47	48.74	43.06	38.58	34.45	37.81	35.54	37.34	37.29	37.27
Block size [kB] = 64 Run = 2					161.94	557.87	268.81	212.42	193.5	74.98	49.86	39.94	38.44	37.82	37.53	37.41	37.31	37.29	37.28
Block size [kB] = 64 Run = 3					154.67	565.69	249.26	217.96	213.9	74.87	49.46	40.92	38.47	37.96	37.55	37.39	37.36	37.29	29.89
Block size [kB] = 64 Run = 4					191.65	358.17	278.45	235.85	227.53	74.99	50.07	40.23	38.59	38.11	37.75	37.39	37.33	37.3	37.28
