# iwrite throughput for any bs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run = 1	10.73												
File size [kB] = 4 Run = 2	10.73												
File size [kB] = 4 Run = 3	10.5												
File size [kB] = 4 Run = 4	11.99												
File size [kB] = 4 Run = 5	13.71												
File size [kB] = 8 Run = 1	11.55	21.76											
File size [kB] = 8 Run = 2	12.98	21.06											
File size [kB] = 8 Run = 3	15.38	22.77											
File size [kB] = 8 Run = 4	11.78	21.52											
File size [kB] = 8 Run = 5	14.36	20.89											
File size [kB] = 16 Run = 1	14.67	23.32	41.77										
File size [kB] = 16 Run = 2	14.09	26.52	44.62										
File size [kB] = 16 Run = 3	16.08	24.3	42.12										
File size [kB] = 16 Run = 4	13.55	22.41	42.23										
File size [kB] = 16 Run = 5	16.67	25.32	41.88										
File size [kB] = 32 Run = 1	18.87	27.58	54.17	98.56									
File size [kB] = 32 Run = 2	21.42	27.46	45.17	83.82									
File size [kB] = 32 Run = 3	14.21	27.27	45.42	83.13									
File size [kB] = 32 Run = 4	15.41	28.2	42.98	82.65									
File size [kB] = 32 Run = 5	16.91	27.68	47.93	85.62									
File size [kB] = 64 Run = 1	29.93	45.22	67.5	95.44	164.48								
File size [kB] = 64 Run = 2	24.25	31.97	65.8	93.26	182.7								
File size [kB] = 64 Run = 3	28.12	37.93	60.27	83.22	165.72								
File size [kB] = 64 Run = 4	26.78	40.42	52.97	79.83	179.08								
File size [kB] = 64 Run = 5	25.69	35.7	68.45	84.03	172.71								
File size [kB] = 128 Run = 1	36.89	68.71	71.3	106.11	159.8	382.19							
File size [kB] = 128 Run = 2	37.6	61.64	59.69	112.71	160.88	272.81							
File size [kB] = 128 Run = 3	37.34	65.34	76.07	96.97	174.83	325.48							
File size [kB] = 128 Run = 4	33.94	56.08	103.37	103.99	161.48	285.43							
File size [kB] = 128 Run = 5	41.25	63.71	77.07	96.9	172.7	279.65							
File size [kB] = 256 Run = 1	45.84	63.55	102.55	96.33	183.16	329.04	389.98						
File size [kB] = 256 Run = 2	42.66	70.08	90.87	120.83	190.1	298.67	367.56						
File size [kB] = 256 Run = 3	43.18	67.68	90.09	110.92	184.91	294.06	363.99						
File size [kB] = 256 Run = 4	42.98	74.85	93.46	166.31	201.77	284.41	388.25						
