# recrewr throughput for any fs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576
Block size [kB] = 4 Run = 1	16.76	17.75	20.47	29.23	31.79	43.15	43.86	43.54	31.21	11.12	7.16	6.42	5.57						
Block size [kB] = 4 Run = 2	10.62	12.42	17.34	20.08	35.29	43.4	37.42	42.7	41.25	10.39	6.98	5.78	5.41						
Block size [kB] = 4 Run = 3	10.73	17.88	17.83	17.25	35.65	44.15	46.78	45.59	41.09	10.5	6.9	5.96	5.74						
Block size [kB] = 4 Run = 4	18.86	22.65	15.38	28.83	32.0	38.12	41.65	46.08	41.38	10.72	6.96	5.69	5.3						
Block size [kB] = 4 Run = 5	11.03	11.83	21.09	25.16	37.83	43.92	43.49	45.9	42.73	10.26	6.78	5.7	5.42						
Block size [kB] = 8 Run = 1		57.51	31.06	40.27	55.94	67.35	96.71	88.76	87.01	19.32	12.48	10.74	10.33						
Block size [kB] = 8 Run = 2		25.21	26.75	27.34	50.16	70.99	75.6	81.0	77.2	18.74	12.57	11.05	10.35						
Block size [kB] = 8 Run = 3		36.17	27.41	34.77	43.65	70.94	70.26	82.34	70.34	18.83	12.57	10.77	9.81						
Block size [kB] = 8 Run = 4		36.7	32.82	25.32	51.14	65.72	78.37	88.31	89.25	18.88	12.15	11.03	10.43						
Block size [kB] = 8 Run = 5		44.9	33.3	37.07	52.43	58.71	83.67	83.29	89.01	18.73	13.54	10.47	10.3						
Block size [kB] = 16 Run = 1			80.93	56.6	76.21	87.91	130.47	180.9	154.04	30.5	21.0	17.73	16.71						
Block size [kB] = 16 Run = 2			62.25	53.59	66.22	111.11	75.71	149.7	106.44	29.03	20.59	18.05	16.23						
Block size [kB] = 16 Run = 3			55.03	54.26	78.33	94.98	143.19	122.31	130.77	29.64	20.16	18.57	16.88						
Block size [kB] = 16 Run = 4			74.74	50.55	76.03	62.75	130.75	122.13	133.74	30.46	20.98	17.5	16.49						
Block size [kB] = 16 Run = 5			81.84	68.52	89.54	93.34	139.2	153.13	106.76	30.9	21.05	17.27	16.8						
Block size [kB] = 32 Run = 1				101.78	149.13	130.62	179.46	244.97	273.44	42.44	28.37	24.39	23.99						
Block size [kB] = 32 Run = 2				103.14	139.82	140.6	184.78	226.14	277.17	42.4	28.3	24.49	23.55						
Block size [kB] = 32 Run = 3				82.65	122.34	143.33	137.21	134.92	219.88	42.75	28.66	24.44	24.15						
Block size [kB] = 32 Run = 4				95.55	160.25	113.12	224.78	205.43	271.37	43.02	28.31	24.81	23.22						
Block size [kB] = 32 Run = 5				154.78	132.41	125.25	154.71	129.63	256.14	41.8	29.35	24.75	23.04						
Block size [kB] = 64 Run = 1					268.09	222.46	226.83	285.06	403.58	55.18	36.54	31.26	29.36	27.97	27.65	28.02	27.47	27.72	27.73
Block size [kB] = 64 Run = 2					200.29	204.58	255.08	317.66	365.36	55.62	35.99	30.68	28.74	28.02	27.89	27.81	27.9	27.86	27.5
Block size [kB] = 64 Run = 3					263.78	202.29	225.46	299.39	374.67	54.94	36.28	30.65	28.88	28.5	27.19	27.78	27.45	27.59	27.6
Block size [kB] = 64 Run = 4					238.57	161.33	225.03	253.41	425.01	55.56	36.48	30.78	29.35	28.12	27.12	27.21	27.39	27.51	27.57
Block size [kB] = 64 Run = 5					260.37	241.85	233.65	277.3	399.85	55.71	37.0	31.38	29.04	28.46	27.74	27.72	27.85	27.74	27.71
Block size [kB] = 128 Run = 1						296.91	415.31	470.34	379.07	67.59	42.88	35.76	33.52	32.21	31.91	31.99	31.54	31.39	31.61
Block size [kB] = 128 Run = 2						412.56	423.7	429.94	608.33	67.71	42.64	35.86	33.29	32.33	31.71	32.04	31.58	31.73	31.46
Block size [kB] = 128 Run = 3						386.98	392.46	437.01	567.2	67.51	42.27	36.12	33.25	32.66	31.61	31.7	31.87	31.57	31.46
Block size [kB] = 128 Run = 4						340.49	413.18	461.34	358.16	66.92	42.58	36.07	33.09	32.67	31.86	31.95	31.83	31.73	31.33
Block size [kB] = 128 Run = 5						411.27	361.85	410.5	479.14	68.01	42.28	35.98	33.16	32.05	31.68	31.83	31.7	31.38	31.49
Block size [kB] = 256 Run = 1							497.0	395.85	516.3	71.32	48.91	42.37	39.62	38.39	37.81	37.55	37.4	37.32	37.28
Block size [kB] = 256 Run = 2							482.81	529.61	552.84	70.99	49.37	42.86	39.85	38.5	37.81	37.55	37.39	37.32	37.28
