# rewrite throughput for any fs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576
Block size [kB] = 4 Run = 1	10.58	19.72	20.11	23.25	26.29	46.45	46.75	47.21	47.1	49.7	45.51	40.12	38.36						
Block size [kB] = 4 Run = 2	10.97	16.52	21.23	28.21	32.12	43.87	45.02	44.56	45.74	46.6	46.78	41.27	38.25						
Block size [kB] = 4 Run = 3	11.36	12.83	12.7	18.19	38.39	40.5	45.57	46.7	48.53	49.55	46.78	41.13	38.83						
Block size [kB] = 4 Run = 4	15.14	14.57	17.02	24.67	27.38	40.32	44.61	43.32	44.58	49.67	46.95	40.68	38.34						
Block size [kB] = 4 Run = 5	10.79	13.06	18.17	17.71	29.85	38.62	40.7	47.81	44.38	50.12	47.23	39.35	38.18						
Block size [kB] = 8 Run = 1		22.45	30.29	31.76	57.92	69.83	62.72	77.11	83.81	61.3	48.75	40.94	38.41						
Block size [kB] = 8 Run = 2		25.37	30.0	43.33	45.39	70.38	73.23	75.19	71.46	58.61	47.62	41.48	38.62						
Block size [kB] = 8 Run = 3		20.83	25.78	33.67	49.52	54.77	57.14	79.28	68.39	62.69	47.48	39.27	38.95						
Block size [kB] = 8 Run = 4		27.82	26.49	28.06	44.45	63.16	78.12	71.08	77.22	64.59	48.2	39.29	38.82						
Block size [kB] = 8 Run = 5		25.87	23.32	31.82	48.52	70.1	61.53	83.75	72.76	66.34	47.82	40.75	38.38						
Block size [kB] = 16 Run = 1			55.03	45.17	75.66	90.52	81.97	103.31	121.02	70.45	46.25	40.04	38.54						
Block size [kB] = 16 Run = 2			50.73	52.35	71.51	57.26	97.46	101.98	85.44	70.76	48.7	39.37	38.41						
Block size [kB] = 16 Run = 3			51.25	50.09	56.77	77.74	96.82	95.84	92.5	69.64	48.69	39.88	38.41						
Block size [kB] = 16 Run = 4			42.12	51.24	74.58	62.22	85.44	109.51	86.24	65.8	48.85	39.41	38.68						
Block size [kB] = 16 Run = 5			68.21	51.49	69.67	103.39	85.91	118.06	122.99	68.05	48.55	40.4	38.26						
Block size [kB] = 32 Run = 1				103.47	122.79	118.95	104.82	132.73	174.52	72.12	48.96	39.73	38.24						
Block size [kB] = 32 Run = 2				76.79	118.84	134.4	132.13	111.48	158.5	68.91	47.95	40.26	38.8						
Block size [kB] = 32 Run = 3				81.62	141.41	114.15	121.83	138.77	193.72	69.94	48.33	41.77	38.57						
Block size [kB] = 32 Run = 4				80.13	116.0	115.74	161.27	123.95	157.66	68.74	48.21	40.51	38.59						
Block size [kB] = 32 Run = 5				84.46	127.58	129.4	129.94	114.73	128.34	73.85	48.23	39.3	38.46						
Block size [kB] = 64 Run = 1					199.68	194.41	227.07	193.72	224.22	64.22	47.93	42.1	38.39	37.73	37.48	37.37	37.3	37.29	37.01
Block size [kB] = 64 Run = 2					145.33	202.6	218.74	203.0	209.64	68.77	47.86	40.37	38.4	37.73	37.48	37.37	37.3	37.29	37.28
Block size [kB] = 64 Run = 3					186.47	220.86	260.98	176.5	197.66	65.51	47.52	40.62	38.19	37.75	37.61	37.39	37.34	37.28	37.27
