# striderd throughput for any bs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run = 1	4.06												
File size [kB] = 4 Run = 2	5.02												
File size [kB] = 4 Run = 3	4.25												
File size [kB] = 4 Run = 4	4.84												
File size [kB] = 4 Run = 5	4.05												
File size [kB] = 8 Run = 1	5.54	8.61											
File size [kB] = 8 Run = 2	5.18	8.99											
File size [kB] = 8 Run = 3	4.95	7.61											
File size [kB] = 8 Run = 4	5.44	7.87											
File size [kB] = 8 Run = 5	4.88	8.17											
File size [kB] = 16 Run = 1	11.09	5.83	17.11										
File size [kB] = 16 Run = 2	9.58	9.46	16.28										
File size [kB] = 16 Run = 3	9.64	9.36	14.38										
File size [kB] = 16 Run = 4	8.92	9.98	15.41										
File size [kB] = 16 Run = 5	10.21	9.48	17.29										
File size [kB] = 32 Run = 1	18.15	18.9	17.97	27.36									
File size [kB] = 32 Run = 2	18.28	17.52	8.74	27.1									
File size [kB] = 32 Run = 3	17.23	17.3	17.36	29.04									
File size [kB] = 32 Run = 4	15.7	16.32	8.76	25.06									
File size [kB] = 32 Run = 5	17.67	17.46	18.91	31.41									
File size [kB] = 64 Run = 1	30.61	29.38	30.63	28.82	41.97								
File size [kB] = 64 Run = 2	33.16	29.11	29.65	29.6	41.03								
File size [kB] = 64 Run = 3	30.22	30.53	30.77	29.9	40.48								
File size [kB] = 64 Run = 4	29.82	31.42	30.51	33.28	42.46								
File size [kB] = 64 Run = 5	28.18	32.12	31.14	29.86	42.89								
File size [kB] = 128 Run = 1	18.03	50.3	50.83	45.45	52.06	59.93							
File size [kB] = 128 Run = 2	10.53	51.42	45.97	48.19	48.19	59.1							
File size [kB] = 128 Run = 3	6.48	53.7	48.62	46.66	46.66	60.79							
File size [kB] = 128 Run = 4	9.8	48.41	47.65	47.46	47.12	58.11							
File size [kB] = 128 Run = 5	10.04	48.07	51.25	48.32	47.91	60.39							
File size [kB] = 256 Run = 1	18.87	27.79	96.82	97.77	92.97	76.17	78.94						
File size [kB] = 256 Run = 2	8.96	14.61	98.7	97.54	89.83	76.06	77.86						
File size [kB] = 256 Run = 3	9.08	14.3	94.7	98.5	95.63	79.62	74.65						
File size [kB] = 256 Run = 4	9.11	13.89	99.96	98.04	93.46	74.82	83.22						
File size [kB] = 256 Run = 5	9.42	14.35	96.3	100.36	99.36	78.54	78.42						
File size [kB] = 512 Run = 1	19.55	25.47	42.96	185.05	182.62	92.13	92.47	91.44					
File size [kB] = 512 Run = 2	8.51	12.52	23.81	177.82	178.26	92.97	91.78	92.39					
File size [kB] = 512 Run = 3	8.49	12.5	23.45	191.21	183.42	90.42	91.01	90.81					
File size [kB] = 512 Run = 4	8.56	12.63	24.33	176.43	190.05	90.2	91.21	91.59					
File size [kB] = 512 Run = 5	8.63	12.71	24.38	204.17	198.43	91.13	90.3	93.85					
File size [kB] = 1024 Run = 1	18.08	21.54	44.25	50.42	350.99	174.98	112.51	98.21	99.91				
File size [kB] = 1024 Run = 2	8.59	8.79	21.97	39.44	363.24	183.12	111.91	98.67	100.86				
File size [kB] = 1024 Run = 3	8.67	8.99	21.67	40.8	364.82	183.35	112.84	98.71	101.28				
File size [kB] = 1024 Run = 4	8.57	8.87	21.96	39.36	366.42	177.72	111.99	99.91	99.59				
File size [kB] = 1024 Run = 5	8.65	9.05	21.53	40.78	369.84	182.82	113.65	99.75	101.12				
File size [kB] = 2048 Run = 1	14.83	18.84	44.78	57.93	71.79	337.1	220.55	147.87	111.61	105.85			
File size [kB] = 2048 Run = 2	8.09	7.02	19.43	33.1	58.75	359.5	219.3	147.83	111.28	105.82			
File size [kB] = 2048 Run = 3	8.81	7.0	19.22	33.93	59.36	343.87	221.04	147.55	111.21	106.57			
File size [kB] = 2048 Run = 4	8.51	7.05	19.1	33.36	59.38	339.62	219.1	147.21	111.37	105.83			
File size [kB] = 2048 Run = 5	8.98	7.05	19.34	33.89	60.31	348.86	222.15	147.91	110.8	105.06			
File size [kB] = 4096 Run = 1	6.01	6.69	19.4	31.12	48.07	68.95	423.1	287.46	218.23	146.84	108.46		
File size [kB] = 4096 Run = 2	7.59	6.74	19.6	30.55	48.35	70.14	425.16	287.03	217.64	147.28	108.56		
File size [kB] = 4096 Run = 3	7.68	6.73	20.29	31.1	48.57	67.88	422.7	289.06	218.84	146.47	108.57		
File size [kB] = 4096 Run = 4	7.81	6.67	19.12	29.84	47.88	68.37	425.36	285.65	217.53	145.47	108.69		
File size [kB] = 4096 Run = 5	7.81	6.72	20.44	31.75	48.52	68.11	578.03	286.63	218.93	147.2	109.18		
File size [kB] = 8192 Run = 1	7.61	6.17	19.27	30.79	45.83	61.06	71.45	542.41	418.54	285.88	174.95	109.99	
File size [kB] = 8192 Run = 2	7.2	6.19	18.8	30.83	45.95	57.98	71.85	551.77	420.19	286.77	174.39	109.99	
File size [kB] = 8192 Run = 3	7.19	6.14	19.1	30.64	44.96	59.88	71.09	545.81	419.27	286.95	174.91	110.08	
File size [kB] = 8192 Run = 4	7.41	6.14	18.94	30.73	45.34	59.17	70.5	526.56	420.59	286.99	174.64	110.29	
File size [kB] = 8192 Run = 5	7.04	6.18	19.2	31.51	45.74	58.56	71.73	550.36	419.07	285.71	175.21	110.16	
File size [kB] = 16384 Run = 1	7.48	5.38	17.91	29.9	43.16	57.15	77.54	53.86	779.12	542.44	338.52	192.2	110.79
File size [kB] = 16384 Run = 2	7.12	5.41	18.66	30.18	42.86	56.04	77.07	53.78	781.21	544.81	337.74	192.52	110.83
File size [kB] = 16384 Run = 3	7.43	5.38	18.54	30.74	44.32	55.76	77.81	53.74	778.1	543.15	337.46	191.7	110.78
File size [kB] = 16384 Run = 4	7.01	5.39	18.3	29.66	43.53	55.71	78.66	53.41	779.66	541.93	338.23	189.73	108.58
File size [kB] = 16384 Run = 5	7.43	5.41	18.54	30.7	44.0	55.42	79.04	53.83	776.05	544.59	337.82	192.24	110.78
File size [kB] = 32768 Run = 1					42.94	53.24	77.05	53.93	74.25	989.18	636.03	362.1	202.25
File size [kB] = 32768 Run = 2					43.15	51.29	76.69	53.83	74.18	964.46	635.7	363.8	202.62
File size [kB] = 32768 Run = 3					42.51	53.62	76.69	53.71	74.13	992.07	634.88	364.98	202.81
File size [kB] = 32768 Run = 4					42.42	53.05	76.84	53.72	73.06	985.04	635.59	365.05	202.4
File size [kB] = 32768 Run = 5					42.27	51.97	76.84	53.68	73.78	987.26	634.18	359.85	202.45
File size [kB] = 65536 Run = 1					40.08	51.35	78.34	53.32	72.61	91.48	1136.06	660.28	383.17
File size [kB] = 65536 Run = 2					41.22	50.05	78.35	53.28	72.54	91.33	1132.0	662.73	381.29
File size [kB] = 65536 Run = 3					40.98	51.54	78.32	53.38	72.82	91.26	1131.94	662.73	381.59
File size [kB] = 65536 Run = 4					40.66	51.8	77.46	53.17	71.77	91.43	1126.5	658.59	381.11
File size [kB] = 65536 Run = 5					40.85	50.0	77.53	53.2	72.87	91.39	1132.18	661.79	382.71
