# iozone measured throughput[MB/s] for any FS and any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Operation	iwrite	rewrite	iread	reread	randrd	randwr	bkwdrd	recrewr	striderd	fwrite	frewrite	fread	freread
File size [kB] = 4 Block size [kB] = 4 Run = 1	121.54	350.04	2098.98	3906.25	2098.98	568.78	391.91	549.69	484.65	391.91	328.96	391.91	1387.8
File size [kB] = 4 Block size [kB] = 4 Run = 2	139.08	322.48	1860.61	3906.25	1860.61	568.78	391.91	568.78	499.42	445.15	322.48	57.33	1279.43
File size [kB] = 4 Block size [kB] = 4 Run = 3	130.23	322.48	1860.61	3906.25	2098.98	568.78	391.91	660.49	484.65	445.15	322.48	357.68	1279.43
File size [kB] = 4 Block size [kB] = 4 Run = 4	121.54	322.48	2098.98	3906.25	2098.98	568.78	357.68	568.78	484.65	433.37	322.48	391.91	1279.43
File size [kB] = 4 Block size [kB] = 4 Run = 5	130.23	357.68	3906.25	3906.25	1279.43	549.69	391.91	568.78	484.65	382.75	304.5	382.75	974.91
File size [kB] = 8 Block size [kB] = 4 Run = 1	236.07	432.26	3721.23	3721.23	2558.86	783.82	597.89	765.5	969.3	866.75	597.89	998.85	1949.81
File size [kB] = 8 Block size [kB] = 4 Run = 2	229.46	462.79	4197.96	4197.96	2558.86	866.75	657.92	866.75	969.3	356.93	597.89	866.75	1574.95
File size [kB] = 8 Block size [kB] = 4 Run = 3	237.78	462.79	3721.23	4197.96	2558.86	700.08	597.89	866.75	998.85	866.75	609.01	890.3	1949.81
File size [kB] = 8 Block size [kB] = 4 Run = 4	229.46	462.79	3721.23	7812.5	2558.86	765.5	657.92	866.75	866.75	783.82	657.92	783.82	1949.81
File size [kB] = 8 Block size [kB] = 4 Run = 5	237.78	456.34	3721.23	3721.23	2558.86	783.82	597.89	783.82	866.75	783.82	657.92	890.3	1949.81
