# bkwdrd throughput for any bs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run = 1	4.33												
File size [kB] = 4 Run = 2	4.8												
File size [kB] = 4 Run = 3	4.68												
File size [kB] = 4 Run = 4	4.62												
File size [kB] = 4 Run = 5	4.39												
File size [kB] = 8 Run = 1	2.93	8.79											
File size [kB] = 8 Run = 2	3.62	5.43											
File size [kB] = 8 Run = 3	3.57	9.25											
File size [kB] = 8 Run = 4	3.55	9.97											
File size [kB] = 8 Run = 5	3.71	9.0											
File size [kB] = 16 Run = 1	3.69	5.73	15.38										
File size [kB] = 16 Run = 2	2.62	7.36	16.19										
File size [kB] = 16 Run = 3	3.11	6.57	17.25										
File size [kB] = 16 Run = 4	2.59	6.55	16.86										
File size [kB] = 16 Run = 5	2.87	6.67	15.56										
File size [kB] = 32 Run = 1	4.39	7.47	9.76	28.21									
File size [kB] = 32 Run = 2	2.68	5.46	12.14	29.1									
File size [kB] = 32 Run = 3	2.59	5.45	11.14	28.23									
File size [kB] = 32 Run = 4	2.51	5.07	11.66	29.26									
File size [kB] = 32 Run = 5	2.48	5.2	9.42	28.23									
File size [kB] = 64 Run = 1	4.51	8.79	12.61	18.0	43.25								
File size [kB] = 64 Run = 2	2.08	4.24	8.99	20.01	44.29								
File size [kB] = 64 Run = 3	2.08	4.31	8.22	17.86	44.71								
File size [kB] = 64 Run = 4	2.08	4.0	9.14	18.57	42.95								
File size [kB] = 64 Run = 5	2.16	3.98	8.16	18.92	43.07								
File size [kB] = 128 Run = 1	4.91	8.3	13.04	20.28	27.05	61.64							
File size [kB] = 128 Run = 2	1.63	3.11	6.47	13.37	27.78	63.68							
File size [kB] = 128 Run = 3	1.57	3.24	6.66	13.81	27.52	63.88							
File size [kB] = 128 Run = 4	1.6	3.16	6.21	12.62	27.46	62.84							
File size [kB] = 128 Run = 5	1.54	3.24	6.65	13.69	27.22	61.94							
File size [kB] = 256 Run = 1	5.0	9.37	14.73	22.71	29.16	57.44	79.82						
File size [kB] = 256 Run = 2	1.59	3.23	6.28	12.69	25.49	53.28	78.25						
File size [kB] = 256 Run = 3	1.57	3.07	6.43	13.2	26.65	56.41	80.51						
File size [kB] = 256 Run = 4	1.52	3.11	6.36	13.02	24.43	56.51	80.46						
File size [kB] = 256 Run = 5	1.57	3.07	6.11	12.24	25.48	56.78	77.5						
File size [kB] = 512 Run = 1	4.98	8.57	15.76	25.18	34.86	50.22	74.32	93.56					
File size [kB] = 512 Run = 2	1.65	3.19	5.96	13.4	25.51	49.75	74.87	93.6					
