# bkwdrd throughput for any fs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576
Block size [kB] = 4 Run = 1	4.33	2.93	3.69	4.39	4.51	4.91	5.0	4.98	5.17	5.51	1.5	1.59	1.54						
Block size [kB] = 4 Run = 2	4.8	3.62	2.62	2.68	2.08	1.63	1.59	1.65	1.63	1.61	1.52	1.55	1.61						
Block size [kB] = 4 Run = 3	4.68	3.57	3.11	2.59	2.08	1.57	1.57	1.56	1.61	1.59	1.58	1.58	1.55						
Block size [kB] = 4 Run = 4	4.62	3.55	2.59	2.51	2.08	1.6	1.52	1.52	1.52	1.55	1.52	1.54	1.54						
Block size [kB] = 4 Run = 5	4.39	3.71	2.87	2.48	2.16	1.54	1.57	1.55	1.54	1.63	1.64	1.58	1.52						
Block size [kB] = 8 Run = 1		8.79	5.73	7.47	8.79	8.3	9.37	8.57	9.38	9.9	3.28	3.01	3.05						
Block size [kB] = 8 Run = 2		5.43	7.36	5.46	4.24	3.11	3.23	3.19	3.05	3.14	3.15	3.13	3.15						
Block size [kB] = 8 Run = 3		9.25	6.57	5.45	4.31	3.24	3.07	3.03	3.1	3.17	3.03	3.19	3.16						
Block size [kB] = 8 Run = 4		9.97	6.55	5.07	4.0	3.16	3.11	3.18	2.91	3.14	3.13	3.13	3.03						
Block size [kB] = 8 Run = 5		9.0	6.67	5.2	3.98	3.24	3.07	3.17	3.08	3.04	3.03	3.17	3.09						
Block size [kB] = 16 Run = 1			15.38	9.76	12.61	13.04	14.73	15.76	16.02	16.11	6.38	6.33	6.35						
Block size [kB] = 16 Run = 2			16.19	12.14	8.99	6.47	6.28	5.96	6.03	6.05	6.33	6.47	6.11						
Block size [kB] = 16 Run = 3			17.25	11.14	8.22	6.66	6.43	6.05	6.0	6.32	6.22	6.43	6.09						
Block size [kB] = 16 Run = 4			16.86	11.66	9.14	6.21	6.36	6.12	6.27	6.23	6.3	6.23	6.43						
Block size [kB] = 16 Run = 5			15.56	9.42	8.16	6.65	6.11	6.27	6.1	6.13	6.01	5.94	6.33						
Block size [kB] = 32 Run = 1				28.21	18.0	20.28	22.71	25.18	25.8	26.5	12.08	12.64	12.54						
Block size [kB] = 32 Run = 2				29.1	20.01	13.37	12.69	13.4	12.18	12.51	12.5	12.81	13.63						
Block size [kB] = 32 Run = 3				28.23	17.86	13.81	13.2	12.19	11.89	12.43	12.5	12.5	11.96						
Block size [kB] = 32 Run = 4				29.26	18.57	12.62	13.02	12.45	12.22	12.41	11.85	12.94	12.45						
Block size [kB] = 32 Run = 5				28.23	18.92	13.69	12.24	12.05	12.13	11.64	12.41	12.62	12.37						
Block size [kB] = 64 Run = 1					43.25	27.05	29.16	34.86	38.25	37.8	23.46	24.71	24.81	25.18	24.65	24.27	25.59	24.68	18.19
Block size [kB] = 64 Run = 2					44.29	27.78	25.49	25.51	23.08	25.93	24.57	23.65	24.92	24.47	25.8	24.76	25.13	25.41	18.9
Block size [kB] = 64 Run = 3					44.71	27.52	26.65	23.9	25.06	24.89	25.41	24.53	24.15	25.64	23.86	25.33	24.95	25.61	18.76
Block size [kB] = 64 Run = 4					42.95	27.46	24.43	25.68	24.41	24.83	22.93	27.03	25.35	23.77	24.68	25.64	24.62	24.71	18.9
Block size [kB] = 64 Run = 5					43.07	27.22	25.48	24.95	23.35	24.65	25.05	24.55	24.81	24.47	25.56	24.3	25.3	25.2	18.28
Block size [kB] = 128 Run = 1						61.64	57.44	50.22	47.4	50.1	50.02	49.15	48.8	49.74	48.33	48.59	49.62	51.64	37.08
Block size [kB] = 128 Run = 2						63.68	53.28	49.75	48.74	51.31	50.89	48.25	49.83	47.43	47.99	50.92	48.14	51.89	36.64
Block size [kB] = 128 Run = 3						63.88	56.41	50.04	47.49	47.26	49.02	48.45	50.28	48.26	48.42	47.94	48.82	47.57	37.3
Block size [kB] = 128 Run = 4						62.84	56.51	48.41	47.84	50.01	45.08	51.58	48.36	47.33	48.34	49.08	50.11	51.9	35.93
Block size [kB] = 128 Run = 5						61.94	56.78	50.55	49.74	51.92	48.66	48.52	48.56	46.97	48.22	48.34	51.64	48.73	37.2
Block size [kB] = 256 Run = 1							79.82	74.32	70.73	68.56	68.73	69.63	68.58	69.57	70.08	70.1	69.62	70.28	57.16
Block size [kB] = 256 Run = 2							78.25	74.87	68.05	70.6	68.26	69.58	72.1	69.18	69.54	70.11	68.44	69.63	56.61
Block size [kB] = 256 Run = 3							80.51	75.53	69.43	68.82	68.05	68.24	69.21	68.46	72.17	69.61	70.1	71.43	57.97
Block size [kB] = 256 Run = 4							80.46	72.52	69.18	68.87	67.93	68.39	69.45	68.17	71.68	70.02	69.89	68.76	57.58
Block size [kB] = 256 Run = 5							77.5	74.12	70.9	67.93	68.8	70.74	67.17	67.53	71.15	70.74	69.43	69.86	59.05
Block size [kB] = 512 Run = 1								93.56	88.39	64.68	56.86	53.98	52.59	51.86	51.6	51.54	51.18	51.18	49.69
Block size [kB] = 512 Run = 2								93.6	88.36	64.94	57.17	53.79	52.41	51.94	51.38	51.29	51.18	50.96	46.84
Block size [kB] = 512 Run = 3								92.66	89.35	64.56	57.0	53.83	52.67	51.9	51.73	51.33	51.12	51.14	47.42
Block size [kB] = 512 Run = 4								87.9	87.13	64.47	57.21	53.89	52.5	51.63	51.62	51.27	51.4	51.06	50.0
Block size [kB] = 512 Run = 5								85.79	89.26	64.39	57.12	54.16	52.61	51.71	51.48	51.27	51.42	51.29	49.99
Block size [kB] = 1024 Run = 1									103.03	98.35	81.51	75.73	72.7	71.39	71.1	70.51	70.53	70.34	66.67
Block size [kB] = 1024 Run = 2									101.72	98.14	82.38	75.76	72.97	71.65	70.98	70.71	70.32	70.52	66.59
Block size [kB] = 1024 Run = 3									101.46	98.9	82.35	75.99	72.63	71.7	70.82	70.71	70.48	70.18	66.8
Block size [kB] = 1024 Run = 4									102.61	98.71	81.74	75.76	72.92	71.64	71.01	70.77	70.59	70.3	68.72
Block size [kB] = 1024 Run = 5									101.82	97.95	81.52	75.32	72.94	71.33	71.15	70.77	70.35	70.33	68.96
Block size [kB] = 2048 Run = 1										106.62	104.6	94.49	89.84	88.34	87.36	86.76	86.75	86.46	85.12
Block size [kB] = 2048 Run = 2										106.35	104.6	94.3	90.11	88.22	87.39	86.9	86.66	86.52	85.21
Block size [kB] = 2048 Run = 3										106.15	104.95	94.42	90.03	88.39	87.22	86.93	86.72	86.59	83.47
Block size [kB] = 2048 Run = 4										106.32	104.18	94.69	90.23	88.21	87.29	87.0	86.56	86.54	85.3
Block size [kB] = 2048 Run = 5										106.37	104.33	94.73	90.34	88.1	87.28	86.79	86.52	86.6	83.41
Block size [kB] = 4096 Run = 1											109.08	107.83	102.37	99.9	98.7	97.93	97.79	97.61	94.54
Block size [kB] = 4096 Run = 2											109.07	107.82	102.24	99.87	98.6	98.06	97.81	97.58	95.55
Block size [kB] = 4096 Run = 3											108.63	108.03	101.71	99.91	98.66	97.94	97.72	97.66	95.6
Block size [kB] = 4096 Run = 4											109.11	107.9	102.29	99.86	98.58	98.02	97.83	97.69	95.52
Block size [kB] = 4096 Run = 5											108.77	108.05	102.54	99.83	98.6	98.02	97.83	97.65	96.74
Block size [kB] = 8192 Run = 1												110.28	109.85	106.91	105.49	104.81	104.49	104.3	103.04
Block size [kB] = 8192 Run = 2												110.16	109.92	106.84	105.52	104.78	104.44	104.25	103.67
Block size [kB] = 8192 Run = 3												110.2	109.78	106.89	105.46	104.78	104.36	104.31	103.35
Block size [kB] = 8192 Run = 4												110.33	109.78	106.85	105.51	104.74	104.46	104.33	103.08
Block size [kB] = 8192 Run = 5												110.31	109.84	106.83	105.52	104.75	104.49	104.28	102.78
Block size [kB] = 16384 Run = 1													110.82	110.73	109.25	108.52	108.19	108.0	107.64
Block size [kB] = 16384 Run = 2													110.89	110.67	109.24	108.51	108.17	108.01	107.64
Block size [kB] = 16384 Run = 3													110.89	110.71	109.25	108.47	108.16	107.98	107.63
Block size [kB] = 16384 Run = 4													110.83	110.75	109.26	108.52	108.08	107.96	107.24
Block size [kB] = 16384 Run = 5													110.95	110.8	109.28	108.48	108.19	108.0	107.03
# Statistics (excluding 0 values)
