# fread throughput for any fs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576
Block size [kB] = 4 Run = 1	4.95	4.66	9.6	9.83	16.1	22.71	31.84	41.38	41.87	38.67	38.08	39.01	38.8						
Block size [kB] = 4 Run = 2	4.88	5.89	10.06	10.07	15.95	17.24	29.74	35.08	37.67	37.91	37.83	38.29	38.85						
Block size [kB] = 4 Run = 3	5.15	5.36	10.8	9.75	15.35	16.36	28.37	35.63	36.69	38.24	38.92	39.06	38.66						
Block size [kB] = 4 Run = 4	5.36	5.53	9.14	9.56	15.99	17.36	29.25	34.92	37.16	37.84	38.39	38.97	38.56						
Block size [kB] = 4 Run = 5	4.98	5.33	9.38	10.05	16.34	16.8	27.8	35.69	36.55	38.43	38.51	38.79	38.74						
Block size [kB] = 8 Run = 1		8.35	10.04	9.79	15.22	21.99	31.98	43.55	43.31	38.09	38.86	38.71	38.81						
Block size [kB] = 8 Run = 2		9.02	10.55	9.29	15.95	16.07	28.33	36.36	36.35	38.06	38.79	38.77	39.25						
Block size [kB] = 8 Run = 3		8.91	10.55	10.04	15.79	16.86	27.7	35.6	36.53	38.68	38.79	38.54	38.51						
Block size [kB] = 8 Run = 4		10.81	9.88	9.87	15.28	18.35	28.03	34.73	37.21	38.07	38.25	38.57	38.81						
Block size [kB] = 8 Run = 5		9.16	10.96	9.13	14.74	16.13	29.43	37.36	37.07	38.29	38.02	38.77	38.66						
Block size [kB] = 16 Run = 1			15.08	15.2	15.6	23.06	38.4	52.0	44.41	41.61	39.16	38.7	38.7						
Block size [kB] = 16 Run = 2			18.28	21.07	16.59	24.79	30.91	40.18	37.99	38.98	38.58	39.01	38.77						
Block size [kB] = 16 Run = 3			18.38	19.07	15.02	25.51	32.35	39.82	38.9	39.29	39.18	39.11	38.72						
Block size [kB] = 16 Run = 4			17.96	18.94	16.92	24.2	30.84	38.35	39.69	39.27	39.26	38.69	39.3						
Block size [kB] = 16 Run = 5			17.11	20.22	16.17	25.31	30.27	39.65	39.99	38.88	38.34	38.52	39.12						
Block size [kB] = 32 Run = 1				29.62	34.02	23.34	38.05	49.38	44.06	39.21	38.96	39.13	39.45						
Block size [kB] = 32 Run = 2				29.9	34.19	23.63	40.74	45.23	41.09	40.18	39.35	39.04	38.89						
Block size [kB] = 32 Run = 3				30.91	29.72	25.23	41.62	42.41	40.71	39.66	39.34	39.01	38.96						
Block size [kB] = 32 Run = 4				28.72	32.48	26.11	39.98	42.66	40.98	39.5	39.41	39.0	39.07						
Block size [kB] = 32 Run = 5				30.94	30.63	24.87	39.94	42.21	40.86	39.49	39.33	39.29	38.89						
Block size [kB] = 64 Run = 1					43.8	49.98	47.16	53.39	43.13	40.85	39.67	39.64	39.71	39.38	39.25	38.89	39.23	39.2	27.49
Block size [kB] = 64 Run = 2					44.74	48.08	46.29	55.25	42.83	41.2	39.98	39.2	39.21	39.34	39.18	39.09	39.21	38.9	27.87
Block size [kB] = 64 Run = 3					45.13	48.43	52.29	51.49	42.92	41.17	40.0	39.08	38.9	39.3	39.27	39.16	39.01	39.23	34.91
Block size [kB] = 64 Run = 4					43.83	50.12	49.54	52.14	42.34	40.51	39.75	39.61	39.14	38.98	38.93	39.17	38.99	38.88	27.6
Block size [kB] = 64 Run = 5					43.49	47.89	47.04	51.99	42.82	40.69	40.28	39.3	39.41	39.24	39.25	39.13	39.19	39.18	27.56
Block size [kB] = 128 Run = 1						63.42	80.59	59.4	46.73	40.76	39.93	39.55	39.43	39.01	39.36	39.01	39.32	39.17	36.93
Block size [kB] = 128 Run = 2						62.97	79.04	59.07	46.96	40.44	39.92	39.11	39.01	39.41	39.11	39.4	38.93	39.42	27.45
Block size [kB] = 128 Run = 3						66.85	80.88	59.13	47.07	40.46	39.37	39.65	39.54	39.25	39.36	39.39	39.18	39.33	29.15
Block size [kB] = 128 Run = 4						61.94	80.18	59.64	46.35	41.08	39.9	39.44	39.6	39.36	39.27	39.1	39.0	39.15	27.61
Block size [kB] = 128 Run = 5						63.16	80.75	58.06	47.13	40.89	39.6	39.59	39.56	39.17	39.02	39.07	38.97	39.31	27.53
Block size [kB] = 256 Run = 1							80.39	70.74	47.47	42.42	40.84	40.01	39.94	39.52	39.09	39.32	39.35	39.32	38.64
Block size [kB] = 256 Run = 2							81.09	69.45	46.94	43.07	40.54	40.05	39.57	39.42	39.01	39.18	39.12	38.92	38.55
Block size [kB] = 256 Run = 3							81.67	70.42	46.53	42.64	40.51	39.74	39.22	39.11	39.41	39.22	38.98	39.3	38.44
Block size [kB] = 256 Run = 4							74.82	68.57	47.6	42.75	41.37	39.71	39.36	39.28	39.33	39.42	39.02	39.41	38.59
Block size [kB] = 256 Run = 5							79.95	68.04	46.74	42.95	40.76	39.9	39.25	39.45	39.46	39.14	39.21	39.2	38.75
Block size [kB] = 512 Run = 1								93.91	71.37	54.56	49.57	47.76	47.14	46.6	46.42	46.19	46.08	46.16	45.21
Block size [kB] = 512 Run = 2								93.97	71.43	54.36	49.82	47.72	46.85	46.63	46.37	46.22	46.07	46.14	43.01
Block size [kB] = 512 Run = 3								94.75	71.63	54.26	49.67	47.75	47.01	46.59	46.39	46.29	46.12	46.18	43.03
Block size [kB] = 512 Run = 4								95.44	71.15	54.15	49.99	47.83	47.07	46.33	46.33	46.2	46.23	46.02	44.89
Block size [kB] = 512 Run = 5								96.6	71.24	54.27	49.7	47.9	47.06	46.5	46.42	46.25	46.04	46.03	45.13
Block size [kB] = 1024 Run = 1									101.71	75.77	69.93	67.56	66.46	65.8	65.59	65.21	65.25	65.34	62.48
Block size [kB] = 1024 Run = 2									101.93	75.79	70.17	67.46	66.35	65.87	65.57	65.4	65.3	65.35	62.28
Block size [kB] = 1024 Run = 3									101.11	76.17	70.29	67.65	66.33	65.84	65.48	65.45	65.38	65.23	62.38
Block size [kB] = 1024 Run = 4									102.08	75.92	70.06	67.61	66.4	65.84	65.57	65.46	65.26	65.19	63.29
Block size [kB] = 1024 Run = 5									101.69	76.0	70.02	67.65	66.5	65.79	65.58	65.44	65.32	65.14	63.5
Block size [kB] = 2048 Run = 1										106.52	90.54	86.32	84.13	83.38	82.85	82.59	82.65	82.44	79.91
Block size [kB] = 2048 Run = 2										106.3	90.58	86.01	84.08	83.2	82.77	82.55	82.56	82.51	79.93
Block size [kB] = 2048 Run = 3										106.76	90.53	86.2	84.24	83.36	82.87	82.68	82.56	82.5	79.95
Block size [kB] = 2048 Run = 4										106.64	90.5	86.39	84.26	83.18	82.82	82.47	82.55	82.51	79.84
Block size [kB] = 2048 Run = 5										106.64	90.42	86.37	84.37	83.32	82.77	82.72	82.57	82.49	79.94
Block size [kB] = 4096 Run = 1											108.85	99.93	97.41	96.11	95.31	95.06	95.02	94.95	91.33
Block size [kB] = 4096 Run = 2											109.01	99.89	97.37	96.05	95.48	95.17	94.97	94.87	92.93
Block size [kB] = 4096 Run = 3											109.18	99.94	97.32	96.13	95.32	95.17	95.02	94.93	92.97
Block size [kB] = 4096 Run = 4											109.16	100.03	97.38	96.12	95.38	95.11	95.06	95.0	92.98
Block size [kB] = 4096 Run = 5											108.82	99.96	97.4	96.13	95.45	95.17	95.05	94.98	92.98
Block size [kB] = 8192 Run = 1												110.35	105.41	104.06	103.21	103.0	102.86	102.76	101.53
Block size [kB] = 8192 Run = 2												110.19	105.56	104.03	103.31	102.99	102.82	102.7	101.57
Block size [kB] = 8192 Run = 3												110.34	105.5	104.09	103.3	102.96	102.83	102.69	101.56
Block size [kB] = 8192 Run = 4												110.17	105.5	104.02	103.38	102.95	102.85	102.75	101.53
Block size [kB] = 8192 Run = 5												110.33	105.55	104.09	103.35	102.97	102.83	102.76	101.43
Block size [kB] = 16384 Run = 1													110.96	108.52	107.75	107.38	107.21	107.1	106.44
Block size [kB] = 16384 Run = 2													110.93	108.42	107.7	107.4	107.17	107.11	106.46
Block size [kB] = 16384 Run = 3													110.94	108.49	107.72	107.36	107.2	107.12	106.45
