# frewrite throughput for any bs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run = 1	13.66												
File size [kB] = 4 Run = 2	13.11												
File size [kB] = 4 Run = 3	15.82												
File size [kB] = 4 Run = 4	16.29												
File size [kB] = 4 Run = 5	10.88												
File size [kB] = 8 Run = 1	23.53	25.29											
File size [kB] = 8 Run = 2	40.92	23.59											
File size [kB] = 8 Run = 3	26.3	21.76											
File size [kB] = 8 Run = 4	31.63	25.6											
File size [kB] = 8 Run = 5	36.83	31.51											
File size [kB] = 16 Run = 1	20.62	52.27	55.41										
File size [kB] = 16 Run = 2	21.22	52.82	59.86										
File size [kB] = 16 Run = 3	21.76	47.36	50.54										
File size [kB] = 16 Run = 4	18.56	46.92	41.02										
File size [kB] = 16 Run = 5	21.47	42.67	43.67										
File size [kB] = 32 Run = 1	19.82	39.01	98.56	118.75									
File size [kB] = 32 Run = 2	24.55	39.35	103.47	92.19									
File size [kB] = 32 Run = 3	23.89	43.03	117.05	118.85									
File size [kB] = 32 Run = 4	15.81	46.5	82.65	80.97									
File size [kB] = 32 Run = 5	27.15	35.63	96.46	101.86									
File size [kB] = 64 Run = 1	39.46	58.62	93.26	189.3	169.91								
File size [kB] = 64 Run = 2	37.54	55.55	77.06	183.86	152.78								
File size [kB] = 64 Run = 3	17.66	35.33	73.08	168.06	204.35								
File size [kB] = 64 Run = 4	48.34	55.02	93.3	180.69	182.2								
File size [kB] = 64 Run = 5	34.4	52.75	74.67	191.79	172.14								
File size [kB] = 128 Run = 1	37.25	80.54	96.9	139.82	350.04	317.98							
File size [kB] = 128 Run = 2	38.12	73.19	115.54	152.06	354.06	272.95							
File size [kB] = 128 Run = 3	45.82	70.42	92.86	165.35	352.15	327.92							
File size [kB] = 128 Run = 4	41.0	74.19	85.68	137.69	329.78	331.66							
File size [kB] = 128 Run = 5	41.95	73.19	73.92	127.69	452.83	306.46							
File size [kB] = 256 Run = 1	44.25	76.68	96.37	140.38	210.44	606.88	425.94						
File size [kB] = 256 Run = 2	44.53	75.92	82.7	140.62	268.19	641.01	440.98						
File size [kB] = 256 Run = 3	45.86	73.59	80.39	149.69	234.12	686.78	401.32						
File size [kB] = 256 Run = 4	45.94	73.7	90.58	151.88	237.19	525.39	378.16						
File size [kB] = 256 Run = 5	45.45	75.08	107.99	129.39	273.51	636.35	433.33						
File size [kB] = 512 Run = 1	38.24	74.34	119.48	147.45	230.64	449.57	743.99	481.68					
File size [kB] = 512 Run = 2	44.19	78.04	93.7	116.79	222.8	383.4	733.32	471.29					
File size [kB] = 512 Run = 3	48.25	71.16	78.62	170.42	224.8	472.99	746.37	502.46					
File size [kB] = 512 Run = 4	46.77	74.04	90.91	192.31	269.08	512.27	786.1	452.97					
File size [kB] = 512 Run = 5	37.44	76.84	108.77	120.45	201.79	415.29	805.11	536.38					
File size [kB] = 1024 Run = 1	49.24	76.8	123.29	149.83	192.23	370.23	548.79	953.08	464.29				
File size [kB] = 1024 Run = 2	46.37	79.11	89.01	162.16	240.1	343.52	485.41	868.78	542.89				
File size [kB] = 1024 Run = 3	48.87	81.47	122.35	139.94	207.09	377.23	489.71	920.85	472.55				
File size [kB] = 1024 Run = 4	49.11	85.38	94.32	160.9	175.75	332.33	616.19	1025.55	498.74				
File size [kB] = 1024 Run = 5	49.16	84.65	122.43	135.91	209.2	363.75	501.0	856.19	411.17				
File size [kB] = 2048 Run = 1	44.73	63.36	70.52	65.41	74.67	77.37	87.35	136.25	810.98	71.23			
File size [kB] = 2048 Run = 2	47.72	70.41	70.76	68.77	72.92	86.07	93.4	142.32	881.08	70.72			
File size [kB] = 2048 Run = 3	49.98	62.25	68.35	68.71	73.75	80.11	97.43	142.51	889.3	68.44			
File size [kB] = 2048 Run = 4	36.8	68.92	69.5	68.02	79.82	79.42	92.39	154.28	898.44	72.58			
File size [kB] = 2048 Run = 5	45.34	69.45	69.35	68.77	74.75	79.42	91.94	130.75	903.38	74.26			
File size [kB] = 4096 Run = 1	46.98	47.1	48.05	49.5	50.07	52.03	48.7	55.25	68.83	137.43	44.28		
File size [kB] = 4096 Run = 2	46.75	48.06	48.95	48.43	50.3	50.61	53.65	57.46	71.59	138.13	45.72		
File size [kB] = 4096 Run = 3	43.17	48.19	48.62	47.31	51.15	50.7	53.31	57.82	71.75	143.97	46.93		
File size [kB] = 4096 Run = 4	36.58	47.57	47.12	47.71	49.62	51.19	53.24	58.41	71.25	140.83	46.04		
File size [kB] = 4096 Run = 5	46.87	47.33	48.89	48.57	48.96	50.39	54.63	58.38	71.25	134.49	47.19		
File size [kB] = 8192 Run = 1	36.65	39.7	39.3	39.34	41.22	41.92	42.14	42.79	46.02	55.35	92.17	40.02	
File size [kB] = 8192 Run = 2	41.03	40.63	40.85	39.35	40.47	41.43	42.26	43.95	45.76	55.04	85.44	39.59	
File size [kB] = 8192 Run = 3	40.12	39.91	39.29	39.98	40.0	40.41	41.21	42.82	45.65	53.95	83.13	39.62	
File size [kB] = 8192 Run = 4	39.38	39.06	41.08	39.36	40.36	41.21	42.28	43.95	48.0	55.71	88.03	40.91	
File size [kB] = 8192 Run = 5	36.46	39.8	40.05	40.31	40.44	40.63	41.2	42.63	45.89	54.8	83.59	39.92	
File size [kB] = 16384 Run = 1	36.39	38.62	38.24	38.24	38.85	39.05	38.94	40.02	40.97	44.08	51.45	78.73	38.53
File size [kB] = 16384 Run = 2	38.41	38.78	38.67	38.34	39.03	38.79	39.87	40.39	41.3	44.26	51.45	81.58	39.33
File size [kB] = 16384 Run = 3	38.33	38.31	38.66	38.41	38.78	39.1	39.16	40.04	41.29	44.83	53.6	83.22	39.2
File size [kB] = 16384 Run = 4	38.42	38.49	38.57	38.34	38.61	38.91	39.4	39.79	40.92	44.3	51.68	82.78	38.46
File size [kB] = 16384 Run = 5	38.09	38.38	38.51	38.36	38.76	38.88	39.01	39.82	41.24	44.29	51.76	79.28	38.36
File size [kB] = 32768 Run = 1					37.95	37.96	38.03	38.36	39.01	40.3	43.42	50.31	76.26
