# fwrite throughput for any fs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576
Block size [kB] = 4 Run = 1	15.76	22.77	22.1	26.73	32.95	42.1	48.06	37.47	49.61	46.9	45.16	40.06	35.86						
Block size [kB] = 4 Run = 2	17.29	37.37	20.27	34.41	37.56	41.92	40.28	43.54	45.67	44.62	46.74	40.89	38.93						
Block size [kB] = 4 Run = 3	17.29	26.05	17.56	17.58	30.46	40.37	45.36	46.03	44.35	47.81	43.9	40.38	38.68						
Block size [kB] = 4 Run = 4	17.05	36.66	23.36	17.4	36.15	44.23	46.17	45.63	47.54	35.56	36.51	40.56	38.34						
Block size [kB] = 4 Run = 5	10.34	37.93	17.58	21.33	33.1	43.86	44.55	45.53	47.74	48.29	47.5	35.95	38.15						
Block size [kB] = 8 Run = 1		29.58	61.78	40.63	62.49	63.32	77.78	81.67	79.38	69.27	46.99	40.92	38.2						
Block size [kB] = 8 Run = 2		22.92	62.97	42.68	58.36	62.43	81.41	78.42	78.35	68.6	46.93	39.18	38.98						
Block size [kB] = 8 Run = 3		29.13	63.21	42.75	42.81	75.71	72.3	79.39	82.69	58.0	47.0	41.27	38.34						
Block size [kB] = 8 Run = 4		43.41	54.62	44.58	41.39	64.33	76.36	82.25	83.74	68.3	48.47	40.51	38.39						
Block size [kB] = 8 Run = 5		31.76	73.32	33.78	43.74	46.45	69.5	80.63	82.02	66.05	47.09	39.39	38.47						
Block size [kB] = 16 Run = 1			72.03	134.74	95.57	117.03	76.19	127.16	130.09	70.37	47.34	39.76	38.51						
Block size [kB] = 16 Run = 2			68.49	116.12	69.43	79.97	81.81	114.68	83.02	67.99	47.77	40.65	38.83						
Block size [kB] = 16 Run = 3			42.2	138.29	62.25	84.46	97.73	135.43	131.82	70.86	48.12	40.67	38.99						
Block size [kB] = 16 Run = 4			71.95	160.27	83.68	84.87	97.88	105.11	101.93	72.28	47.22	39.32	38.37						
Block size [kB] = 16 Run = 5			46.78	103.79	70.95	87.66	109.26	109.36	123.81	72.72	48.39	39.78	38.53						
Block size [kB] = 32 Run = 1				158.72	193.49	140.45	134.99	118.43	186.46	64.38	48.76	39.29	38.38						
Block size [kB] = 32 Run = 2				121.61	236.63	150.06	154.71	131.92	179.34	69.16	48.72	39.31	38.92						
Block size [kB] = 32 Run = 3				140.66	178.11	136.79	136.23	141.73	177.77	68.76	48.82	40.05	38.47						
Block size [kB] = 32 Run = 4				92.77	196.54	149.68	140.6	191.07	188.43	69.01	48.7	39.33	38.32						
Block size [kB] = 32 Run = 5				103.47	226.41	169.85	183.68	122.94	148.92	68.84	47.94	39.29	38.26						
Block size [kB] = 64 Run = 1					179.57	488.25	248.78	253.44	206.62	73.16	47.75	41.19	38.45	38.2	37.6	33.63	37.38	37.28	37.26
Block size [kB] = 64 Run = 2					162.84	353.1	273.51	213.67	241.94	74.53	50.28	39.95	38.96	37.91	37.53	37.46	37.31	37.28	37.27
Block size [kB] = 64 Run = 3					275.13	366.68	238.32	239.82	208.16	77.82	50.29	39.79	38.91	37.78	37.54	35.46	37.29	36.74	36.99
Block size [kB] = 64 Run = 4					224.86	425.28	208.14	201.29	217.2	78.03	49.66	39.82	38.49	38.05	37.58	37.44	37.32	37.27	37.0
Block size [kB] = 64 Run = 5					243.22	369.79	350.6	193.57	213.94	81.43	50.94	40.8	38.57	37.95	37.54	37.37	37.3	36.76	37.25
Block size [kB] = 128 Run = 1						459.58	637.51	478.5	361.27	77.49	51.98	41.69	38.63	37.94	37.55	37.42	37.33	36.3	36.74
Block size [kB] = 128 Run = 2						326.29	615.79	396.15	382.11	79.97	52.33	41.41	39.0	37.93	37.71	37.39	37.33	36.76	37.26
Block size [kB] = 128 Run = 3						303.27	562.9	502.58	330.68	80.11	52.24	40.4	39.04	37.93	37.64	37.48	37.35	37.28	36.49
Block size [kB] = 128 Run = 4						314.74	490.26	401.0	336.57	83.06	50.74	41.41	38.89	38.22	37.54	31.01	37.31	36.78	37.26
Block size [kB] = 128 Run = 5						354.06	632.89	457.81	408.85	79.37	51.15	40.43	39.75	38.05	37.55	37.41	37.33	37.27	36.99
Block size [kB] = 256 Run = 1							418.12	837.58	594.19	94.02	52.06	42.77	39.35	38.05	37.66	37.45	37.35	37.29	36.75
Block size [kB] = 256 Run = 2							450.26	665.8	530.53	93.79	53.42	41.64	39.11	37.99	37.82	37.52	37.4	36.8	37.01
Block size [kB] = 256 Run = 3							393.79	778.8	592.43	93.09	53.39	41.56	39.75	38.08	37.62	37.44	37.35	36.81	37.27
Block size [kB] = 256 Run = 4							428.72	704.26	492.13	95.35	53.41	42.14	39.38	38.03	37.66	37.55	37.34	36.78	36.98
Block size [kB] = 256 Run = 5							446.43	840.61	590.68	94.63	54.01	40.86	39.28	38.06	38.0	37.45	37.34	37.29	37.26
Block size [kB] = 512 Run = 1								459.62	760.42	129.5	54.78	42.79	39.97	38.39	33.78	37.51	37.37	37.3	35.57
