# iread throughput for any fs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576
Block size [kB] = 4 Run = 1	6.1	10.87	23.25	13.71	21.81	34.57	43.19	48.79	46.23	39.62	38.79	39.17	38.72						
Block size [kB] = 4 Run = 2	5.72	12.24	23.5	14.72	25.63	23.48	37.5	40.1	40.58	39.37	38.85	38.81	39.12						
Block size [kB] = 4 Run = 3	5.38	11.75	23.82	13.96	23.94	21.69	36.33	40.97	39.6	39.62	39.1	39.2	38.86						
Block size [kB] = 4 Run = 4	6.24	12.5	21.82	13.22	24.19	23.27	35.62	40.03	40.07	38.52	38.87	38.75	38.96						
Block size [kB] = 4 Run = 5	6.1	12.68	25.49	14.35	24.7	22.98	37.08	41.33	40.44	39.65	39.4	39.07	38.74						
Block size [kB] = 8 Run = 1		10.91	23.25	15.07	25.2	31.92	43.44	49.91	46.3	39.42	39.25	38.42	38.68						
Block size [kB] = 8 Run = 2		12.11	29.42	14.15	24.18	21.63	36.8	41.35	40.02	39.25	39.16	39.05	38.75						
Block size [kB] = 8 Run = 3		12.87	23.11	14.08	25.1	22.67	36.93	39.54	38.76	39.82	38.81	39.37	38.62						
Block size [kB] = 8 Run = 4		12.03	24.15	15.32	23.81	21.77	36.98	39.64	38.08	39.17	38.82	39.04	38.84						
Block size [kB] = 8 Run = 5		11.24	25.91	13.31	23.54	22.1	38.0	42.23	40.41	38.81	38.68	39.12	38.93						
Block size [kB] = 16 Run = 1			23.63	48.6	22.73	39.47	53.5	67.13	48.63	42.61	39.9	39.29	39.3						
Block size [kB] = 16 Run = 2			24.16	49.2	25.75	40.03	40.6	44.04	41.94	40.3	40.32	39.55	38.85						
Block size [kB] = 16 Run = 3			25.24	49.37	21.35	43.0	40.8	46.17	42.34	40.41	39.38	39.54	39.05						
Block size [kB] = 16 Run = 4			24.34	48.16	25.35	37.98	40.85	46.56	42.59	40.57	40.27	38.89	39.23						
Block size [kB] = 16 Run = 5			20.78	49.2	23.59	40.27	39.61	47.36	42.1	40.03	39.53	39.13	39.4						
Block size [kB] = 32 Run = 1				50.65	86.21	37.4	56.87	57.79	48.64	40.5	40.08	39.75	39.21						
Block size [kB] = 32 Run = 2				47.56	101.97	40.22	58.4	52.32	44.68	41.26	40.33	39.31	39.44						
Block size [kB] = 32 Run = 3				44.45	85.17	41.57	58.29	51.7	43.88	41.21	39.81	39.45	39.06						
Block size [kB] = 32 Run = 4				49.6	103.46	41.78	56.57	51.37	45.2	41.33	40.29	39.23	39.34						
Block size [kB] = 32 Run = 5				50.4	107.93	40.04	56.22	50.91	44.42	40.98	39.79	39.72	39.08						
Block size [kB] = 64 Run = 1					88.66	172.64	75.37	65.4	48.0	42.53	40.49	40.08	39.85	39.42	39.33	39.31	39.28	39.04	27.69
Block size [kB] = 64 Run = 2					86.92	202.6	75.55	67.55	46.1	42.89	40.44	39.43	39.15	39.36	38.96	39.22	39.28	39.07	27.9
Block size [kB] = 64 Run = 3					82.88	180.93	77.38	64.94	46.62	43.14	40.48	39.66	39.16	39.32	38.88	38.87	38.84	39.26	35.11
Block size [kB] = 64 Run = 4					89.05	214.36	78.1	67.92	46.78	42.18	40.42	39.78	39.58	39.0	38.96	39.35	38.87	39.25	27.75
Block size [kB] = 64 Run = 5					96.45	207.65	76.32	65.02	47.18	42.09	40.85	39.82	39.43	39.37	39.31	38.89	39.26	39.26	27.89
Block size [kB] = 128 Run = 1						176.06	220.62	77.34	51.75	42.56	40.93	40.61	39.65	39.49	39.33	39.04	39.35	39.0	35.24
Block size [kB] = 128 Run = 2						181.93	210.23	116.74	51.55	42.2	41.3	39.88	39.42	39.51	38.97	39.36	39.23	39.18	27.6
Block size [kB] = 128 Run = 3						193.48	208.85	77.47	51.62	42.28	40.55	39.93	39.65	39.05	39.46	39.08	39.04	39.26	27.92
Block size [kB] = 128 Run = 4						186.33	223.21	76.96	51.65	42.7	40.9	39.61	39.35	39.54	39.0	38.95	39.37	39.22	27.57
Block size [kB] = 128 Run = 5						164.88	216.48	76.41	52.43	43.05	40.57	40.09	39.32	39.05	38.94	39.18	39.16	39.39	27.39
Block size [kB] = 256 Run = 1							428.02	122.28	55.06	45.55	42.03	40.95	39.99	39.39	39.1	39.42	39.4	39.36	38.68
Block size [kB] = 256 Run = 2							388.25	124.2	55.12	47.09	41.79	40.9	40.11	39.38	39.39	39.35	39.07	39.13	38.49
