# iwrite throughput for any bs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run = 1	11.03												
File size [kB] = 4 Run = 2	9.84												
File size [kB] = 4 Run = 3	10.12												
File size [kB] = 4 Run = 4	10.28												
File size [kB] = 4 Run = 5	9.22												
File size [kB] = 8 Run = 1	11.1	24.33											
File size [kB] = 8 Run = 2	10.88	23.61											
File size [kB] = 8 Run = 3	11.75	40.46											
File size [kB] = 8 Run = 4	13.0	21.46											
File size [kB] = 8 Run = 5	11.18	21.41											
File size [kB] = 16 Run = 1	12.66	26.12	49.62										
File size [kB] = 16 Run = 2	14.08	22.95	42.12										
File size [kB] = 16 Run = 3	13.32	22.35	43.87										
File size [kB] = 16 Run = 4	15.94	24.61	44.53										
File size [kB] = 16 Run = 5	14.94	24.19	44.89										
File size [kB] = 32 Run = 1	15.9	26.48	53.13	88.75									
File size [kB] = 32 Run = 2	23.91	29.26	44.13	103.79									
File size [kB] = 32 Run = 3	19.48	28.3	45.48	84.46									
File size [kB] = 32 Run = 4	19.83	28.38	47.86	82.24									
File size [kB] = 32 Run = 5	19.76	28.8	43.82	84.46									
File size [kB] = 64 Run = 1	29.32	45.69	47.49	99.83	200.29								
File size [kB] = 64 Run = 2	25.83	40.24	52.29	92.73	157.46								
File size [kB] = 64 Run = 3	27.07	39.39	51.83	94.27	157.08								
File size [kB] = 64 Run = 4	26.92	49.02	67.57	120.65	164.89								
File size [kB] = 64 Run = 5	25.09	38.01	50.85	97.21	167.1								
File size [kB] = 128 Run = 1	40.2	66.17	72.47	96.45	162.78	420.84							
File size [kB] = 128 Run = 2	38.93	59.38	64.9	100.96	158.64	287.94							
File size [kB] = 128 Run = 3	39.04	57.74	82.67	122.19	200.97	280.85							
File size [kB] = 128 Run = 4	37.74	60.18	105.75	100.33	169.19	283.43							
File size [kB] = 128 Run = 5	36.15	58.74	73.06	112.2	167.3	286.68							
File size [kB] = 256 Run = 1	38.44	71.26	110.86	125.33	203.06	315.28	399.94						
File size [kB] = 256 Run = 2	43.36	64.7	91.81	119.1	197.78	312.09	425.76						
File size [kB] = 256 Run = 3	41.23	61.53	100.08	128.66	217.74	300.81	387.53						
File size [kB] = 256 Run = 4	41.28	66.28	94.91	114.84	196.08	293.08	387.53						
File size [kB] = 256 Run = 5	45.41	55.27	105.44	123.7	201.15	336.0	336.43						
File size [kB] = 512 Run = 1	46.31	63.74	101.03	109.91	193.88	351.35	453.26	466.47					
File size [kB] = 512 Run = 2	47.69	74.21	67.68	120.54	207.13	312.69	378.77	431.09					
File size [kB] = 512 Run = 3	47.65	75.86	115.42	132.41	199.28	278.7	454.14	394.96					
File size [kB] = 512 Run = 4	47.92	75.75	89.99	122.25	218.53	348.2	384.67	430.29					
File size [kB] = 512 Run = 5	44.49	65.95	110.87	120.28	211.94	303.77	418.78	523.53					
File size [kB] = 1024 Run = 1	35.75	83.8	123.41	157.82	221.23	276.09	338.97	427.34	498.5				
File size [kB] = 1024 Run = 2	48.49	78.88	124.41	121.3	227.74	309.62	360.87	416.81	413.73				
File size [kB] = 1024 Run = 3	48.84	82.11	117.08	161.5	174.73	305.8	372.83	409.49	461.07				
File size [kB] = 1024 Run = 4	44.73	82.27	94.57	131.33	197.08	292.9	367.93	405.21	458.05				
File size [kB] = 1024 Run = 5	48.43	81.91	122.25	118.37	202.06	284.25	344.11	368.19	411.33				
File size [kB] = 2048 Run = 1	30.8	29.78	30.73	30.01	30.34	32.81	32.97	32.31	31.67	35.75			
File size [kB] = 2048 Run = 2	31.98	30.23	29.86	30.69	30.3	32.76	32.57	32.38	31.97	32.37			
File size [kB] = 2048 Run = 3	31.7	30.62	30.3	30.63	29.96	33.06	32.11	31.0	32.09	32.06			
File size [kB] = 2048 Run = 4	32.21	30.0	31.88	30.36	30.3	34.39	32.6	33.03	31.77	31.98			
File size [kB] = 2048 Run = 5	30.23	31.63	30.76	29.88	31.16	34.08	31.47	33.89	35.39	32.18			
File size [kB] = 4096 Run = 1	27.67	27.32	27.86	27.75	27.15	28.9	28.17	28.35	28.37	28.92	28.12		
File size [kB] = 4096 Run = 2	27.41	27.71	27.79	27.5	27.19	29.07	28.54	28.03	28.38	28.58	28.4		
File size [kB] = 4096 Run = 3	27.15	27.96	27.43	28.13	27.85	29.25	28.68	28.1	27.96	28.5	29.32		
