# randwr throughput for any fs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576
Block size [kB] = 4 Run = 1	19.23	11.82	15.13	16.07	16.76	17.34	17.64	16.86	12.96	16.42	17.13	16.71	16.62						
Block size [kB] = 4 Run = 2	11.25	15.82	14.53	20.92	16.9	15.94	16.96	12.09	16.33	15.43	16.21	15.9	16.28						
Block size [kB] = 4 Run = 3	13.07	13.71	16.43	18.31	15.89	15.73	15.62	16.44	16.88	16.15	15.85	15.69	15.62						
Block size [kB] = 4 Run = 4	11.56	11.75	14.39	19.23	16.67	15.77	17.6	16.62	16.05	15.77	16.16	16.59	15.75						
Block size [kB] = 4 Run = 5	15.76	16.88	17.86	14.82	13.61	15.26	16.3	17.71	16.87	12.52	16.39	15.99	16.67						
Block size [kB] = 8 Run = 1		24.96	33.68	29.87	33.48	34.6	33.14	24.3	35.02	30.92	31.08	37.67	37.07						
Block size [kB] = 8 Run = 2		26.3	31.5	36.3	34.25	34.86	36.25	36.75	36.5	36.85	31.91	29.67	30.67						
Block size [kB] = 8 Run = 3		28.72	32.14	38.29	30.18	32.92	29.6	37.41	24.22	32.25	31.8	32.38	30.59						
Block size [kB] = 8 Run = 4		34.57	31.69	36.13	32.17	33.44	33.91	37.55	30.34	37.54	23.61	30.76	35.22						
Block size [kB] = 8 Run = 5		28.11	31.51	29.07	33.16	34.52	24.37	37.43	32.14	37.31	37.83	30.88	31.7						
Block size [kB] = 16 Run = 1			107.82	69.28	80.74	63.88	66.42	62.7	58.18	67.82	47.5	38.48	37.54						
Block size [kB] = 16 Run = 2			70.71	68.67	51.87	74.76	61.21	60.47	70.71	68.46	47.67	40.1	37.89						
Block size [kB] = 16 Run = 3			82.66	53.88	58.14	77.73	61.05	67.47	69.31	49.18	47.11	40.01	38.21						
