# rewrite throughput for any fs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576
Block size [kB] = 4 Run = 1	10.61	11.23	15.64	20.75	41.25	47.1	43.47	48.51	36.66	36.44	46.75	39.96	38.19						
Block size [kB] = 4 Run = 2	11.19	13.66	15.95	25.6	32.97	38.14	41.69	43.42	44.31	46.9	47.34	39.88	38.12						
Block size [kB] = 4 Run = 3	10.88	13.27	13.64	20.81	27.94	44.25	42.79	43.83	48.43	50.24	46.83	40.64	37.79						
Block size [kB] = 4 Run = 4	10.36	15.94	13.72	23.78	32.54	38.99	39.75	46.13	50.02	50.23	46.93	39.88	38.39						
Block size [kB] = 4 Run = 5	12.44	11.29	16.8	24.8	32.95	42.34	48.94	44.65	47.56	36.26	46.88	40.43	38.0						
Block size [kB] = 8 Run = 1		21.12	32.35	36.08	61.45	70.95	67.83	62.17	81.92	67.91	45.47	40.16	38.17						
Block size [kB] = 8 Run = 2		23.19	25.82	35.67	50.12	52.37	68.87	74.01	81.69	63.19	47.84	40.79	39.42						
Block size [kB] = 8 Run = 3		37.72	23.29	31.0	31.6	67.61	47.4	77.53	75.11	65.93	48.25	41.85	38.25						
Block size [kB] = 8 Run = 4		25.54	23.85	31.06	49.02	59.38	72.17	73.85	80.87	66.57	47.48	39.07	38.53						
Block size [kB] = 8 Run = 5		22.13	24.42	36.73	43.31	71.06	59.41	63.65	85.43	66.06	48.24	40.31	38.11						
Block size [kB] = 16 Run = 1			73.32	52.62	92.7	75.17	104.51	91.24	134.64	67.17	48.46	39.16	38.27						
Block size [kB] = 16 Run = 2			43.9	47.2	66.64	80.39	58.32	77.69	136.83	66.92	48.06	39.16	38.35						
Block size [kB] = 16 Run = 3			42.56	51.24	72.18	98.2	86.36	129.46	131.61	66.9	48.87	39.74	38.36						
Block size [kB] = 16 Run = 4			43.9	58.52	57.14	91.04	100.4	95.66	100.62	71.84	48.17	40.58	38.58						
Block size [kB] = 16 Run = 5			42.67	50.91	68.9	95.05	102.75	112.56	109.32	69.01	48.11	39.16	38.4						
Block size [kB] = 32 Run = 1				124.5	98.74	112.3	157.61	112.23	161.03	65.07	47.39	39.98	38.65						
Block size [kB] = 32 Run = 2				82.71	109.88	149.33	109.32	129.54	120.72	66.21	47.7	39.8	38.22						
Block size [kB] = 32 Run = 3				82.65	95.12	110.22	137.74	152.9	174.36	67.1	48.36	39.03	38.21						
Block size [kB] = 32 Run = 4				83.34	109.69	114.88	131.37	139.04	128.93	70.91	47.35	39.14	38.2						
Block size [kB] = 32 Run = 5				83.82	107.18	118.03	114.26	104.14	123.38	67.22	49.17	39.84	38.29						
Block size [kB] = 64 Run = 1					173.63	186.33	218.92	193.11	194.48	64.63	47.73	39.73	38.11	37.69	37.48	37.32	36.34	37.27	37.26
Block size [kB] = 64 Run = 2					159.38	201.97	222.02	172.95	199.56	67.83	47.44	39.02	38.33	37.69	37.62	37.43	37.3	37.26	33.68
Block size [kB] = 64 Run = 3					154.77	187.39	193.65	222.02	201.65	64.46	47.2	39.0	38.61	30.75	37.51	37.41	37.31	37.27	36.73
Block size [kB] = 64 Run = 4					158.99	184.36	218.14	211.33	224.32	66.44	47.78	39.47	39.26	37.74	37.43	37.37	36.34	37.26	37.0
