# striderd throughput for any fs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576
Block size [kB] = 4 Run = 1	4.99	4.8	9.4	19.44	21.92	16.89	17.03	18.17	17.06	15.18	7.61	7.13	7.14						
Block size [kB] = 4 Run = 2	4.86	5.58	10.13	12.43	24.31	10.17	9.11	8.15	8.69	8.13	7.15	6.91	7.24						
Block size [kB] = 4 Run = 3	4.61	5.47	11.1	13.81	23.54	9.71	8.6	8.16	8.08	8.21	7.93	7.47	7.05						
Block size [kB] = 4 Run = 4	5.08	5.3	9.64	18.31	32.02	10.1	9.16	7.84	8.23	8.24	7.53	7.14	7.08						
Block size [kB] = 4 Run = 5	5.09	5.93	10.21	18.52	22.41	10.28	8.47	8.12	8.48	8.42	7.92	7.63	7.05						
Block size [kB] = 8 Run = 1		8.91	9.42	17.9	24.46	47.67	26.0	26.25	21.79	18.17	6.7	6.15	5.33						
Block size [kB] = 8 Run = 2		4.85	10.27	14.24	23.86	40.85	13.45	12.66	8.75	6.98	6.65	6.15	5.32						
Block size [kB] = 8 Run = 3		8.69	10.09	14.52	24.5	52.26	12.66	12.36	8.7	7.04	6.67	6.13	5.31						
Block size [kB] = 8 Run = 4		10.0	9.86	18.42	22.84	48.02	13.09	12.26	8.75	6.98	6.63	6.12	5.31						
Block size [kB] = 8 Run = 5		9.51	9.89	13.03	23.65	37.11	13.83	12.57	8.8	6.93	6.64	6.15	5.31						
Block size [kB] = 16 Run = 1			16.29	15.3	23.85	48.26	92.29	37.5	41.54	43.34	19.53	18.46	18.41						
Block size [kB] = 16 Run = 2			17.04	19.08	34.32	38.91	98.08	22.67	21.04	19.1	19.04	18.63	17.52						
Block size [kB] = 16 Run = 3			19.03	18.29	21.52	40.52	101.09	23.37	20.41	19.34	19.05	18.88	17.43						
Block size [kB] = 16 Run = 4			17.42	19.3	27.78	49.82	95.13	23.43	20.81	19.5	19.2	18.67	18.19						
Block size [kB] = 16 Run = 5			16.89	18.89	23.2	41.64	79.23	23.13	20.53	18.9	18.52	18.46	18.46						
Block size [kB] = 32 Run = 1				29.79	29.21	47.64	93.18	155.57	50.91	56.42	30.2	30.02	29.44						
Block size [kB] = 32 Run = 2				30.31	31.77	46.65	99.29	193.72	39.85	33.42	31.01	29.68	29.54						
Block size [kB] = 32 Run = 3				28.85	28.43	49.7	100.2	150.92	38.61	33.55	30.62	29.86	29.09						
Block size [kB] = 32 Run = 4				27.56	29.22	51.63	99.8	185.18	39.32	33.03	30.63	30.34	29.43						
Block size [kB] = 32 Run = 5				28.69	30.37	39.27	99.09	147.02	40.01	32.61	30.19	29.78	29.95						
Block size [kB] = 64 Run = 1					43.82	46.19	91.8	182.02	297.26	71.66	47.3	44.59	42.6	42.19	40.62	38.18	39.31	39.27	31.28
Block size [kB] = 64 Run = 2					45.49	47.89	93.67	147.31	359.45	59.54	47.93	44.43	41.74	42.48	39.99	39.58	39.68	39.27	30.86
Block size [kB] = 64 Run = 3					44.39	47.14	99.17	184.77	296.02	59.54	48.87	44.31	42.5	41.13	40.43	38.95	39.68	39.32	32.58
Block size [kB] = 64 Run = 4					44.71	50.28	97.13	194.69	363.24	58.26	46.89	45.36	42.8	41.98	40.3	38.74	39.37	38.82	31.27
Block size [kB] = 64 Run = 5					44.36	46.61	95.89	178.07	348.31	59.46	48.38	44.1	43.44	42.08	40.17	40.0	40.06	39.94	30.81
Block size [kB] = 128 Run = 1						63.29	79.98	91.42	181.71	353.67	67.69	57.7	54.76	48.77	48.23	47.98	49.76	49.26	36.16
Block size [kB] = 128 Run = 2						63.45	78.12	92.75	183.08	356.13	68.9	57.69	52.16	50.14	49.4	48.5	49.23	48.67	36.48
