# iozone measured throughput[MB/s] for any FS and any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Operation	iwrite	rewrite	iread	reread	randrd	randwr	bkwdrd	recrewr	striderd	fwrite	frewrite	fread	freread
File size [kB] = 4 Block size [kB] = 4 Run = 1	11.03	10.61	6.1	3906.25	974.91	19.23	4.33	18.77	4.99	15.76	13.66	4.95	1387.8
File size [kB] = 4 Block size [kB] = 4 Run = 2	9.84	11.19	5.72	3906.25	974.91	11.25	4.8	17.75	4.86	17.29	13.11	4.88	1279.43
File size [kB] = 4 Block size [kB] = 4 Run = 3	10.12	10.88	5.38	3906.25	1279.43	13.07	4.68	14.41	4.61	17.29	15.82	5.15	1279.43
File size [kB] = 4 Block size [kB] = 4 Run = 4	10.28	10.36	6.24	3906.25	974.91	11.56	4.62	14.51	5.08	17.05	16.29	5.36	2098.98
File size [kB] = 4 Block size [kB] = 4 Run = 5	9.22	12.44	6.1	3906.25	974.91	15.76	4.39	11.43	5.09	10.34	10.88	4.98	1279.43
File size [kB] = 8 Block size [kB] = 4 Run = 1	11.1	11.23	10.87	3721.23	1574.95	11.82	2.93	11.46	4.8	22.77	23.53	4.66	1574.95
File size [kB] = 8 Block size [kB] = 4 Run = 2	10.88	13.66	12.24	4197.96	1949.81	15.82	3.62	13.22	5.58	37.37	40.92	5.89	1949.81
File size [kB] = 8 Block size [kB] = 4 Run = 3	11.75	13.27	11.75	4197.96	1574.95	13.71	3.57	16.24	5.47	26.05	26.3	5.36	1949.81
File size [kB] = 8 Block size [kB] = 4 Run = 4	13.0	15.94	12.5	3721.23	1574.95	11.75	3.55	17.87	5.3	36.66	31.63	5.53	1949.81
File size [kB] = 8 Block size [kB] = 4 Run = 5	11.18	11.29	12.68	4197.96	1949.81	16.88	3.71	15.26	5.93	37.93	36.83	5.33	1949.81
File size [kB] = 8 Block size [kB] = 8 Run = 1	24.33	21.12	10.91	7812.5	1949.81	24.96	8.79	27.42	8.91	29.58	25.29	8.35	1502.73
File size [kB] = 8 Block size [kB] = 8 Run = 2	23.61	23.19	12.11	7812.5	2073.18	26.3	5.43	22.84	4.85	22.92	23.59	9.02	1574.95
File size [kB] = 8 Block size [kB] = 8 Run = 3	40.46	37.72	12.87	6818.58	2558.86	28.72	9.25	28.72	8.69	29.13	21.76	8.91	1949.81
File size [kB] = 8 Block size [kB] = 8 Run = 4	21.46	25.54	12.03	7812.5	2558.86	34.57	9.97	25.79	10.0	43.41	25.6	10.81	2558.86
File size [kB] = 8 Block size [kB] = 8 Run = 5	21.41	22.13	11.24	7812.5	1949.81	28.11	9.0	37.93	9.51	31.76	31.51	9.16	2558.86
File size [kB] = 16 Block size [kB] = 4 Run = 1	12.66	15.64	23.25	3899.63	2539.59	15.13	3.69	15.21	9.4	22.1	20.62	9.6	2641.97
File size [kB] = 16 Block size [kB] = 4 Run = 2	14.08	15.95	23.5	3899.63	2539.59	14.53	2.62	15.62	10.13	20.27	21.22	10.06	3005.45
