# iozone measured throughput[MB/s] for any FS and any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Operation	iwrite	rewrite	iread	reread	randrd	randwr	bkwdrd	recrewr	striderd	fwrite	frewrite	fread	freread
File size [kB] = 4 Block size [kB] = 4 Run = 1	130.23	322.48	2098.98	3906.25	1860.61	549.69	357.68	787.48	484.65	391.91	328.96	382.75	1279.43
File size [kB] = 4 Block size [kB] = 4 Run = 2	122.45	350.04	3409.29	3409.29	1860.61	549.69	382.75	484.65	568.78	391.91	328.96	391.91	1279.43
File size [kB] = 4 Block size [kB] = 4 Run = 3	126.22	328.96	3409.29	3906.25	2098.98	660.49	391.91	549.69	484.65	186.59	328.96	391.91	974.91
File size [kB] = 4 Block size [kB] = 4 Run = 4	126.22	298.95	1860.61	3906.25	1279.43	634.9	350.04	549.69	484.65	391.91	328.96	433.37	1279.43
File size [kB] = 4 Block size [kB] = 4 Run = 5	130.23	322.48	1860.61	3906.25	1860.61	568.78	391.91	549.69	499.42	433.37	328.96	391.91	1387.8
File size [kB] = 8 Block size [kB] = 4 Run = 1	229.46	462.79	4197.96	3721.23	2558.86	783.82	657.92	783.82	998.85	866.75	657.92	969.3	1502.73
File size [kB] = 8 Block size [kB] = 4 Run = 2	236.07	432.26	3721.23	6818.58	2558.86	866.75	644.97	783.82	866.75	969.3	609.01	969.3	1949.81
File size [kB] = 8 Block size [kB] = 4 Run = 3	244.89	432.26	3721.23	3721.23	2775.61	783.82	597.89	866.75	969.3	969.3	597.89	866.75	1574.95
File size [kB] = 8 Block size [kB] = 4 Run = 4	217.29	438.04	3721.23	7812.5	1949.81	783.82	609.01	866.75	866.75	969.3	644.97	969.3	1949.81
File size [kB] = 8 Block size [kB] = 4 Run = 5	236.07	462.79	4197.96	3721.23	2558.86	866.75	597.89	783.82	866.75	783.82	644.97	998.85	1949.81
File size [kB] = 8 Block size [kB] = 8 Run = 1	195.27	557.22	6818.58	7812.5	3721.23	998.85	644.97	969.3	866.75	866.75	557.22	969.3	1949.81
File size [kB] = 8 Block size [kB] = 8 Run = 2	301.16	557.22	7812.5	6818.58	2775.61	969.3	700.08	969.3	969.3	866.75	521.74	969.3	1949.81
File size [kB] = 8 Block size [kB] = 8 Run = 3	290.48	521.74	7812.5	7812.5	3721.23	1099.39	715.37	969.3	866.75	866.75	597.89	969.3	1949.81
File size [kB] = 8 Block size [kB] = 8 Run = 4	290.48	597.89	6818.58	6818.58	4197.96	969.3	657.92	998.85	1137.55	715.37	597.89	969.3	1949.81
File size [kB] = 8 Block size [kB] = 8 Run = 5	301.16	609.01	6818.58	7812.5	3721.23	969.3	657.92	969.3	866.75	866.75	557.22	998.85	1949.81
File size [kB] = 16 Block size [kB] = 4 Run = 1	312.36	602.32	3899.63	3899.63	3149.91	556.31	1043.47	1043.47	1430.74	925.58	684.05	1567.63	2198.77
File size [kB] = 16 Block size [kB] = 4 Run = 2	299.52	625.31	3899.63	3899.63	3005.45	364.48	1027.12	1114.45	1567.63	1114.45	713.86	1567.63	2641.97
File size [kB] = 16 Block size [kB] = 4 Run = 3	243.8	596.84	3899.63	3899.63	3149.91	1043.47	1043.47	1114.45	1400.17	925.58	676.98	1400.17	2198.77
File size [kB] = 16 Block size [kB] = 4 Run = 4	306.52	602.32	3149.91	3899.63	3149.91	980.99	966.53	1043.47	1567.63	925.58	684.05	1430.74	2198.77
File size [kB] = 16 Block size [kB] = 4 Run = 5	300.89	575.86	3149.91	5551.22	3005.45	1043.47	1043.47	1114.45	1430.74	912.68	706.16	1400.17	2641.97
File size [kB] = 16 Block size [kB] = 8 Run = 1	294.14	746.38	5551.22	5117.72	3899.63	1315.83	1114.45	1430.74	1430.74	1567.63	1114.45	1567.63	2641.97
File size [kB] = 16 Block size [kB] = 8 Run = 2	390.55	746.38	5117.72	5117.72	3899.63	1289.93	1114.45	1430.74	1567.63	1567.63	1114.45	1315.83	2641.97
File size [kB] = 16 Block size [kB] = 8 Run = 3	372.77	782.0	5117.72	8395.92	4146.35	1430.74	1114.45	1315.83	1400.17	1430.74	1133.73	1567.63	2539.59
File size [kB] = 16 Block size [kB] = 8 Run = 4	390.55	782.0	3899.63	7442.46	3899.63	1289.93	1043.47	1315.83	1430.74	1733.5	1114.45	1567.63	2539.59
File size [kB] = 16 Block size [kB] = 8 Run = 5	390.55	782.0	5117.72	7442.46	3899.63	1289.93	1043.47	1430.74	1567.63	1567.63	1114.45	1567.63	2539.59
File size [kB] = 16 Block size [kB] = 16 Run = 1	434.57	538.04	8395.92	5117.72	3899.63	1567.63	1195.79	1567.63	1531.01	1400.17	980.99	1531.01	3149.91
File size [kB] = 16 Block size [kB] = 16 Run = 2	434.57	912.68	3899.63	5117.72	3899.63	1400.17	1114.45	1567.63	1430.74	1315.83	925.58	1567.63	3149.91
File size [kB] = 16 Block size [kB] = 16 Run = 3	462.15	912.68	7442.46	5117.72	3899.63	1733.5	1114.45	1567.63	1400.17	1289.93	925.58	1733.5	3149.91
File size [kB] = 16 Block size [kB] = 16 Run = 4	602.32	925.58	5117.72	5551.22	3899.63	1733.5	1195.79	1567.63	1567.63	1289.93	966.53	1780.59	2641.97
File size [kB] = 16 Block size [kB] = 16 Run = 5	446.41	966.53	5551.22	5551.22	3899.63	1733.5	1114.45	1733.5	1567.63	1315.83	912.68	1567.63	2641.97
File size [kB] = 32 Block size [kB] = 4 Run = 1	528.93	741.33	3995.4	3877.22	3466.99	1161.93	1545.56	1300.24	2228.9	1076.07	892.83	2086.94	2861.48
File size [kB] = 32 Block size [kB] = 4 Run = 2	355.4	724.93	3466.99	1729.05	3466.99	1250.62	1492.75	1300.24	2228.9	1076.07	892.83	1933.05	2800.34
File size [kB] = 32 Block size [kB] = 4 Run = 3	355.4	745.55	3877.22	3877.22	3466.99	1151.72	1564.0	1300.24	2391.58	1076.07	892.83	2054.24	2800.34
File size [kB] = 32 Block size [kB] = 4 Run = 4	416.36	745.55	3995.4	3877.22	3466.99	1193.67	1663.23	1300.24	2436.02	1204.64	869.14	2228.9	2861.48
File size [kB] = 32 Block size [kB] = 4 Run = 5	339.74	728.96	3877.22	3877.22	3466.99	1193.67	1492.75	1313.27	2228.9	1161.93	869.14	2086.94	2800.34
File size [kB] = 32 Block size [kB] = 8 Run = 1	480.46	972.3	4397.55	4550.21	4397.55	1663.23	1729.05	1851.15	2391.58	1642.39	1313.27	2228.9	3466.99
File size [kB] = 32 Block size [kB] = 8 Run = 2	460.21	972.3	4550.21	5079.19	3995.4	1642.39	1729.05	1825.37	2391.58	1564.0	1122.14	2228.9	3466.99
File size [kB] = 32 Block size [kB] = 8 Run = 3	466.77	979.57	4550.21	5079.19	4550.21	1642.39	1642.39	1825.37	2436.02	1642.39	1151.72	2228.9	3466.99
File size [kB] = 32 Block size [kB] = 8 Run = 4	466.77	979.57	4397.55	4550.21	4397.55	1564.0	1642.39	1825.37	2228.9	1642.39	1112.61	2228.9	3466.99
File size [kB] = 32 Block size [kB] = 8 Run = 5	480.46	1002.04	4550.21	5079.19	3995.4	1642.39	1729.05	1825.37	2579.87	1642.39	1151.72	2228.9	3466.99
File size [kB] = 32 Block size [kB] = 16 Run = 1	577.9	1161.93	4550.21	5079.19	5283.95	1961.99	1642.39	2086.94	2228.9	1642.39	1642.39	2228.9	3466.99
File size [kB] = 32 Block size [kB] = 16 Run = 2	567.89	1161.93	4397.55	5079.19	4550.21	1961.99	1642.39	2086.94	2086.94	1642.39	1642.39	2228.9	3466.99
File size [kB] = 32 Block size [kB] = 16 Run = 3	567.89	1151.72	4397.55	5079.19	5283.95	1961.99	1729.05	1933.05	2228.9	1642.39	1642.39	2228.9	3466.99
File size [kB] = 32 Block size [kB] = 16 Run = 4	539.82	1151.72	5079.19	5283.95	4397.55	2086.94	1729.05	2086.94	2228.9	1663.23	1752.17	2228.9	3466.99
File size [kB] = 32 Block size [kB] = 16 Run = 5	528.93	1151.72	4550.21	5079.19	5283.95	1961.99	1729.05	2086.94	2228.9	1642.39	1642.39	2228.9	3135.27
File size [kB] = 32 Block size [kB] = 32 Run = 1	649.5	1353.97	5079.19	5283.95	5283.95	2228.9	1752.17	2086.94	2228.9	2086.94	1353.97	2436.02	3877.22
File size [kB] = 32 Block size [kB] = 32 Run = 2	846.69	1368.1	5283.95	4397.55	4397.55	2391.58	1729.05	2228.9	2086.94	1961.99	1353.97	2228.9	3466.99
