# ALL throughput for any fs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576
Block size [kB] = 4 Run = 1	46.57	33.82	25.24	52.69	53.64	74.58	80.7	83.7	87.68	111.66	98.74	90.43	103.64						
Block size [kB] = 4 Run = 2	17.68	29.39	51.09	46.71	58.69	56.15	81.65	88.73	92.65	95.14	102.94	108.15	103.13						
Block size [kB] = 4 Run = 3	17.51	26.11	24.96	41.44	50.94	64.86	83.03	94.88	108.82	97.1	106.05	96.58	114.84						
Block size [kB] = 4 Run = 4	17.43	23.48	50.23	39.46	44.52	68.38	67.08	92.44	95.04	103.85	104.9	103.44	106.88						
Block size [kB] = 4 Run = 5	17.43	39.06	27.85	45.34	45.13	62.07	65.15	88.92	92.76	108.44	107.04	105.58	108.08						
Block size [kB] = 4 Run = 6	45.41	31.39	27.55	37.61	46.57	71.55	73.99	76.52	102.7	90.4	89.26	102.49	100.32						
Block size [kB] = 4 Run = 7	21.45	34.14	38.49	33.98	58.14	58.49	68.8	98.64	90.5	104.91	98.23	104.38	100.78						
Block size [kB] = 4 Run = 8	17.29	20.29	27.61	43.05	48.83	62.4	67.44	84.82	108.33	83.39	95.65	100.55	94.98						
Block size [kB] = 4 Run = 9	45.92	24.57	25.28	38.63	51.48	62.28	70.64	69.05	98.98	97.04	90.58	97.3	105.75						
Block size [kB] = 4 Run = 10	17.36	22.19	21.64	39.36	38.09	61.06	67.97	101.46	85.65	93.56	99.66	89.7	99.26						
Block size [kB] = 4 Run = 11	126.22	80.55	306.52	116.94	439.98	126.65	217.96	288.35	240.45	348.67	363.18	460.16	501.43						
Block size [kB] = 4 Run = 12	65.33	162.37	156.11	154.78	568.88	150.62	205.29	263.17	308.73	318.78	339.36	357.93	368.63						
Block size [kB] = 4 Run = 13	42.03	77.32	240.23	121.16	226.61	134.54	209.01	249.76	298.79	329.91	344.59	362.47	359.75						
Block size [kB] = 4 Run = 14	78.09	141.97	162.7	406.04	234.1	152.28	201.31	270.57	316.44	356.06	411.19	418.08	382.55						
Block size [kB] = 4 Run = 15	78.09	260.46	243.8	110.07	214.73	132.84	181.83	249.49	295.67	319.99	350.94	354.39	468.73						
Block size [kB] = 4 Run = 16	114.73	144.48	364.48	113.6	275.13	142.36	221.6	253.44	283.52	387.75	348.0	386.57	444.35						
Block size [kB] = 4 Run = 17	76.63	280.53	520.93	252.16	341.42	204.26	202.08	241.92	281.69	328.84	356.0	350.77	404.94						
Block size [kB] = 4 Run = 18	103.17	271.25	147.67	120.16	263.78	126.4	211.71	235.75	301.21	329.98	410.13	365.04	409.31						
Block size [kB] = 4 Run = 19	76.63	79.76	347.11	119.72	207.59	153.22	204.41	238.45	338.53	381.39	393.78	386.42	366.96						
Block size [kB] = 4 Run = 20	64.05	82.37	164.74	125.93	323.71	132.84	184.78	258.53	297.45	341.77	356.7	356.32	429.54						
