# iwrite throughput for any bs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run = 1	44.91												
File size [kB] = 4 Run = 2	15.76												
File size [kB] = 4 Run = 3	26.56												
File size [kB] = 4 Run = 4	17.58												
File size [kB] = 4 Run = 5	16.55												
File size [kB] = 8 Run = 1	21.53	65.17											
File size [kB] = 8 Run = 2	35.51	42.46											
File size [kB] = 8 Run = 3	21.65	33.24											
File size [kB] = 8 Run = 4	37.2	85.82											
File size [kB] = 8 Run = 5	22.71	42.68											
File size [kB] = 16 Run = 1	48.7	38.4	130.34										
File size [kB] = 16 Run = 2	42.01	64.26	115.83										
File size [kB] = 16 Run = 3	24.72	38.97	68.85										
File size [kB] = 16 Run = 4	24.22	43.78	83.08										
File size [kB] = 16 Run = 5	26.48	52.6	156.48										
File size [kB] = 32 Run = 1	40.43	54.92	97.97	274.32									
File size [kB] = 32 Run = 2	42.41	54.08	100.45	167.22									
File size [kB] = 32 Run = 3	48.75	64.16	101.46	146.15									
File size [kB] = 32 Run = 4	57.04	49.69	138.29	132.42									
File size [kB] = 32 Run = 5	36.04	49.69	91.35	130.19									
File size [kB] = 64 Run = 1	64.57	85.39	98.59	169.8	294.94								
File size [kB] = 64 Run = 2	66.07	117.67	113.84	261.67	529.79								
File size [kB] = 64 Run = 3	56.41	81.8	95.12	160.65	238.35								
File size [kB] = 64 Run = 4	51.74	63.12	121.6	179.57	244.35								
File size [kB] = 64 Run = 5	56.11	83.01	102.97	162.74	247.82								
File size [kB] = 128 Run = 1	57.34	81.54	134.96	194.7	352.15	496.11							
File size [kB] = 128 Run = 2	71.75	98.18	205.22	305.56	456.38	545.67							
File size [kB] = 128 Run = 3	58.16	108.13	137.51	190.25	293.42	499.89							
File size [kB] = 128 Run = 4	75.85	100.48	151.71	193.19	423.9	680.18							
File size [kB] = 128 Run = 5	58.0	97.89	146.7	192.63	296.24	451.27							
File size [kB] = 256 Run = 1	75.83	127.1	216.79	304.57	336.97	476.23	534.22						
File size [kB] = 256 Run = 2	72.57	181.14	262.62	307.88	401.32	457.93	822.54						
File size [kB] = 256 Run = 3	79.46	116.33	181.01	326.78	419.46	545.62	809.21						
File size [kB] = 256 Run = 4	86.87	128.66	152.44	234.54	327.7	505.87	538.61						
File size [kB] = 256 Run = 5	76.29	120.78	179.1	252.32	344.38	502.96	562.9						
File size [kB] = 512 Run = 1	92.59	143.68	244.0	329.85	415.95	661.39	667.71	711.19					
File size [kB] = 512 Run = 2	96.3	158.03	219.6	322.4	593.12	811.65	889.83	693.32					
File size [kB] = 512 Run = 3	87.66	134.37	209.99	306.16	455.82	575.38	727.72	701.2					
File size [kB] = 512 Run = 4	85.76	156.65	242.96	329.39	427.66	582.74	596.49	740.83					
File size [kB] = 512 Run = 5	79.57	154.36	222.23	320.28	394.66	703.32	863.45	679.39					
File size [kB] = 1024 Run = 1	99.49	198.73	287.94	398.89	545.51	684.92	789.17	786.07	1006.12				
File size [kB] = 1024 Run = 2	95.36	182.65	245.95	463.57	553.13	672.94	807.71	825.03	946.84				
File size [kB] = 1024 Run = 3	79.65	157.48	270.27	385.8	514.08	613.49	800.77	846.85	772.74				
File size [kB] = 1024 Run = 4	94.94	175.03	282.16	375.23	488.06	626.97	736.38	825.68	881.75				
File size [kB] = 1024 Run = 5	97.13	173.01	274.05	355.49	525.22	672.08	746.87	881.75	967.14				
File size [kB] = 2048 Run = 1	103.81	162.39	289.73	493.57	590.5	768.34	850.01	915.31	920.83	985.76			
File size [kB] = 2048 Run = 2	88.31	163.63	286.7	489.96	688.9	768.06	799.69	809.1	1050.31	1075.76			
File size [kB] = 2048 Run = 3	102.55	173.49	321.23	419.9	600.95	659.85	946.07	938.45	915.81	969.47			
