# randrd throughput for any bs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run = 1	74.88												
File size [kB] = 4 Run = 2	35.87												
File size [kB] = 4 Run = 3	58.14												
File size [kB] = 4 Run = 4	70.99												
File size [kB] = 4 Run = 5	78.09												
File size [kB] = 8 Run = 1	45.65	147.07											
File size [kB] = 8 Run = 2	87.66	134.4											
File size [kB] = 8 Run = 3	75.19	141.97											
File size [kB] = 8 Run = 4	90.82	147.73											
File size [kB] = 8 Run = 5	46.82	100.27											
File size [kB] = 16 Run = 1	83.93	188.43	134.62										
File size [kB] = 16 Run = 2	101.48	146.02	153.19										
File size [kB] = 16 Run = 3	183.67	86.25	139.5										
File size [kB] = 16 Run = 4	134.62	183.67	299.52										
File size [kB] = 16 Run = 5	85.8	84.47	133.53										
File size [kB] = 32 Run = 1	53.88	64.7	134.05	221.48									
File size [kB] = 32 Run = 2	47.7	87.51	319.06	295.34									
File size [kB] = 32 Run = 3	83.34	95.9	153.88	211.13									
File size [kB] = 32 Run = 4	62.01	168.08	306.38	231.66									
File size [kB] = 32 Run = 5	43.35	108.88	134.74	269.8									
File size [kB] = 64 Run = 1	95.71	149.9	222.38	507.24	578.93								
File size [kB] = 64 Run = 2	111.61	144.37	123.31	258.06	466.61								
File size [kB] = 64 Run = 3	95.99	153.95	146.71	495.73	434.15								
File size [kB] = 64 Run = 4	93.43	85.5	179.57	303.48	463.31								
File size [kB] = 64 Run = 5	73.27	83.22	123.26	250.9	607.09								
File size [kB] = 128 Run = 1	24.89	38.13	46.36	117.69	154.3	276.55							
File size [kB] = 128 Run = 2	27.98	56.53	72.85	116.49	181.68	236.29							
File size [kB] = 128 Run = 3	24.98	39.79	50.34	122.9	153.94	239.09							
File size [kB] = 128 Run = 4	24.94	36.57	49.9	120.31	166.87	294.08							
File size [kB] = 128 Run = 5	27.08	39.68	56.66	97.8	144.68	251.48							
File size [kB] = 256 Run = 1	26.86	50.53	58.15	85.62	170.87	320.1	418.79						
File size [kB] = 256 Run = 2	26.75	56.64	71.96	87.94	179.34	346.32	405.98						
File size [kB] = 256 Run = 3	24.44	45.77	67.91	101.55	150.14	315.28	384.54						
File size [kB] = 256 Run = 4	27.01	44.17	54.82	86.57	185.99	305.99	424.39						
File size [kB] = 256 Run = 5	24.85	45.75	66.22	88.9	166.23	300.47	413.83						
File size [kB] = 512 Run = 1	29.75	51.63	82.29	104.36	160.99	282.68	369.49	461.24					
File size [kB] = 512 Run = 2	28.09	52.08	78.96	108.65	156.16	276.24	382.84	468.97					
