# rewrite throughput for any bs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run = 1	45.41												
File size [kB] = 4 Run = 2	21.45												
File size [kB] = 4 Run = 3	17.29												
File size [kB] = 4 Run = 4	45.92												
File size [kB] = 4 Run = 5	17.36												
File size [kB] = 8 Run = 1	31.39	52.44											
File size [kB] = 8 Run = 2	34.14	75.89											
File size [kB] = 8 Run = 3	20.29	34.54											
File size [kB] = 8 Run = 4	24.57	34.87											
File size [kB] = 8 Run = 5	22.19	34.1											
File size [kB] = 16 Run = 1	27.55	51.57	67.58										
File size [kB] = 16 Run = 2	38.49	43.41	94.05										
File size [kB] = 16 Run = 3	27.61	61.72	131.12										
File size [kB] = 16 Run = 4	25.28	40.26	67.37										
File size [kB] = 16 Run = 5	21.64	56.41	67.65										
File size [kB] = 32 Run = 1	37.61	52.0	140.82	128.53									
File size [kB] = 32 Run = 2	33.98	66.34	81.42	281.39									
File size [kB] = 32 Run = 3	43.05	55.9	77.75	276.64									
File size [kB] = 32 Run = 4	38.63	94.45	92.71	130.31									
File size [kB] = 32 Run = 5	39.36	48.76	80.92	138.29									
File size [kB] = 64 Run = 1	46.57	68.23	102.97	135.0	216.15								
File size [kB] = 64 Run = 2	58.14	88.51	141.1	138.57	214.73								
File size [kB] = 64 Run = 3	48.83	76.32	107.01	128.07	393.13								
File size [kB] = 64 Run = 4	51.48	69.59	95.57	147.04	191.65								
File size [kB] = 64 Run = 5	38.09	67.27	90.84	216.32	211.1								
File size [kB] = 128 Run = 1	71.55	100.48	175.53	183.27	236.29	418.16							
File size [kB] = 128 Run = 2	58.49	106.65	242.19	225.23	306.99	441.76							
File size [kB] = 128 Run = 3	62.4	100.71	165.35	199.36	432.65	486.44							
File size [kB] = 128 Run = 4	62.28	101.96	163.19	250.04	274.67	558.46							
File size [kB] = 128 Run = 5	61.06	95.28	151.14	226.39	264.82	682.84							
File size [kB] = 256 Run = 1	73.99	132.83	182.08	249.02	287.38	589.48	580.03						
File size [kB] = 256 Run = 2	68.8	114.41	184.39	276.25	394.38	519.92	718.3						
File size [kB] = 256 Run = 3	67.44	120.95	199.66	230.01	358.76	468.99	565.63						
File size [kB] = 256 Run = 4	70.64	98.89	202.12	291.69	315.66	589.48	511.3						
File size [kB] = 256 Run = 5	67.97	109.79	177.07	235.38	346.32	627.96	624.97						
File size [kB] = 512 Run = 1	76.52	135.58	249.87	311.16	384.88	542.35	575.38	656.22					
File size [kB] = 512 Run = 2	98.64	141.44	228.0	364.42	383.69	673.72	629.81	571.46					
File size [kB] = 512 Run = 3	84.82	157.28	265.23	349.19	409.46	574.59	594.46	715.31					
File size [kB] = 512 Run = 4	69.05	134.49	244.97	369.88	446.03	591.61	580.8	698.4					
File size [kB] = 512 Run = 5	101.46	154.71	202.76	373.17	450.44	561.21	663.07	666.65					
File size [kB] = 1024 Run = 1	102.7	160.62	273.51	377.53	503.05	644.3	680.69	780.65	782.55				
File size [kB] = 1024 Run = 2	90.5	147.39	265.46	433.8	493.11	683.47	758.22	736.9	807.87				
File size [kB] = 1024 Run = 3	108.33	164.04	260.21	402.07	525.48	602.82	726.69	801.85	785.48				
File size [kB] = 1024 Run = 4	98.98	155.77	270.25	353.72	551.32	616.92	626.5	783.72	814.3				
File size [kB] = 1024 Run = 5	85.65	160.59	269.11	413.73	494.04	625.38	623.8	755.76	756.98				
File size [kB] = 2048 Run = 1	90.4	179.03	348.61	428.72	670.51	729.39	749.6	808.79	956.42	904.16			
File size [kB] = 2048 Run = 2	104.91	145.36	331.4	491.03	574.69	753.84	774.3	788.94	903.28	1064.3			
File size [kB] = 2048 Run = 3	83.39	188.81	285.91	399.84	612.54	693.74	749.06	847.09	843.94	1034.63			
File size [kB] = 2048 Run = 4	97.04	165.59	301.44	492.87	570.12	708.99	815.31	779.41	992.52	1003.45			
