# rewrite throughput for any bs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run = 1	17.68												
File size [kB] = 4 Run = 2	28.7												
File size [kB] = 4 Run = 3	26.56												
File size [kB] = 4 Run = 4	17.58												
File size [kB] = 4 Run = 5	36.92												
File size [kB] = 8 Run = 1	43.35	37.54											
File size [kB] = 8 Run = 2	23.97	79.0											
File size [kB] = 8 Run = 3	31.24	30.4											
File size [kB] = 8 Run = 4	21.89	31.39											
File size [kB] = 8 Run = 5	19.53	35.36											
File size [kB] = 16 Run = 1	51.57	35.91	68.49										
File size [kB] = 16 Run = 2	31.5	69.73	97.7										
File size [kB] = 16 Run = 3	22.28	51.73	164.74										
File size [kB] = 16 Run = 4	25.92	39.58	64.58										
File size [kB] = 16 Run = 5	25.12	75.09	67.37										
File size [kB] = 32 Run = 1	51.49	97.39	95.9	130.83									
File size [kB] = 32 Run = 2	57.98	75.86	156.26	137.71									
File size [kB] = 32 Run = 3	51.49	70.06	84.03	229.63									
File size [kB] = 32 Run = 4	33.64	54.05	82.24	128.02									
File size [kB] = 32 Run = 5	45.63	50.15	81.57	281.39									
File size [kB] = 64 Run = 1	46.82	83.57	130.17	137.33	255.05								
File size [kB] = 64 Run = 2	47.92	99.49	158.6	207.75	211.1								
File size [kB] = 64 Run = 3	47.67	67.57	107.4	134.38	185.42								
File size [kB] = 64 Run = 4	38.63	68.16	100.18	166.25	217.04								
File size [kB] = 64 Run = 5	53.28	108.87	158.99	210.42	244.13								
File size [kB] = 128 Run = 1	61.52	121.48	208.31	189.97	286.68	785.09							
File size [kB] = 128 Run = 2	79.52	129.52	144.36	232.31	340.49	771.23							
File size [kB] = 128 Run = 3	69.29	99.06	119.16	184.36	308.62	424.94							
File size [kB] = 128 Run = 4	65.61	109.67	175.3	218.11	290.66	462.82							
File size [kB] = 128 Run = 5	57.31	97.96	175.53	214.45	340.71	494.24							
File size [kB] = 256 Run = 1	65.0	139.27	187.82	264.8	326.37	540.0	752.85						
File size [kB] = 256 Run = 2	102.38	124.45	171.59	369.37	379.95	555.74	539.72						
File size [kB] = 256 Run = 3	72.59	121.48	177.94	284.03	437.12	827.73	599.59						
File size [kB] = 256 Run = 4	75.05	126.64	170.89	296.89	356.2	647.75	814.23						
File size [kB] = 256 Run = 5	86.42	116.93	179.96	246.79	369.24	493.03	593.82						
File size [kB] = 512 Run = 1	91.41	149.92	258.28	319.31	520.28	582.74	667.71	972.79					
File size [kB] = 512 Run = 2	88.03	173.13	216.16	354.38	600.25	651.94	700.26	674.58					
File size [kB] = 512 Run = 3	77.47	155.42	231.38	310.74	464.61	550.03	650.32	923.93					
File size [kB] = 512 Run = 4	82.24	143.06	229.15	328.51	444.05	603.18	702.14	728.99					
File size [kB] = 512 Run = 5	94.3	145.94	221.06	273.36	415.21	538.72	633.62	737.45					
File size [kB] = 1024 Run = 1	95.12	159.31	281.46	413.08	548.0	713.83	919.24	875.67	818.43				
File size [kB] = 1024 Run = 2	94.76	192.53	267.31	366.71	576.39	766.25	952.43	1103.82	1019.57				
File size [kB] = 1024 Run = 3	100.81	168.1	261.38	420.53	578.3	712.73	712.73	794.86	1065.95				
File size [kB] = 1024 Run = 4	97.51	163.5	251.01	379.51	584.1	724.55	668.01	812.88	820.35				
File size [kB] = 1024 Run = 5	87.06	155.88	254.19	402.11	528.53	668.86	770.33	822.28	899.33				
File size [kB] = 2048 Run = 1	101.68	170.84	280.27	466.84	616.68	734.44	884.99	1119.11	934.06	1096.43			
File size [kB] = 2048 Run = 2	104.53	170.0	337.67	493.34	669.33	909.45	1172.44	1025.15	1118.06	1187.72			
