# iozone measured throughput[MB/s] for any FS and any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Operation	iwrite	rewrite	iread	reread	randrd	randwr	bkwdrd	recrewr	striderd	fwrite	frewrite	fread	freread
File size [kB] = 4 Block size [kB] = 4 Run = 1	46.57	45.41	126.22	114.73	74.88	11.46	36.18	18.33	33.11	22.73	17.51	30.75	30.02
File size [kB] = 4 Block size [kB] = 4 Run = 2	17.68	21.45	65.33	76.63	35.87	9.91	36.5	43.95	57.53	19.63	44.42	34.58	33.11
File size [kB] = 4 Block size [kB] = 4 Run = 3	17.51	17.29	42.03	103.17	58.14	9.37	56.73	18.88	60.06	16.82	17.51	28.5	37.94
File size [kB] = 4 Block size [kB] = 4 Run = 4	17.43	45.92	78.09	76.63	70.99	8.66	67.2	17.45	72.24	17.51	17.83	34.95	32.58
File size [kB] = 4 Block size [kB] = 4 Run = 5	17.43	17.36	78.09	64.05	78.09	8.47	65.07	17.83	37.94	17.38	22.45	28.96	28.31
File size [kB] = 8 Block size [kB] = 4 Run = 1	33.82	31.39	80.55	144.48	45.65	14.0	64.02	31.27	46.49	34.25	34.72	45.71	55.46
File size [kB] = 8 Block size [kB] = 4 Run = 2	29.39	34.14	162.37	280.53	87.66	15.57	63.04	28.01	75.02	33.96	36.17	36.17	50.43
File size [kB] = 8 Block size [kB] = 4 Run = 3	26.11	20.29	77.32	271.25	75.19	13.61	25.06	22.07	38.88	88.85	34.43	37.2	59.71
File size [kB] = 8 Block size [kB] = 4 Run = 4	23.48	24.57	141.97	79.76	90.82	14.08	25.13	22.45	40.71	34.54	35.02	41.33	44.11
File size [kB] = 8 Block size [kB] = 4 Run = 5	39.06	22.19	260.46	82.37	46.82	12.52	25.6	23.39	73.67	86.73	49.14	43.18	54.27
File size [kB] = 8 Block size [kB] = 8 Run = 1	70.35	52.44	125.64	236.07	147.07	21.52	55.37	59.6	67.31	33.51	34.39	55.84	77.32
File size [kB] = 8 Block size [kB] = 8 Run = 2	66.76	75.89	137.22	79.0	134.4	16.8	89.82	75.71	59.6	68.44	50.12	51.06	61.97
File size [kB] = 8 Block size [kB] = 8 Run = 3	35.17	34.54	120.11	269.02	141.97	18.25	118.38	33.82	72.37	91.84	84.06	56.61	80.55
File size [kB] = 8 Block size [kB] = 8 Run = 4	89.82	34.87	82.17	280.53	147.73	22.13	79.0	35.02	84.93	34.57	86.73	54.63	74.34
File size [kB] = 8 Block size [kB] = 8 Run = 5	35.05	34.1	118.38	177.31	100.27	17.13	96.43	36.34	105.77	79.0	34.54	64.53	56.13
File size [kB] = 16 Block size [kB] = 4 Run = 1	25.24	27.55	306.52	364.48	83.93	20.11	24.61	28.15	141.91	33.32	60.58	118.34	65.09
File size [kB] = 16 Block size [kB] = 4 Run = 2	51.09	38.49	156.11	520.93	101.48	23.57	30.16	28.35	171.65	38.78	48.84	65.35	50.07
File size [kB] = 16 Block size [kB] = 4 Run = 3	24.96	27.61	240.23	147.67	183.67	18.96	23.49	25.32	66.75	62.25	37.03	88.23	89.8
File size [kB] = 16 Block size [kB] = 4 Run = 4	50.23	25.28	162.7	347.11	134.62	24.77	45.71	28.62	68.85	32.61	29.93	61.49	106.94
File size [kB] = 16 Block size [kB] = 4 Run = 5	27.85	21.64	243.8	164.74	85.8	20.78	72.35	25.52	175.32	45.71	33.54	81.33	76.94
File size [kB] = 16 Block size [kB] = 8 Run = 1	37.11	51.57	162.7	236.76	188.43	25.04	46.35	43.9	75.17	148.67	67.93	68.85	69.73
File size [kB] = 16 Block size [kB] = 8 Run = 2	53.68	43.41	162.7	288.95	146.02	33.53	48.37	71.02	96.4	101.48	67.37	84.47	84.91
File size [kB] = 16 Block size [kB] = 8 Run = 3	64.26	61.72	162.7	243.8	86.25	35.83	123.93	64.58	87.29	79.36	66.82	81.33	74.4
File size [kB] = 16 Block size [kB] = 8 Run = 4	40.81	40.26	203.02	162.7	183.67	28.25	136.02	38.2	81.74	153.19	69.44	77.76	86.82
File size [kB] = 16 Block size [kB] = 8 Run = 5	40.79	56.41	157.99	472.14	84.47	28.62	49.47	45.71	177.7	96.4	67.65	77.76	84.47
File size [kB] = 16 Block size [kB] = 16 Run = 1	134.9	67.58	489.78	164.74	134.62	34.96	146.02	150.38	217.15	67.37	66.75	133.53	120.29
File size [kB] = 16 Block size [kB] = 16 Run = 2	68.21	94.05	285.18	166.0	153.19	32.08	139.5	65.35	151.42	168.12	99.48	125.11	153.19
File size [kB] = 16 Block size [kB] = 16 Run = 3	84.47	131.12	159.53	288.95	139.5	43.78	240.23	65.88	146.02	72.03	159.53	117.49	107.82
File size [kB] = 16 Block size [kB] = 16 Run = 4	68.21	67.37	164.74	164.33	299.52	38.31	144.73	68.21	248.42	78.88	156.48	123.0	120.07
File size [kB] = 16 Block size [kB] = 16 Run = 5	67.93	67.65	177.7	161.1	133.53	37.47	260.26	63.52	144.73	67.09	66.48	139.5	118.34
File size [kB] = 32 Block size [kB] = 4 Run = 1	52.69	37.61	116.94	113.6	53.88	34.61	44.02	44.89	140.82	50.73	41.06	77.75	85.85
File size [kB] = 32 Block size [kB] = 4 Run = 2	46.71	33.98	154.78	252.16	47.7	27.51	52.26	61.89	242.36	60.69	58.18	130.83	168.08
File size [kB] = 32 Block size [kB] = 4 Run = 3	41.44	43.05	121.16	120.16	83.34	32.73	41.68	37.24	144.7	39.35	38.77	155.52	155.52
File size [kB] = 32 Block size [kB] = 4 Run = 4	39.46	38.63	406.04	119.72	62.01	28.75	42.23	35.64	126.54	55.71	41.61	74.4	74.06
File size [kB] = 32 Block size [kB] = 4 Run = 5	45.34	39.36	110.07	125.93	43.35	26.39	50.4	31.28	256.1	44.78	43.77	111.57	89.05
File size [kB] = 32 Block size [kB] = 8 Run = 1	57.34	52.0	171.6	303.54	64.7	52.52	140.06	72.18	201.4	120.16	116.12	83.55	144.07
File size [kB] = 32 Block size [kB] = 8 Run = 2	47.94	66.34	234.98	258.62	87.51	47.84	81.57	57.24	281.39	80.97	61.86	161.86	146.15
File size [kB] = 32 Block size [kB] = 8 Run = 3	93.3	55.9	135.85	143.28	95.9	38.81	64.19	68.67	211.13	64.16	57.54	81.78	143.91
File size [kB] = 32 Block size [kB] = 8 Run = 4	59.53	94.45	121.05	231.66	168.08	51.06	146.64	73.52	315.22	64.54	58.73	159.49	146.15
File size [kB] = 32 Block size [kB] = 8 Run = 5	44.51	48.76	111.95	136.42	108.88	39.01	53.33	48.53	151.74	57.14	59.39	91.16	76.57
File size [kB] = 32 Block size [kB] = 16 Run = 1	132.42	140.82	781.09	892.83	134.05	56.21	94.11	117.89	135.85	151.74	128.53	197.75	150.34
File size [kB] = 32 Block size [kB] = 16 Run = 2	76.39	81.42	465.11	411.13	319.06	70.4	218.52	125.45	135.99	218.52	128.65	147.3	138.29
File size [kB] = 32 Block size [kB] = 16 Run = 3	93.57	77.75	458.6	318.29	153.88	63.91	136.56	90.28	142.65	154.06	177.65	151.74	118.42
File size [kB] = 32 Block size [kB] = 16 Run = 4	86.58	92.71	381.24	800.17	306.38	56.09	172.73	78.12	136.42	129.03	129.67	194.24	171.83
File size [kB] = 32 Block size [kB] = 16 Run = 5	93.84	80.92	800.17	281.39	134.74	55.03	145.99	86.07	159.49	124.97	228.03	167.87	164.5
File size [kB] = 32 Block size [kB] = 32 Run = 1	209.44	128.53	758.49	325.4	221.48	90.59	315.98	243.72	272.04	150.17	274.32	229.63	269.8
File size [kB] = 32 Block size [kB] = 32 Run = 2	281.39	281.39	355.4	577.9	295.34	63.76	230.03	267.05	196.57	128.02	146.81	223.37	202.96
File size [kB] = 32 Block size [kB] = 32 Run = 3	169.82	276.64	281.39	325.4	211.13	66.91	233.3	184.92	281.39	137.56	283.82	209.78	262.77
File size [kB] = 32 Block size [kB] = 32 Run = 4	146.64	130.31	328.66	325.4	231.66	71.01	193.09	129.03	229.63	128.53	131.89	196.57	242.36
File size [kB] = 32 Block size [kB] = 32 Run = 5	297.35	138.29	762.91	406.04	269.8	93.24	315.98	129.16	238.4	149.49	128.65	242.36	183.88
File size [kB] = 64 Block size [kB] = 4 Run = 1	53.64	46.57	439.98	275.13	95.71	36.21	71.84	54.92	390.79	43.67	59.02	178.11	169.91
File size [kB] = 64 Block size [kB] = 4 Run = 2	58.69	58.14	568.88	341.42	111.61	40.16	77.63	64.03	341.86	71.1	45.29	215.61	280.13
File size [kB] = 64 Block size [kB] = 4 Run = 3	50.94	48.83	226.61	263.78	95.99	37.49	64.97	52.61	286.56	51.36	49.96	187.67	179.57
File size [kB] = 64 Block size [kB] = 4 Run = 4	44.52	51.48	234.1	207.59	93.43	32.67	77.24	53.37	607.09	69.13	56.26	228.19	250.18
File size [kB] = 64 Block size [kB] = 4 Run = 5	45.13	38.09	214.73	323.71	73.27	38.34	59.19	48.3	322.12	64.57	56.35	225.63	255.05
File size [kB] = 64 Block size [kB] = 8 Run = 1	87.77	68.23	452.9	262.72	149.9	63.12	160.65	76.79	607.09	75.94	77.84	158.7	155.87
File size [kB] = 64 Block size [kB] = 8 Run = 2	72.26	88.51	220.14	416.23	144.37	76.12	97.35	59.58	251.87	71.51	80.42	242.1	237.49
File size [kB] = 64 Block size [kB] = 8 Run = 3	72.84	76.32	216.32	250.9	153.95	45.16	79.13	61.7	255.05	64.03	104.32	154.4	231.41
File size [kB] = 64 Block size [kB] = 8 Run = 4	58.04	69.59	227.2	260.63	85.5	53.79	77.08	114.88	282.85	69.35	62.51	140.2	167.52
File size [kB] = 64 Block size [kB] = 8 Run = 5	54.97	67.27	243.22	437.05	83.22	53.06	102.65	84.92	607.09	81.69	95.85	206.93	182.2
File size [kB] = 64 Block size [kB] = 16 Run = 1	96.77	102.97	601.52	630.45	222.38	99.68	103.13	98.26	269.47	108.15	133.56	161.54	185.02
File size [kB] = 64 Block size [kB] = 16 Run = 2	167.52	141.1	265.92	226.41	123.31	74.94	146.71	116.62	294.94	126.53	135.63	148.46	270.58
File size [kB] = 64 Block size [kB] = 16 Run = 3	103.83	107.01	263.78	228.19	146.71	91.63	223.14	171.25	408.45	123.26	150.59	172.14	233.26
File size [kB] = 64 Block size [kB] = 16 Run = 4	159.86	95.57	259.34	228.99	179.57	69.06	141.71	112.18	241.43	114.43	187.81	183.86	270.58
File size [kB] = 64 Block size [kB] = 16 Run = 5	110.25	90.84	275.42	578.93	123.26	100.99	94.44	168.93	557.98	140.12	111.61	148.79	192.92
File size [kB] = 64 Block size [kB] = 32 Run = 1	169.8	135.0	624.44	612.76	507.24	131.02	165.41	144.37	292.31	303.48	259.34	353.39	297.62
File size [kB] = 64 Block size [kB] = 32 Run = 2	155.13	138.57	607.09	567.65	258.06	133.83	191.09	138.28	265.92	213.33	235.78	262.72	330.65
File size [kB] = 64 Block size [kB] = 32 Run = 3	206.28	128.07	1331.99	822.27	495.73	99.19	211.78	156.24	245.04	372.47	390.79	312.52	363.68
File size [kB] = 64 Block size [kB] = 32 Run = 4	175.49	147.04	1457.93	1491.1	303.48	90.59	325.32	130.24	534.11	431.29	274.26	240.54	355.3
File size [kB] = 64 Block size [kB] = 32 Run = 5	171.69	216.32	618.55	631.97	250.9	92.18	234.1	143.03	534.11	212.64	198.47	236.85	304.89
File size [kB] = 64 Block size [kB] = 64 Run = 1	243.22	216.15	1457.93	1525.82	578.93	156.24	431.29	223.14	403.42	233.26	405.92	405.92	589.34
File size [kB] = 64 Block size [kB] = 64 Run = 2	427.78	214.73	1516.99	679.47	466.61	156.62	449.8	214.91	589.34	232.44	271.71	425.0	371.94
File size [kB] = 64 Block size [kB] = 64 Run = 3	476.79	393.13	625.93	553.27	434.15	126.53	612.76	209.08	686.59	217.76	216.15	452.9	425.0
File size [kB] = 64 Block size [kB] = 64 Run = 4	268.09	191.65	1482.67	679.47	463.31	125.8	631.97	236.63	365.71	234.94	213.16	427.78	422.26
File size [kB] = 64 Block size [kB] = 64 Run = 5	369.84	211.1	672.5	624.44	607.09	134.72	430.59	236.85	650.79	217.76	351.49	390.21	442.96
File size [kB] = 128 Block size [kB] = 4 Run = 1	74.58	71.55	126.65	142.36	24.89	48.96	18.99	85.21	72.47	57.98	72.76	91.57	85.39
File size [kB] = 128 Block size [kB] = 4 Run = 2	56.15	58.49	150.62	204.26	27.98	43.19	20.01	65.03	63.1	61.34	52.96	98.89	95.43
File size [kB] = 128 Block size [kB] = 4 Run = 3	64.86	62.4	134.54	126.4	24.98	43.86	21.23	53.15	66.7	61.01	56.13	109.85	89.67
File size [kB] = 128 Block size [kB] = 4 Run = 4	68.38	62.28	152.28	153.22	24.94	39.64	19.36	68.23	68.88	68.57	67.49	98.65	131.01
File size [kB] = 128 Block size [kB] = 4 Run = 5	62.07	61.06	132.84	132.84	27.08	40.07	17.82	67.64	69.52	58.04	67.46	101.37	87.53
File size [kB] = 128 Block size [kB] = 8 Run = 1	126.77	100.48	131.57	142.67	38.13	66.56	33.28	86.09	194.7	95.0	125.88	97.49	88.89
File size [kB] = 128 Block size [kB] = 8 Run = 2	103.56	106.65	130.91	142.87	56.53	91.17	42.9	103.29	178.04	87.11	106.74	92.11	89.61
File size [kB] = 128 Block size [kB] = 8 Run = 3	97.87	100.71	155.45	126.01	39.79	69.56	38.74	103.58	163.19	89.27	106.2	105.94	93.58
File size [kB] = 128 Block size [kB] = 8 Run = 4	103.31	101.96	120.78	135.45	36.57	64.54	34.18	93.91	184.95	114.05	108.42	106.74	83.61
File size [kB] = 128 Block size [kB] = 8 Run = 5	116.05	95.28	129.27	129.81	39.68	69.79	41.74	87.91	168.48	87.72	111.6	109.85	92.18
File size [kB] = 128 Block size [kB] = 16 Run = 1	130.75	175.53	217.38	198.08	46.36	101.3	53.6	216.22	164.47	138.27	186.53	127.29	126.92
File size [kB] = 128 Block size [kB] = 16 Run = 2	139.52	242.19	250.52	225.23	72.85	136.75	65.55	195.28	194.7	147.57	228.07	165.82	162.73
File size [kB] = 128 Block size [kB] = 16 Run = 3	150.23	165.35	229.77	208.98	50.34	109.34	51.96	182.5	165.82	205.62	220.86	120.53	122.56
File size [kB] = 128 Block size [kB] = 16 Run = 4	135.73	163.19	205.94	199.67	49.9	127.82	58.0	228.97	151.36	137.36	165.98	128.89	117.72
File size [kB] = 128 Block size [kB] = 16 Run = 5	126.65	151.14	223.59	197.49	56.66	125.88	51.97	145.2	185.4	128.86	160.49	114.98	106.01
File size [kB] = 128 Block size [kB] = 32 Run = 1	173.85	183.27	198.76	207.33	117.69	165.09	104.07	210.07	163.19	306.28	218.93	124.13	130.07
File size [kB] = 128 Block size [kB] = 32 Run = 2	169.57	225.23	186.26	215.15	116.49	128.48	92.86	234.5	160.05	328.95	253.55	126.25	129.14
