# ALL throughput for any bs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run = 1	44.91												
File size [kB] = 4 Run = 2	15.76												
File size [kB] = 4 Run = 3	26.56												
File size [kB] = 4 Run = 4	17.58												
File size [kB] = 4 Run = 5	16.55												
File size [kB] = 4 Run = 6	17.68												
File size [kB] = 4 Run = 7	28.7												
File size [kB] = 4 Run = 8	26.56												
File size [kB] = 4 Run = 9	17.58												
File size [kB] = 4 Run = 10	36.92												
File size [kB] = 4 Run = 11	60.06												
File size [kB] = 4 Run = 12	76.27												
File size [kB] = 4 Run = 13	53.58												
File size [kB] = 4 Run = 14	75.22												
File size [kB] = 4 Run = 15	143.96												
File size [kB] = 4 Run = 16	145.24												
File size [kB] = 4 Run = 17	102.52												
File size [kB] = 4 Run = 18	76.63												
File size [kB] = 4 Run = 19	76.27												
File size [kB] = 4 Run = 20	75.22												
File size [kB] = 4 Run = 21	46.05												
File size [kB] = 4 Run = 22	52.21												
File size [kB] = 4 Run = 23	55.02												
File size [kB] = 4 Run = 24	78.09												
File size [kB] = 4 Run = 25	74.88												
File size [kB] = 4 Run = 26	8.98												
File size [kB] = 4 Run = 27	10.02												
File size [kB] = 4 Run = 28	13.15												
File size [kB] = 4 Run = 29	9.06												
File size [kB] = 4 Run = 30	9.39												
File size [kB] = 4 Run = 31	66.12												
File size [kB] = 4 Run = 32	49.38												
File size [kB] = 4 Run = 33	72.24												
File size [kB] = 4 Run = 34	76.63												
File size [kB] = 4 Run = 35	64.05												
File size [kB] = 4 Run = 36	17.6												
File size [kB] = 4 Run = 37	50.13												
File size [kB] = 4 Run = 38	17.6												
File size [kB] = 4 Run = 39	22.09												
File size [kB] = 4 Run = 40	32.85												
File size [kB] = 4 Run = 41	53.58												
File size [kB] = 4 Run = 42	55.76												
File size [kB] = 4 Run = 43	39.5												
File size [kB] = 4 Run = 44	78.09												
File size [kB] = 4 Run = 45	57.53												
File size [kB] = 4 Run = 46	45.92												
File size [kB] = 4 Run = 47	30.29												
File size [kB] = 4 Run = 48	17.6												
File size [kB] = 4 Run = 49	16.84												
File size [kB] = 4 Run = 50	31.22												
File size [kB] = 4 Run = 51	22.7												
File size [kB] = 4 Run = 52	36.5												
File size [kB] = 4 Run = 53	17.29												
File size [kB] = 4 Run = 54	16.77												
File size [kB] = 4 Run = 55	19.05												
File size [kB] = 4 Run = 56	47.11												
File size [kB] = 4 Run = 57	72.56												
File size [kB] = 4 Run = 58	34.87												
File size [kB] = 4 Run = 59	38.66												
File size [kB] = 4 Run = 60	45.41												
File size [kB] = 4 Run = 61	55.02												
File size [kB] = 4 Run = 62	39.88												
File size [kB] = 4 Run = 63	41.6												
File size [kB] = 4 Run = 64	34.29												
File size [kB] = 4 Run = 65	35.55												
File size [kB] = 8 Run = 1	21.53	65.17											
File size [kB] = 8 Run = 2	35.51	42.46											
File size [kB] = 8 Run = 3	21.65	33.24											
File size [kB] = 8 Run = 4	37.2	85.82											
File size [kB] = 8 Run = 5	22.71	42.68											
File size [kB] = 8 Run = 6	43.35	37.54											
File size [kB] = 8 Run = 7	23.97	79.0											
File size [kB] = 8 Run = 8	31.24	30.4											
File size [kB] = 8 Run = 9	21.89	31.39											
File size [kB] = 8 Run = 10	19.53	35.36											
File size [kB] = 8 Run = 11	78.81	122.36											
File size [kB] = 8 Run = 12	177.31	118.38											
File size [kB] = 8 Run = 13	92.88	236.07											
File size [kB] = 8 Run = 14	145.12	287.93											
File size [kB] = 8 Run = 15	77.5	111.53											
File size [kB] = 8 Run = 16	260.46	177.31											
File size [kB] = 8 Run = 17	290.48	174.48											
File size [kB] = 8 Run = 18	237.78	81.35											
File size [kB] = 8 Run = 19	223.21	77.32											
