# frewrite throughput for any bs. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run = 1	22.7												
File size [kB] = 4 Run = 2	36.5												
File size [kB] = 4 Run = 3	17.29												
File size [kB] = 4 Run = 4	16.77												
File size [kB] = 4 Run = 5	19.05												
File size [kB] = 8 Run = 1	87.9	32.42											
File size [kB] = 8 Run = 2	76.59	45.21											
File size [kB] = 8 Run = 3	33.07	34.39											
File size [kB] = 8 Run = 4	34.72	34.72											
File size [kB] = 8 Run = 5	38.51	41.54											
File size [kB] = 16 Run = 1	40.06	164.33	68.21										
File size [kB] = 16 Run = 2	61.03	68.85	192.86										
File size [kB] = 16 Run = 3	49.43	68.57	69.44										
File size [kB] = 16 Run = 4	33.02	67.65	124.88										
File size [kB] = 16 Run = 5	30.22	124.17	67.09										
File size [kB] = 32 Run = 1	36.21	124.5	124.97	129.67									
File size [kB] = 32 Run = 2	56.21	88.28	189.46	178.62									
File size [kB] = 32 Run = 3	46.22	65.94	126.54	254.11									
File size [kB] = 32 Run = 4	36.0	113.6	129.16	114.49									
File size [kB] = 32 Run = 5	39.66	68.99	128.53	130.19									
File size [kB] = 64 Run = 1	64.43	92.57	140.8	245.96	208.25								
File size [kB] = 64 Run = 2	74.14	112.18	136.19	365.2	231.41								
File size [kB] = 64 Run = 3	70.06	121.82	109.83	220.14	220.7								
File size [kB] = 64 Run = 4	48.11	64.91	115.75	446.73	195.95								
File size [kB] = 64 Run = 5	50.37	86.44	175.02	223.9	219.22								
File size [kB] = 128 Run = 1	79.01	99.6	151.14	378.87	563.26	806.84							
File size [kB] = 128 Run = 2	68.87	128.22	149.55	264.82	918.5	657.99							
File size [kB] = 128 Run = 3	64.8	103.23	147.57	244.67	520.74	424.94							
File size [kB] = 128 Run = 4	71.31	103.74	226.39	363.38	899.59	497.99							
File size [kB] = 128 Run = 5	73.57	97.73	137.36	224.84	850.0	434.08							
File size [kB] = 256 Run = 1	67.18	119.85	252.74	267.37	558.11	1219.55	608.29						
File size [kB] = 256 Run = 2	71.31	125.81	195.31	403.79	517.61	1173.16	798.73						
File size [kB] = 256 Run = 3	79.24	119.5	174.71	342.47	453.77	720.27	585.53						
File size [kB] = 256 Run = 4	74.89	125.76	162.22	259.88	488.21	752.85	548.19						
File size [kB] = 256 Run = 5	75.55	133.26	174.71	235.86	498.18	946.53	627.96						
File size [kB] = 512 Run = 1	85.06	162.13	246.79	475.24	519.25	683.15	1075.02	720.47					
File size [kB] = 512 Run = 2	85.25	194.33	345.33	403.86	528.54	664.12	1392.71	1068.45					
File size [kB] = 512 Run = 3	92.11	146.63	224.32	327.03	519.25	664.12	1165.21	657.87					
File size [kB] = 512 Run = 4	88.78	136.09	237.75	335.55	521.32	719.24	1029.12	663.07					
File size [kB] = 512 Run = 5	84.77	135.17	226.45	362.09	441.34	659.52	980.52	726.71					
File size [kB] = 1024 Run = 1	110.18	144.55	305.62	423.72	551.9	751.29	847.54	1132.43	947.05				
File size [kB] = 1024 Run = 2	91.7	173.91	277.94	378.08	699.31	723.68	909.08	1243.93	842.43				
