# iozone measured throughput[MB/s] for any FS and any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Operation	iwrite	rewrite	iread	reread	randrd	randwr	bkwdrd	recrewr	striderd	fwrite	frewrite	fread	freread
File size [kB] = 4 Block size [kB] = 4 Run = 1	44.91	17.68	60.06	145.24	46.05	8.98	66.12	17.6	53.58	45.92	22.7	47.11	55.02
File size [kB] = 4 Block size [kB] = 4 Run = 2	15.76	28.7	76.27	102.52	52.21	10.02	49.38	50.13	55.76	30.29	36.5	72.56	39.88
File size [kB] = 4 Block size [kB] = 4 Run = 3	26.56	26.56	53.58	76.63	55.02	13.15	72.24	17.6	39.5	17.6	17.29	34.87	41.6
File size [kB] = 4 Block size [kB] = 4 Run = 4	17.58	17.58	75.22	76.27	78.09	9.06	76.63	22.09	78.09	16.84	16.77	38.66	34.29
File size [kB] = 4 Block size [kB] = 4 Run = 5	16.55	36.92	143.96	75.22	74.88	9.39	64.05	32.85	57.53	31.22	19.05	45.41	35.55
File size [kB] = 8 Block size [kB] = 4 Run = 1	21.53	43.35	78.81	260.46	89.82	15.79	25.11	23.11	36.66	34.9	87.9	39.82	33.82
File size [kB] = 8 Block size [kB] = 4 Run = 2	35.51	23.97	177.31	290.48	46.76	29.05	39.68	33.27	47.03	73.67	76.59	55.37	45.15
File size [kB] = 8 Block size [kB] = 4 Run = 3	21.65	31.24	92.88	237.78	57.91	13.68	40.07	49.44	77.32	34.75	33.07	52.11	55.37
File size [kB] = 8 Block size [kB] = 4 Run = 4	37.2	21.89	145.12	223.21	45.97	14.66	25.6	21.89	45.4	41.97	34.72	52.44	43.88
File size [kB] = 8 Block size [kB] = 4 Run = 5	22.71	19.53	77.5	269.02	65.04	19.48	44.11	41.54	86.96	66.76	38.51	36.13	51.06
File size [kB] = 8 Block size [kB] = 8 Run = 1	65.17	37.54	122.36	177.31	68.44	23.53	67.87	34.57	69.75	80.55	32.42	73.67	80.55
File size [kB] = 8 Block size [kB] = 8 Run = 2	42.46	79.0	118.38	174.48	139.55	18.08	90.82	79.0	113.46	41.12	45.21	80.35	91.84
File size [kB] = 8 Block size [kB] = 8 Run = 3	33.24	30.4	236.07	81.35	67.87	18.68	69.9	41.59	69.16	34.57	34.39	78.05	68.01
File size [kB] = 8 Block size [kB] = 8 Run = 4	85.82	31.39	287.93	77.32	98.76	17.79	69.16	90.82	120.56	57.11	34.72	91.84	68.01
File size [kB] = 8 Block size [kB] = 8 Run = 5	42.68	35.36	111.53	177.31	101.51	17.84	132.23	45.97	90.82	40.26	41.54	83.21	79.76
File size [kB] = 16 Block size [kB] = 4 Run = 1	48.7	51.57	236.76	347.11	187.89	23.75	64.83	35.12	139.5	39.87	40.06	85.8	80.14
File size [kB] = 16 Block size [kB] = 4 Run = 2	42.01	31.5	472.14	434.57	149.01	20.48	52.1	53.68	104.22	42.48	61.03	112.26	130.08
File size [kB] = 16 Block size [kB] = 4 Run = 3	24.72	22.28	290.23	446.41	104.22	25.78	23.89	36.95	77.67	49.92	49.43	100.24	110.74
File size [kB] = 16 Block size [kB] = 4 Run = 4	24.22	25.92	290.23	161.1	80.53	22.01	39.94	28.67	74.74	33.25	33.02	90.92	111.49
File size [kB] = 16 Block size [kB] = 4 Run = 5	26.48	25.12	288.95	434.57	141.0	21.0	43.9	38.2	70.71	36.51	30.22	104.06	114.81
File size [kB] = 16 Block size [kB] = 8 Run = 1	38.4	35.91	458.92	472.14	86.37	30.16	62.49	46.78	78.13	161.1	164.33	131.39	81.84
File size [kB] = 16 Block size [kB] = 8 Run = 2	64.26	69.73	288.95	489.78	214.31	46.65	49.92	81.33	143.46	93.65	68.85	110.0	106.25
File size [kB] = 16 Block size [kB] = 8 Run = 3	38.97	51.73	147.34	205.57	192.86	40.79	48.52	40.99	76.58	67.65	68.57	96.97	71.33
File size [kB] = 16 Block size [kB] = 8 Run = 4	43.78	39.58	446.41	458.92	177.7	30.81	49.58	42.81	175.79	84.47	67.65	98.88	108.36
File size [kB] = 16 Block size [kB] = 8 Run = 5	52.6	75.09	200.53	279.11	195.16	27.65	50.23	45.68	76.94	124.17	124.17	111.68	82.66
File size [kB] = 16 Block size [kB] = 16 Run = 1	130.34	68.49	475.57	157.99	295.46	45.05	167.69	67.37	150.03	67.58	68.21	156.11	171.65
File size [kB] = 16 Block size [kB] = 16 Run = 2	115.83	97.7	446.41	173.46	300.89	49.62	179.65	203.02	205.57	83.93	192.86	175.32	190.62
File size [kB] = 16 Block size [kB] = 16 Run = 3	68.85	164.74	279.11	159.53	208.18	44.14	190.62	64.83	143.15	78.88	69.44	144.73	177.22
File size [kB] = 16 Block size [kB] = 16 Run = 4	83.08	64.58	164.33	283.94	137.16	40.06	200.53	65.09	188.43	114.81	124.88	192.86	143.46
File size [kB] = 16 Block size [kB] = 16 Run = 5	156.48	67.37	458.92	162.7	264.46	53.33	167.69	64.33	121.18	64.58	67.09	147.34	119.42
File size [kB] = 32 Block size [kB] = 4 Run = 1	40.43	51.49	322.2	325.4	48.0	33.11	37.43	40.53	309.27	37.11	36.21	155.33	91.61
